SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630168,0022201216,"APR 09, 2023",ATL @ BOS,L,26,4,7,0.571,1,2,0.5,1,2,0.5,4,5,9,2,1,0,1,0,10,-7,1
22022,1630168,0022201205,"APR 07, 2023",ATL vs. PHI,L,21,5,8,0.625,0,1,0.0,0,0,0.0,2,6,8,0,0,2,2,3,10,8,1
22022,1630168,0022201191,"APR 05, 2023",ATL vs. WAS,W,24,2,8,0.25,0,1,0.0,2,2,1.0,2,4,6,3,2,1,1,5,6,6,1
22022,1630168,0022201182,"APR 04, 2023",ATL @ CHI,W,20,4,7,0.571,1,1,1.0,2,2,1.0,1,5,6,1,0,3,1,2,11,3,1
22022,1630168,0022201167,"APR 02, 2023",ATL vs. DAL,W,21,6,9,0.667,0,0,0.0,2,2,1.0,1,4,5,0,0,2,1,3,14,0,1
22022,1630168,0022201153,"MAR 31, 2023",ATL @ BKN,L,19,3,4,0.75,0,0,0.0,6,6,1.0,3,3,6,0,0,2,1,3,12,1,1
22022,1630168,0022201131,"MAR 28, 2023",ATL vs. CLE,W,20,5,5,1.0,0,0,0.0,11,12,0.917,2,7,9,0,0,3,2,4,21,15,1
22022,1630168,0022201115,"MAR 26, 2023",ATL vs. MEM,L,19,6,6,1.0,0,0,0.0,1,1,1.0,4,3,7,0,0,1,0,2,13,-7,1
22022,1630168,0022201107,"MAR 25, 2023",ATL vs. IND,W,18,3,5,0.6,0,0,0.0,6,6,1.0,4,2,6,3,3,1,1,2,12,15,1
22022,1630168,0022201090,"MAR 22, 2023",ATL @ MIN,L,19,6,10,0.6,0,1,0.0,2,3,0.667,1,6,7,1,0,3,2,5,14,5,1
22022,1630168,0022201078,"MAR 21, 2023",ATL vs. DET,W,20,3,5,0.6,0,0,0.0,1,2,0.5,7,1,8,1,1,3,0,2,7,4,1
22022,1630168,0022201065,"MAR 19, 2023",ATL @ SAS,L,20,6,8,0.75,0,0,0.0,5,5,1.0,4,3,7,0,1,1,1,2,17,-2,1
22022,1630168,0022201048,"MAR 17, 2023",ATL vs. GSW,W,24,8,9,0.889,0,0,0.0,3,4,0.75,3,4,7,1,1,2,0,2,19,-1,1
22022,1630168,0022201021,"MAR 13, 2023",ATL vs. MIN,L,25,6,7,0.857,0,0,0.0,4,4,1.0,9,5,14,0,1,1,3,1,16,-12,1
22022,1630168,0022201008,"MAR 11, 2023",ATL vs. BOS,L,23,4,5,0.8,0,0,0.0,3,3,1.0,5,3,8,2,0,1,0,1,11,12,1
22022,1630168,0022200999,"MAR 10, 2023",ATL @ WAS,W,19,1,4,0.25,0,0,0.0,2,4,0.5,1,7,8,1,2,1,0,3,4,12,1
22022,1630168,0022200985,"MAR 08, 2023",ATL @ WAS,W,21,4,7,0.571,0,1,0.0,1,5,0.2,2,2,4,3,0,2,1,4,9,7,1
22022,1630168,0022200974,"MAR 06, 2023",ATL @ MIA,L,14,2,5,0.4,0,0,0.0,2,2,1.0,1,1,2,0,0,0,1,3,6,0,1
22022,1630168,0022200958,"MAR 04, 2023",ATL @ MIA,L,23,4,5,0.8,0,0,0.0,7,8,0.875,1,3,4,1,0,0,1,5,15,6,1
22022,1630168,0022200947,"MAR 03, 2023",ATL vs. POR,W,23,3,5,0.6,1,1,1.0,0,0,0.0,1,3,4,0,3,1,4,2,7,21,1
22022,1630168,0022200923,"FEB 28, 2023",ATL vs. WAS,L,13,1,4,0.25,0,0,0.0,1,1,1.0,3,3,6,1,1,1,1,5,3,-5,1
22022,1630168,0022200911,"FEB 26, 2023",ATL vs. BKN,W,28,3,5,0.6,0,0,0.0,4,4,1.0,3,4,7,1,0,0,1,5,10,16,1
22022,1630168,0022200896,"FEB 24, 2023",ATL vs. CLE,W,25,6,7,0.857,0,0,0.0,1,2,0.5,1,10,11,2,2,3,1,2,13,15,1
