SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1631100,0022201216,"APR 09, 2023",ATL @ BOS,L,29,5,13,0.385,1,5,0.2,2,3,0.667,1,2,3,2,2,0,0,0,13,-3,1
22022,1631100,0022201191,"APR 05, 2023",ATL vs. WAS,W,23,6,9,0.667,4,6,0.667,0,0,0.0,1,2,3,1,0,0,0,0,16,5,1
22022,1631100,0022201182,"APR 04, 2023",ATL @ CHI,W,25,2,7,0.286,1,2,0.5,2,2,1.0,0,2,2,1,0,0,3,5,7,1,1
22022,1631100,0022201167,"APR 02, 2023",ATL vs. DAL,W,13,1,3,0.333,1,3,0.333,0,0,0.0,2,1,3,1,0,0,1,1,3,-2,1
22022,1631100,0022201153,"MAR 31, 2023",ATL @ BKN,L,17,4,8,0.5,3,4,0.75,0,0,0.0,0,2,2,1,0,0,1,0,11,6,1
22022,1631100,0022201115,"MAR 26, 2023",ATL vs. MEM,L,13,1,5,0.2,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,1,2,-5,1
22022,1631100,0022201107,"MAR 25, 2023",ATL vs. IND,W,23,4,9,0.444,3,6,0.5,0,0,0.0,2,0,2,3,0,2,1,1,11,25,1
22022,1631100,0022201090,"MAR 22, 2023",ATL @ MIN,L,18,2,4,0.5,0,1,0.0,0,0,0.0,0,2,2,2,0,1,0,1,4,5,1
22022,1631100,0022201078,"MAR 21, 2023",ATL vs. DET,W,18,4,8,0.5,1,2,0.5,2,2,1.0,0,2,2,1,0,0,1,1,11,10,1
22022,1631100,0022201065,"MAR 19, 2023",ATL @ SAS,L,20,6,10,0.6,1,3,0.333,2,2,1.0,2,5,7,0,0,2,0,1,15,21,1
22022,1631100,0022201048,"MAR 17, 2023",ATL vs. GSW,W,21,4,11,0.364,2,7,0.286,2,2,1.0,2,1,3,0,1,0,1,2,12,7,1
22022,1631100,0022201021,"MAR 13, 2023",ATL vs. MIN,L,2,1,1,1.0,1,1,1.0,2,2,1.0,0,1,1,0,0,0,0,0,5,2,1
22022,1631100,0022201008,"MAR 11, 2023",ATL vs. BOS,L,9,0,4,0.0,0,2,0.0,2,2,1.0,1,2,3,0,0,0,0,1,2,-5,1
22022,1631100,0022200947,"MAR 03, 2023",ATL vs. POR,W,2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,1,0,1,0,0,-2,1
22022,1631100,0022200923,"FEB 28, 2023",ATL vs. WAS,L,16,1,4,0.25,0,3,0.0,0,0,0.0,0,2,2,2,0,0,0,3,2,0,1
22022,1631100,0022200911,"FEB 26, 2023",ATL vs. BKN,W,13,0,3,0.0,0,2,0.0,2,2,1.0,0,2,2,0,0,0,0,1,2,9,1
22022,1631100,0022200896,"FEB 24, 2023",ATL vs. CLE,W,18,4,7,0.571,1,2,0.5,0,0,0.0,1,0,1,2,0,0,0,2,9,3,1
22022,1631100,0022200876,"FEB 15, 2023",ATL vs. NYK,L,15,6,12,0.5,0,2,0.0,0,0,0.0,1,1,2,0,0,0,0,0,12,-3,1
22022,1631100,0022200857,"FEB 13, 2023",ATL @ CHA,L,17,2,7,0.286,0,1,0.0,2,2,1.0,1,3,4,1,0,0,0,1,6,-13,1
22022,1631100,0022200850,"FEB 11, 2023",ATL vs. SAS,W,17,1,7,0.143,0,3,0.0,0,0,0.0,0,3,3,0,0,0,1,2,2,-7,1
22022,1631100,0022200832,"FEB 09, 2023",ATL vs. PHX,W,15,3,7,0.429,0,1,0.0,0,2,0.0,0,0,0,0,0,0,0,2,6,5,1
22022,1631100,0022200818,"FEB 07, 2023",ATL @ NOP,L,18,2,5,0.4,1,3,0.333,0,0,0.0,0,1,1,0,0,1,0,1,5,3,1
22022,1631100,0022200801,"FEB 04, 2023",ATL @ DEN,L,26,6,11,0.545,1,3,0.333,2,2,1.0,1,1,2,4,0,0,1,1,15,-3,1
22022,1631100,0022200792,"FEB 03, 2023",ATL @ UTA,W,14,2,6,0.333,1,3,0.333,0,0,0.0,0,0,0,0,0,0,0,2,5,2,1
22022,1631100,0022200777,"FEB 01, 2023",ATL @ PHX,W,19,2,3,0.667,1,1,1.0,0,0,0.0,0,2,2,2,1,0,1,2,5,18,1
22022,1631100,0022200763,"JAN 30, 2023",ATL @ POR,L,21,4,9,0.444,3,4,0.75,2,2,1.0,0,1,1,0,0,0,0,2,13,-2,1
22022,1631100,0022200745,"JAN 28, 2023",ATL vs. LAC,L,12,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,0,1,0,0,2,3,-8,1
