SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1627732,0022200878,"FEB 15, 2023",BKN vs. MIA,W,20,1,2,0.5,0,0,0.0,0,0,0.0,0,4,4,4,0,0,1,5,2,4,1
22022,1627732,0022200862,"FEB 13, 2023",BKN @ NYK,L,13,1,2,0.5,0,0,0.0,0,0,0.0,1,2,3,2,0,1,2,1,2,-4,1
22022,1627732,0022200846,"FEB 11, 2023",BKN vs. PHI,L,16,2,3,0.667,0,0,0.0,0,0,0.0,1,2,3,3,0,1,1,1,4,-1,1
22022,1627732,0022200833,"FEB 09, 2023",BKN vs. CHI,W,20,4,7,0.571,0,1,0.0,0,0,0.0,2,6,8,4,0,0,1,3,8,-12,1
22022,1627732,0022200817,"FEB 07, 2023",BKN vs. PHX,L,27,1,2,0.5,0,0,0.0,0,1,0.0,0,4,4,6,1,1,4,2,2,-1,1
22022,1627732,0022200731,"JAN 26, 2023",BKN vs. DET,L,20,0,3,0.0,0,0,0.0,0,0,0.0,1,0,1,7,1,0,3,0,0,-12,1
22022,1627732,0022200721,"JAN 25, 2023",BKN @ PHI,L,29,5,7,0.714,0,0,0.0,2,3,0.667,0,5,5,5,0,1,2,4,12,-16,1
22022,1627732,0022200704,"JAN 22, 2023",BKN @ GSW,W,29,3,6,0.5,0,0,0.0,1,2,0.5,0,3,3,11,1,1,2,3,7,-2,1
22022,1627732,0022200689,"JAN 20, 2023",BKN @ UTA,W,37,3,7,0.429,0,0,0.0,0,0,0.0,2,7,9,5,2,0,4,1,6,0,1
22022,1627732,0022200681,"JAN 19, 2023",BKN @ PHX,L,18,3,4,0.75,0,0,0.0,1,3,0.333,1,3,4,6,0,0,4,5,7,-9,1
22022,1627732,0022200666,"JAN 17, 2023",BKN @ SAS,L,34,4,10,0.4,0,0,0.0,2,2,1.0,1,9,10,11,4,2,7,4,10,3,1
22022,1627732,0022200627,"JAN 12, 2023",BKN vs. BOS,L,26,0,3,0.0,0,0,0.0,0,0,0.0,0,9,9,13,2,1,2,5,0,10,1
22022,1627732,0022200599,"JAN 08, 2023",BKN @ MIA,W,29,2,4,0.5,0,0,0.0,0,0,0.0,1,6,7,7,0,2,2,5,4,8,1
22022,1627732,0022200586,"JAN 06, 2023",BKN @ NOP,W,34,3,6,0.5,0,0,0.0,0,0,0.0,1,5,6,9,3,1,1,4,6,-6,1
22022,1627732,0022200570,"JAN 04, 2023",BKN @ CHI,L,26,3,5,0.6,0,0,0.0,1,4,0.25,0,9,9,2,3,0,4,4,7,-5,1
22022,1627732,0022200555,"JAN 02, 2023",BKN vs. SAS,W,24,2,5,0.4,0,0,0.0,0,0,0.0,0,6,6,9,3,0,0,3,4,22,1
22022,1627732,0022200539,"DEC 31, 2022",BKN @ CHA,W,19,1,2,0.5,0,0,0.0,0,1,0.0,1,2,3,2,0,0,2,2,2,1,1
22022,1627732,0022200517,"DEC 28, 2022",BKN @ ATL,W,25,5,10,0.5,0,0,0.0,0,2,0.0,1,4,5,2,0,0,2,0,10,-4,1
22022,1627732,0022200498,"DEC 26, 2022",BKN @ CLE,W,34,2,5,0.4,0,0,0.0,0,2,0.0,3,6,9,8,3,1,3,3,4,21,1
22022,1627732,0022200483,"DEC 23, 2022",BKN vs. MIL,W,28,6,9,0.667,0,0,0.0,0,0,0.0,5,6,11,8,3,0,1,4,12,26,1
22022,1627732,0022200470,"DEC 21, 2022",BKN vs. GSW,W,19,5,7,0.714,0,0,0.0,0,2,0.0,0,4,4,8,1,0,1,4,10,16,1
22022,1627732,0022200447,"DEC 18, 2022",BKN @ DET,W,25,2,5,0.4,0,0,0.0,0,0,0.0,0,8,8,8,1,0,0,3,4,7,1
