SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630561,0022201217,"APR 09, 2023",BKN vs. PHI,L,45,5,13,0.385,0,4,0.0,5,6,0.833,3,5,8,4,3,0,3,4,15,-25,1
22022,1630561,0022201207,"APR 07, 2023",BKN vs. ORL,W,3,2,2,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,1,1
22022,1630561,0022201189,"APR 05, 2023",BKN @ DET,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
22022,1630561,0022201118,"MAR 26, 2023",BKN @ ORL,L,4,1,2,0.5,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,4,2,1
22022,1630561,0022201108,"MAR 25, 2023",BKN @ MIA,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,2,1
22022,1630561,0022200995,"MAR 09, 2023",BKN @ MIL,L,27,6,11,0.545,1,2,0.5,0,0,0.0,2,3,5,2,1,0,1,2,13,15,1
22022,1630561,0022200924,"FEB 28, 2023",BKN vs. MIL,L,5,1,2,0.5,0,0,0.0,1,1,1.0,0,0,0,2,0,0,0,0,3,1,1
22022,1630561,0022200862,"FEB 13, 2023",BKN @ NYK,L,4,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1
22022,1630561,0022200817,"FEB 07, 2023",BKN vs. PHX,L,11,2,3,0.667,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,2,4,-1,1
22022,1630561,0022200388,"DEC 10, 2022",BKN @ IND,W,25,3,8,0.375,0,2,0.0,1,4,0.25,2,1,3,3,1,0,4,4,7,2,1
22022,1630561,0022200276,"NOV 25, 2022",BKN @ IND,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1
22022,1630561,0022200266,"NOV 23, 2022",BKN @ TOR,W,4,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-5,1
22022,1630561,0022200256,"NOV 22, 2022",BKN @ PHI,L,3,1,3,0.333,0,0,0.0,0,1,0.0,0,2,2,2,0,0,0,0,2,5,1
22022,1630561,0022200243,"NOV 20, 2022",BKN vs. MEM,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-7,1
22022,1630561,0022200210,"NOV 15, 2022",BKN @ SAC,L,13,2,3,0.667,0,0,0.0,0,0,0.0,0,0,0,1,0,0,3,2,4,1,1
22022,1630561,0022200198,"NOV 13, 2022",BKN @ LAL,L,6,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,2,5,1
22022,1630561,0022200184,"NOV 12, 2022",BKN @ LAC,W,2,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,2,2,1
22022,1630561,0022200164,"NOV 09, 2022",BKN vs. NYK,W,9,1,2,0.5,0,0,0.0,0,0,0.0,1,0,1,0,1,0,1,3,2,-14,1
22022,1630561,0022200155,"NOV 07, 2022",BKN @ DAL,L,4,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,1,0,-7,1
