SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630172,0022201223,"APR 09, 2023",CHI vs. DET,W,22,1,5,0.2,0,1,0.0,0,0,0.0,1,1,2,1,1,1,0,1,2,-3,1
22022,1630172,0022201210,"APR 07, 2023",CHI @ DAL,W,37,9,18,0.5,3,5,0.6,2,3,0.667,1,7,8,2,2,2,2,2,23,11,1
22022,1630172,0022201193,"APR 05, 2023",CHI @ MIL,L,29,2,8,0.25,2,5,0.4,0,0,0.0,3,3,6,1,0,0,2,0,6,-8,1
22022,1630172,0022201182,"APR 04, 2023",CHI vs. ATL,L,27,6,9,0.667,2,5,0.4,1,2,0.5,1,1,2,1,2,2,0,3,15,-6,1
22022,1630172,0022201165,"APR 02, 2023",CHI vs. MEM,W,26,5,10,0.5,2,5,0.4,0,0,0.0,1,2,3,1,1,3,0,2,12,-2,1
22022,1630172,0022201148,"MAR 31, 2023",CHI @ CHA,W,24,5,10,0.5,3,6,0.5,2,2,1.0,0,0,0,0,1,0,0,0,15,13,1
22022,1630172,0022201140,"MAR 29, 2023",CHI vs. LAL,L,24,1,7,0.143,0,5,0.0,0,0,0.0,0,1,1,1,1,1,1,2,2,-1,1
22022,1630172,0022201129,"MAR 27, 2023",CHI @ LAC,L,30,7,8,0.875,2,2,1.0,0,0,0.0,0,2,2,1,1,1,1,2,16,-4,1
22022,1630172,0022201114,"MAR 26, 2023",CHI @ LAL,W,25,3,6,0.5,1,3,0.333,0,0,0.0,1,2,3,1,1,0,2,2,7,12,1
22022,1630172,0022201104,"MAR 24, 2023",CHI @ POR,W,27,3,12,0.25,2,4,0.5,2,2,1.0,1,2,3,0,1,3,2,1,10,13,1
22022,1630172,0022201087,"MAR 22, 2023",CHI vs. PHI,L,21,2,6,0.333,1,2,0.5,2,3,0.667,2,3,5,1,2,0,4,2,7,-31,1
22022,1630172,0022201072,"MAR 20, 2023",CHI @ PHI,W,32,1,6,0.167,0,2,0.0,4,4,1.0,0,4,4,2,0,1,1,2,6,-7,1
22022,1630172,0022201060,"MAR 18, 2023",CHI vs. MIA,W,33,4,11,0.364,2,4,0.5,0,0,0.0,0,2,2,0,1,2,1,0,10,14,1
22022,1630172,0022201050,"MAR 17, 2023",CHI vs. MIN,W,25,2,3,0.667,0,0,0.0,2,2,1.0,0,3,3,1,0,0,1,0,6,9,1
22022,1630172,0022201037,"MAR 15, 2023",CHI vs. SAC,L,25,5,12,0.417,3,5,0.6,0,0,0.0,2,2,4,2,4,1,1,2,13,13,1
22022,1630172,0022201009,"MAR 11, 2023",CHI @ HOU,W,23,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,1,0,3,0,0,3,2,1
22022,1630172,0022200989,"MAR 08, 2023",CHI @ DEN,W,30,8,9,0.889,1,2,0.5,1,1,1.0,2,2,4,0,1,0,0,1,18,23,1
22022,1630172,0022200963,"MAR 05, 2023",CHI vs. IND,L,21,5,6,0.833,2,3,0.667,2,2,1.0,0,1,1,0,0,0,3,1,14,-4,1
22022,1630172,0022200950,"MAR 03, 2023",CHI vs. PHX,L,29,4,8,0.5,0,2,0.0,1,2,0.5,1,2,3,0,0,0,0,2,9,-26,1
22022,1630172,0022200934,"MAR 01, 2023",CHI @ DET,W,28,4,9,0.444,1,1,1.0,2,2,1.0,0,2,2,0,0,2,0,3,11,-6,1
22022,1630172,0022200925,"FEB 28, 2023",CHI @ TOR,L,22,3,5,0.6,2,2,1.0,0,0,0.0,0,1,1,1,2,1,0,1,8,-8,1
22022,1630172,0022200912,"FEB 26, 2023",CHI vs. WAS,W,22,2,4,0.5,1,2,0.5,0,0,0.0,2,2,4,1,0,1,0,1,5,9,1
22022,1630172,0022200900,"FEB 24, 2023",CHI vs. BKN,W,28,5,8,0.625,2,2,1.0,5,8,0.625,3,3,6,3,2,0,2,1,17,21,1
22022,1630172,0022200883,"FEB 16, 2023",CHI vs. MIL,L,30,6,10,0.6,3,5,0.6,1,2,0.5,1,4,5,2,2,0,0,1,16,-28,1
22022,1630172,0022200874,"FEB 15, 2023",CHI @ IND,L,28,5,10,0.5,1,3,0.333,0,0,0.0,1,1,2,2,2,0,1,1,11,-14,1
22022,1630172,0022200863,"FEB 13, 2023",CHI vs. ORL,L,30,2,11,0.182,0,4,0.0,2,2,1.0,2,2,4,0,0,1,3,3,6,-15,1
22022,1630172,0022200852,"FEB 11, 2023",CHI @ CLE,L,33,6,10,0.6,1,3,0.333,0,0,0.0,1,5,6,3,4,0,1,2,13,6,1
22022,1630172,0022200833,"FEB 09, 2023",CHI @ BKN,L,14,1,4,0.25,0,0,0.0,0,0,0.0,0,2,2,0,1,1,1,0,2,-16,1
22022,1630172,0022200819,"FEB 07, 2023",CHI @ MEM,L,32,4,10,0.4,0,3,0.0,1,1,1.0,2,3,5,2,1,0,2,2,9,-5,1
22022,1630172,0022200811,"FEB 06, 2023",CHI vs. SAS,W,18,4,7,0.571,1,2,0.5,2,2,1.0,1,5,6,3,1,0,1,0,11,7,1
22022,1630172,0022200796,"FEB 04, 2023",CHI vs. POR,W,31,3,9,0.333,0,2,0.0,0,0,0.0,1,6,7,0,1,1,1,2,6,-11,1
22022,1630172,0022200781,"FEB 02, 2023",CHI vs. CHA,W,27,2,8,0.25,2,4,0.5,0,0,0.0,0,3,3,1,1,0,2,2,6,12,1
22022,1630172,0022200766,"JAN 31, 2023",CHI vs. LAC,L,33,4,8,0.5,1,3,0.333,2,2,1.0,0,6,6,1,0,1,1,2,11,-7,1
22022,1630172,0022200744,"JAN 28, 2023",CHI @ ORL,W,37,7,11,0.636,2,4,0.5,0,0,0.0,0,6,6,2,1,1,1,2,16,14,1
22022,1630172,0022200732,"JAN 26, 2023",CHI @ CHA,L,32,6,15,0.4,1,7,0.143,2,2,1.0,1,4,5,1,1,1,2,2,15,-5,1
22022,1630172,0022200713,"JAN 24, 2023",CHI @ IND,L,28,2,5,0.4,1,3,0.333,2,2,1.0,0,5,5,0,1,1,1,2,7,2,1
22022,1630172,0022200708,"JAN 23, 2023",CHI vs. ATL,W,31,6,11,0.545,2,4,0.5,4,5,0.8,3,7,10,2,1,0,2,2,18,4,1
