SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630171,0022201117,"MAR 26, 2023",CLE vs. HOU,W,9,1,1,1.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,1,1,4,9,1
22022,1630171,0022201094,"MAR 23, 2023",CLE @ BKN,W,30,4,5,0.8,3,4,0.75,0,0,0.0,0,1,1,1,0,0,0,3,11,-8,1
22022,1630171,0022201079,"MAR 21, 2023",CLE @ BKN,W,20,0,4,0.0,0,2,0.0,0,0,0.0,0,3,3,2,1,0,0,4,0,14,1
22022,1630171,0022201049,"MAR 17, 2023",CLE vs. WAS,W,26,2,4,0.5,0,1,0.0,0,0,0.0,1,3,4,1,1,1,1,2,4,5,1
22022,1630171,0022201035,"MAR 15, 2023",CLE vs. PHI,L,24,3,6,0.5,2,3,0.667,1,2,0.5,1,1,2,1,1,0,1,3,9,-8,1
22022,1630171,0022201027,"MAR 14, 2023",CLE @ CHA,W,36,1,3,0.333,1,1,1.0,0,0,0.0,2,1,3,1,1,1,0,5,3,11,1
22022,1630171,0022201015,"MAR 12, 2023",CLE @ CHA,W,28,2,5,0.4,1,4,0.25,0,0,0.0,2,0,2,1,1,0,0,5,5,-12,1
22022,1630171,0022201000,"MAR 10, 2023",CLE @ MIA,L,34,6,9,0.667,1,2,0.5,3,3,1.0,2,0,2,3,2,0,0,2,16,-2,1
22022,1630171,0022200987,"MAR 08, 2023",CLE @ MIA,W,29,5,7,0.714,3,4,0.75,0,0,0.0,0,0,0,2,2,0,1,2,13,10,1
22022,1630171,0022200971,"MAR 06, 2023",CLE vs. BOS,W,23,3,7,0.429,1,4,0.25,2,2,1.0,0,2,2,2,1,0,0,1,9,-5,1
22022,1630171,0022200957,"MAR 04, 2023",CLE vs. DET,W,19,2,5,0.4,0,2,0.0,1,2,0.5,0,0,0,0,2,0,1,2,5,23,1
22022,1630171,0022200935,"MAR 01, 2023",CLE @ BOS,L,16,2,5,0.4,0,3,0.0,5,5,1.0,1,1,2,0,0,1,0,4,9,-9,1
22022,1630171,0022200914,"FEB 26, 2023",CLE vs. TOR,W,21,3,3,1.0,2,2,1.0,0,0,0.0,0,2,2,1,0,0,0,0,8,10,1
22022,1630171,0022200896,"FEB 24, 2023",CLE @ ATL,L,23,1,5,0.2,1,3,0.333,3,4,0.75,2,4,6,1,0,1,0,2,6,-14,1
22022,1630171,0022200886,"FEB 23, 2023",CLE vs. DEN,L,20,1,1,1.0,0,0,0.0,0,0,0.0,2,0,2,1,0,0,0,4,2,-7,1
22022,1630171,0022200875,"FEB 15, 2023",CLE @ PHI,L,19,2,6,0.333,1,4,0.25,0,0,0.0,0,1,1,2,0,1,0,3,5,-11,1
22022,1630171,0022200858,"FEB 13, 2023",CLE vs. SAS,W,37,2,4,0.5,1,3,0.333,0,0,0.0,0,2,2,1,0,0,1,1,5,14,1
22022,1630171,0022200852,"FEB 11, 2023",CLE vs. CHI,W,27,3,9,0.333,1,5,0.2,0,0,0.0,0,3,3,0,1,0,0,0,7,0,1
22022,1630171,0022200842,"FEB 10, 2023",CLE @ NOP,W,29,3,7,0.429,1,3,0.333,0,0,0.0,0,0,0,1,0,0,0,1,7,12,1
22022,1630171,0022200822,"FEB 08, 2023",CLE vs. DET,W,27,2,4,0.5,1,3,0.333,2,2,1.0,1,3,4,5,0,2,0,0,7,29,1
22022,1630171,0022200809,"FEB 06, 2023",CLE @ WAS,W,26,4,6,0.667,2,3,0.667,2,3,0.667,0,2,2,3,0,0,1,0,12,23,1
22022,1630171,0022200803,"FEB 05, 2023",CLE @ IND,W,29,7,9,0.778,3,4,0.75,3,3,1.0,1,2,3,3,2,0,1,2,20,23,1
22022,1630171,0022200779,"FEB 02, 2023",CLE vs. MEM,W,29,5,5,1.0,0,0,0.0,2,4,0.5,1,2,3,2,3,0,2,4,12,7,1
22022,1630171,0022200764,"JAN 31, 2023",CLE vs. MIA,L,25,2,4,0.5,1,2,0.5,0,0,0.0,1,3,4,4,0,1,3,3,5,-4,1
22022,1630171,0022200754,"JAN 29, 2023",CLE vs. LAC,W,18,2,5,0.4,1,4,0.25,3,3,1.0,1,1,2,0,0,1,0,3,8,14,1
22022,1630171,0022200739,"JAN 27, 2023",CLE @ OKC,L,26,3,7,0.429,0,3,0.0,0,0,0.0,2,2,4,2,2,2,1,3,6,-7,1
22022,1630171,0022200733,"JAN 26, 2023",CLE @ HOU,W,26,2,5,0.4,1,2,0.5,0,1,0.0,1,0,1,2,0,0,0,1,5,3,1
22022,1630171,0022200715,"JAN 24, 2023",CLE @ NYK,L,31,3,5,0.6,1,3,0.333,2,3,0.667,3,3,6,5,0,0,1,4,9,18,1
22022,1630171,0022200695,"JAN 21, 2023",CLE vs. MIL,W,24,3,5,0.6,1,2,0.5,2,4,0.5,2,1,3,2,2,1,0,1,9,9,1
22022,1630171,0022200685,"JAN 20, 2023",CLE vs. GSW,L,22,2,5,0.4,0,2,0.0,0,0,0.0,1,1,2,1,2,0,0,4,4,-18,1
22022,1630171,0022200672,"JAN 18, 2023",CLE @ MEM,L,34,6,6,1.0,4,4,1.0,1,2,0.5,0,3,3,1,0,2,1,2,17,5,1
22022,1630171,0022200658,"JAN 16, 2023",CLE vs. NOP,W,29,4,8,0.5,2,4,0.5,1,2,0.5,0,4,4,1,2,0,1,1,11,2,1
22022,1630171,0022200645,"JAN 14, 2023",CLE @ MIN,L,15,3,4,0.75,2,3,0.667,0,0,0.0,0,3,3,1,3,0,1,0,8,-2,1
22022,1630171,0022200631,"JAN 12, 2023",CLE @ POR,W,29,4,4,1.0,1,1,1.0,2,3,0.667,1,4,5,0,2,0,1,3,11,4,1
22022,1630171,0022200614,"JAN 10, 2023",CLE @ UTA,L,18,1,3,0.333,0,2,0.0,2,2,1.0,0,2,2,0,0,0,0,3,4,-1,1
22022,1630171,0022200603,"JAN 08, 2023",CLE @ PHX,W,23,5,9,0.556,4,6,0.667,0,2,0.0,0,3,3,0,0,0,1,2,14,-11,1
22022,1630171,0022200588,"JAN 06, 2023",CLE @ DEN,L,17,1,5,0.2,0,0,0.0,1,2,0.5,3,2,5,2,2,0,1,1,3,-13,1
22022,1630171,0022200565,"JAN 04, 2023",CLE vs. PHX,W,19,3,7,0.429,1,3,0.333,0,1,0.0,0,4,4,1,0,0,0,2,7,5,1
22022,1630171,0022200552,"JAN 02, 2023",CLE vs. CHI,W,20,1,3,0.333,1,1,1.0,0,0,0.0,1,2,3,1,0,1,0,6,3,3,1
22022,1630171,0022200540,"DEC 31, 2022",CLE @ CHI,W,23,3,5,0.6,0,1,0.0,5,6,0.833,3,4,7,0,1,1,0,3,11,2,1
22022,1630171,0022200524,"DEC 29, 2022",CLE @ IND,L,21,4,4,1.0,0,0,0.0,2,2,1.0,0,3,3,2,0,0,0,1,10,7,1
22022,1630171,0022200498,"DEC 26, 2022",CLE vs. BKN,L,10,1,4,0.25,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,-4,1
22022,1630171,0022200484,"DEC 23, 2022",CLE vs. TOR,L,20,4,6,0.667,2,4,0.5,5,6,0.833,1,2,3,2,0,2,0,2,15,-14,1
22022,1630171,0022200466,"DEC 21, 2022",CLE vs. MIL,W,25,3,6,0.5,2,4,0.5,0,0,0.0,1,2,3,3,1,0,0,3,8,5,1
22022,1630171,0022200452,"DEC 19, 2022",CLE vs. UTA,W,30,4,8,0.5,1,4,0.25,3,4,0.75,1,1,2,4,1,0,1,2,12,10,1
22022,1630171,0022200440,"DEC 17, 2022",CLE vs. DAL,W,26,5,11,0.455,0,4,0.0,0,0,0.0,0,6,6,0,1,2,1,1,10,-8,1
22022,1630171,0022200431,"DEC 16, 2022",CLE vs. IND,W,10,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,2,0,0,0,2,-5,1
