SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629603,0022201218,"APR 09, 2023",CLE vs. CHA,L,17,4,6,0.667,1,2,0.5,0,0,0.0,0,2,2,3,1,1,1,2,9,-4,1
22022,1629603,0022201197,"APR 06, 2023",CLE @ ORL,W,24,5,7,0.714,1,2,0.5,2,2,1.0,2,6,8,1,1,1,3,5,13,9,1
22022,1629603,0022201131,"MAR 28, 2023",CLE @ ATL,L,13,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,-17,1
22022,1629603,0022201117,"MAR 26, 2023",CLE vs. HOU,W,2,1,1,1.0,1,1,1.0,0,0,0.0,1,0,1,0,0,0,0,0,3,1,1
22022,1629603,0022201049,"MAR 17, 2023",CLE vs. WAS,W,12,1,5,0.2,0,0,0.0,0,0,0.0,1,4,5,2,0,1,2,5,2,7,1
22022,1629603,0022201035,"MAR 15, 2023",CLE vs. PHI,L,9,1,2,0.5,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,8,1
22022,1629603,0022200809,"FEB 06, 2023",CLE @ WAS,W,4,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,1,0,2,0,0,1
22022,1629603,0022200803,"FEB 05, 2023",CLE @ IND,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5,1
22022,1629603,0022200733,"JAN 26, 2023",CLE @ HOU,W,3,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1
22022,1629603,0022200603,"JAN 08, 2023",CLE @ PHX,W,3,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2,-8,1
22022,1629603,0022200540,"DEC 31, 2022",CLE @ CHI,W,3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-9,1
22022,1629603,0022200360,"DEC 06, 2022",CLE vs. LAL,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,-1,1
22022,1629603,0022200348,"DEC 04, 2022",CLE @ NYK,L,11,0,2,0.0,0,1,0.0,0,0,0.0,2,0,2,0,0,1,0,2,0,-10,1
22022,1629603,0022200330,"DEC 02, 2022",CLE vs. ORL,W,12,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,1,0,1,0,8,1
22022,1629603,0022200312,"NOV 30, 2022",CLE vs. PHI,W,23,2,5,0.4,2,4,0.5,0,0,0.0,0,4,4,2,1,0,2,3,6,16,1
22022,1629603,0022200295,"NOV 27, 2022",CLE @ DET,W,14,2,3,0.667,0,1,0.0,0,0,0.0,1,1,2,0,0,2,2,2,4,5,1
22022,1629603,0022200280,"NOV 25, 2022",CLE @ MIL,L,3,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,5,7,1
22022,1629603,0022200244,"NOV 20, 2022",CLE vs. MIA,W,6,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,0,1
22022,1629603,0022200216,"NOV 16, 2022",CLE @ MIL,L,5,2,3,0.667,1,1,1.0,0,0,0.0,0,1,1,0,0,0,1,0,5,0,1
22022,1629603,0022200193,"NOV 13, 2022",CLE vs. MIN,L,3,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-9,1
22022,1629603,0022200120,"NOV 04, 2022",CLE @ DET,W,5,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,0,1,0,0,1,2,-1,1
22022,1629603,0022200090,"OCT 30, 2022",CLE vs. NYK,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1
22021,1629603,0022100813,"FEB 07, 2022",OKC vs. GSW,L,14,3,4,0.75,0,0,0.0,0,0,0.0,2,3,5,0,0,1,0,1,6,-8,1
