SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629660,0022201187,"APR 04, 2023",GSW vs. OKC,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1
22022,1629660,0022201012,"MAR 11, 2023",GSW vs. MIL,W,14,0,5,0.0,0,2,0.0,0,0,0.0,0,1,1,3,0,0,0,0,0,-6,1
22022,1629660,0022200996,"MAR 09, 2023",GSW @ MEM,L,23,3,4,0.75,3,4,0.75,2,2,1.0,0,2,2,3,1,0,1,1,11,-10,1
22022,1629660,0022200953,"MAR 03, 2023",GSW vs. NOP,W,22,1,5,0.2,0,1,0.0,0,0,0.0,0,3,3,5,0,0,2,2,2,-3,1
22022,1629660,0022200945,"MAR 02, 2023",GSW vs. LAC,W,20,1,6,0.167,0,4,0.0,2,2,1.0,0,4,4,3,1,0,0,0,4,6,1
22022,1629660,0022200931,"FEB 28, 2023",GSW vs. POR,W,17,1,2,0.5,0,1,0.0,0,0,0.0,1,1,2,6,0,0,0,2,2,-3,1
22022,1629660,0022200916,"FEB 26, 2023",GSW vs. MIN,W,21,1,5,0.2,0,1,0.0,0,0,0.0,1,3,4,4,3,0,0,3,2,-4,1
22022,1629660,0022200901,"FEB 24, 2023",GSW vs. HOU,W,24,4,7,0.571,1,2,0.5,0,0,0.0,0,1,1,3,0,0,2,1,9,6,1
22022,1629660,0022200893,"FEB 23, 2023",GSW @ LAL,L,30,8,15,0.533,2,4,0.5,2,2,1.0,0,2,2,3,1,0,2,3,20,-7,1
22022,1629660,0022200871,"FEB 14, 2023",GSW @ LAC,L,17,3,5,0.6,1,1,1.0,4,5,0.8,0,2,2,2,0,0,1,2,11,2,1
22022,1629660,0022200866,"FEB 13, 2023",GSW vs. WAS,W,18,4,5,0.8,0,0,0.0,1,1,1.0,1,1,2,7,0,0,1,0,9,12,1
22022,1629660,0022200853,"FEB 11, 2023",GSW vs. LAL,L,18,5,7,0.714,0,0,0.0,0,0,0.0,0,1,1,4,2,0,1,0,10,-11,1
22022,1629660,0022200830,"FEB 08, 2023",GSW @ POR,L,18,2,3,0.667,0,1,0.0,0,0,0.0,0,3,3,5,1,0,0,3,4,6,1
22022,1629660,0022200814,"FEB 06, 2023",GSW vs. OKC,W,19,2,6,0.333,1,2,0.5,1,2,0.5,1,2,3,4,0,0,0,0,6,-1,1
22022,1629660,0022200800,"FEB 04, 2023",GSW vs. DAL,W,18,2,4,0.5,1,1,1.0,0,0,0.0,0,2,2,6,1,0,0,2,5,2,1
22022,1629660,0022200783,"FEB 02, 2023",GSW @ DEN,L,24,4,10,0.4,1,6,0.167,0,0,0.0,0,1,1,3,1,2,1,2,9,2,1
22022,1629660,0022200704,"JAN 22, 2023",GSW vs. BKN,L,9,1,2,0.5,1,1,1.0,0,0,0.0,0,2,2,1,1,0,1,4,3,8,1
22022,1629660,0022200685,"JAN 20, 2023",GSW @ CLE,W,41,9,13,0.692,3,4,0.75,1,1,1.0,0,1,1,8,1,1,1,2,22,3,1
22022,1629660,0022200660,"JAN 16, 2023",GSW @ WAS,W,14,0,3,0.0,0,0,0.0,0,0,0.0,0,1,1,2,2,0,0,2,0,2,1
22022,1629660,0022200650,"JAN 15, 2023",GSW @ CHI,L,4,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,5,0,0,0,1,0,-2,1
22022,1629660,0022200615,"JAN 10, 2023",GSW vs. PHX,L,9,2,3,0.667,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,4,3,1
22022,1629660,0022200594,"JAN 07, 2023",GSW vs. ORL,L,18,2,6,0.333,0,2,0.0,0,0,0.0,0,1,1,1,1,0,1,1,4,-4,1
22022,1629660,0022200573,"JAN 04, 2023",GSW vs. DET,L,27,7,11,0.636,3,4,0.75,1,1,1.0,0,0,0,3,0,0,1,2,18,-2,1
22022,1629660,0022200558,"JAN 02, 2023",GSW vs. ATL,W,22,1,6,0.167,0,3,0.0,1,1,1.0,0,2,2,2,1,0,2,1,3,2,1
22022,1629660,0022200536,"DEC 30, 2022",GSW vs. POR,W,21,2,5,0.4,1,3,0.333,4,4,1.0,0,1,1,4,1,1,2,2,9,-11,1
22022,1629660,0022200521,"DEC 28, 2022",GSW vs. UTA,W,30,7,14,0.5,2,7,0.286,1,1,1.0,0,7,7,2,1,0,0,5,17,7,1
22022,1629660,0022200513,"DEC 27, 2022",GSW vs. CHA,W,20,2,9,0.222,1,4,0.25,0,0,0.0,0,0,0,4,0,0,1,3,5,-3,1
22022,1629660,0022200496,"DEC 25, 2022",GSW vs. MEM,W,22,6,9,0.667,2,4,0.5,0,0,0.0,1,3,4,1,1,0,0,0,14,23,1
22022,1629660,0022200470,"DEC 21, 2022",GSW @ BKN,L,26,5,9,0.556,1,1,1.0,3,3,1.0,1,2,3,7,1,0,1,1,14,-14,1
