SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629731,0022201218,"APR 09, 2023",CLE vs. CHA,L,24,3,6,0.5,3,4,0.75,0,0,0.0,0,3,3,1,3,1,1,1,9,-5,1
22022,1629731,0022201197,"APR 06, 2023",CLE @ ORL,W,23,3,7,0.429,1,4,0.25,0,0,0.0,2,4,6,2,1,0,2,1,7,11,1
22022,1629731,0022201178,"APR 04, 2023",CLE @ ORL,W,29,1,5,0.2,1,5,0.2,0,0,0.0,0,3,3,1,0,1,0,4,3,-8,1
22022,1629731,0022201173,"APR 02, 2023",CLE vs. IND,W,27,2,3,0.667,1,2,0.5,0,0,0.0,2,3,5,1,0,0,0,3,5,15,1
22022,1629731,0022201154,"MAR 31, 2023",CLE vs. NYK,L,13,2,4,0.5,1,3,0.333,0,0,0.0,0,3,3,0,0,1,0,0,5,-5,1
22022,1629731,0022201049,"MAR 17, 2023",CLE vs. WAS,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,1
22022,1629731,0022201027,"MAR 14, 2023",CLE @ CHA,W,19,0,4,0.0,0,4,0.0,0,0,0.0,0,0,0,0,0,1,0,2,0,6,1
22022,1629731,0022200971,"MAR 06, 2023",CLE vs. BOS,W,11,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-10,1
22022,1629731,0022200957,"MAR 04, 2023",CLE vs. DET,W,14,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,2,1,1,0,2,0,-11,1
22022,1629731,0022200935,"MAR 01, 2023",CLE @ BOS,L,15,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-6,1
22022,1629731,0022200914,"FEB 26, 2023",CLE vs. TOR,W,25,1,7,0.143,1,5,0.2,0,0,0.0,0,6,6,2,1,0,0,3,3,10,1
