SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,202691,0022501193,"Apr 12, 2026",DAL vs. CHI,W,10,4,10,0.4,4,9,0.444,0,0,0.0,0,0,0,1,1,0,0,0,12,-4,1
22025,202691,0022501156,"Apr 07, 2026",DAL @ LAC,L,26,4,17,0.235,1,10,0.1,2,2,1.0,1,2,3,2,0,3,1,2,11,1,1
22025,202691,0022501140,"Apr 05, 2026",DAL vs. LAL,W,18,4,8,0.5,3,6,0.5,0,0,0.0,0,0,0,2,0,0,0,0,11,4,1
22025,202691,0022501127,"Apr 03, 2026",DAL vs. ORL,L,22,7,13,0.538,4,10,0.4,0,0,0.0,0,1,1,2,0,0,1,0,18,-11,1
22025,202691,0022501095,"Mar 30, 2026",DAL vs. MIN,L,22,1,8,0.125,1,6,0.167,2,2,1.0,0,2,2,2,0,0,2,2,5,-9,1
22025,202691,0022501074,"Mar 27, 2026",DAL @ POR,W,18,2,10,0.2,2,8,0.25,1,1,1.0,0,2,2,3,0,1,1,1,7,12,1
22025,202691,0022501059,"Mar 25, 2026",DAL @ DEN,L,11,3,6,0.5,2,2,1.0,0,0,0.0,0,0,0,0,0,0,0,1,8,-4,1
22025,202691,0022501044,"Mar 23, 2026",DAL vs. GSW,L,28,5,10,0.5,5,9,0.556,0,0,0.0,0,1,1,1,1,1,1,2,15,-13,1
22025,202691,0022501029,"Mar 21, 2026",DAL vs. LAC,L,27,4,6,0.667,4,4,1.0,0,0,0.0,0,0,0,2,0,1,1,1,12,14,1
22025,202691,0022501006,"Mar 18, 2026",DAL vs. ATL,L,22,6,12,0.5,4,10,0.4,1,2,0.5,0,0,0,1,1,0,0,0,17,4,1
22025,202691,0022500965,"Mar 13, 2026",DAL vs. CLE,L,16,3,11,0.273,0,5,0.0,0,0,0.0,2,0,2,1,0,0,0,1,6,-27,1
22025,202691,0022500939,"Mar 10, 2026",DAL @ ATL,L,28,8,16,0.5,5,11,0.455,0,0,0.0,0,1,1,1,2,0,0,3,21,-10,1
22025,202691,0022500924,"Mar 08, 2026",DAL @ TOR,L,21,2,10,0.2,1,7,0.143,0,0,0.0,0,1,1,2,0,0,2,1,5,-8,1
22025,202691,0022500908,"Mar 06, 2026",DAL @ BOS,L,18,7,13,0.538,5,11,0.455,0,0,0.0,0,0,0,1,0,0,0,0,19,-8,1
22025,202691,0022500899,"Mar 05, 2026",DAL @ ORL,L,26,7,12,0.583,7,12,0.583,3,3,1.0,0,4,4,1,1,0,1,3,24,13,1
22025,202691,0022500876,"Mar 01, 2026",DAL vs. OKC,L,15,3,8,0.375,1,5,0.2,0,0,0.0,0,0,0,1,0,0,2,1,7,-3,1
22025,202691,0022500854,"Feb 26, 2026",DAL vs. SAC,L,16,3,7,0.429,2,3,0.667,0,0,0.0,0,2,2,2,0,1,1,0,8,-4,1
22025,202691,0022500833,"Feb 24, 2026",DAL @ BKN,W,23,6,12,0.5,5,10,0.5,0,0,0.0,1,1,2,2,0,0,1,0,17,11,1
