SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629029,0022201210,"APR 07, 2023",DAL vs. CHI,L,13,4,11,0.364,0,5,0.0,5,7,0.714,0,5,5,3,0,0,0,1,13,5,1
22022,1629029,0022201195,"APR 05, 2023",DAL vs. SAC,W,39,9,19,0.474,3,11,0.273,8,10,0.8,1,9,10,6,1,0,1,3,29,12,1
22022,1629029,0022201167,"APR 02, 2023",DAL @ ATL,L,44,8,21,0.381,3,12,0.25,3,4,0.75,0,7,7,7,0,1,5,2,22,-1,1
22022,1629029,0022201161,"APR 01, 2023",DAL @ MIA,L,45,17,25,0.68,2,6,0.333,6,7,0.857,0,10,10,8,2,0,3,4,42,-6,1
22022,1629029,0022201139,"MAR 29, 2023",DAL @ PHI,L,37,9,20,0.45,4,9,0.444,2,2,1.0,1,9,10,8,0,1,4,3,24,-7,1
22022,1629029,0022201123,"MAR 27, 2023",DAL @ IND,W,28,8,17,0.471,4,10,0.4,5,5,1.0,2,5,7,6,1,0,0,0,25,9,1
22022,1629029,0022201113,"MAR 26, 2023",DAL @ CHA,L,40,12,29,0.414,7,16,0.438,9,10,0.9,1,11,12,8,2,2,4,2,40,-11,1
22022,1629029,0022201101,"MAR 24, 2023",DAL vs. CHA,L,37,12,23,0.522,2,9,0.222,8,10,0.8,0,10,10,8,0,1,5,0,34,-1,1
22022,1629029,0022201086,"MAR 22, 2023",DAL vs. GSW,L,41,11,27,0.407,2,10,0.2,6,10,0.6,1,6,7,17,1,0,5,3,30,2,1
22022,1629029,0022200988,"MAR 08, 2023",DAL @ NOP,L,28,4,14,0.286,1,5,0.2,6,8,0.75,0,3,3,8,1,0,1,0,15,-4,1
22022,1629029,0022200983,"MAR 07, 2023",DAL vs. UTA,W,34,10,23,0.435,4,11,0.364,5,8,0.625,1,9,10,6,2,1,6,2,29,2,1
22022,1629029,0022200962,"MAR 05, 2023",DAL vs. PHX,L,35,8,23,0.348,1,9,0.111,17,19,0.895,0,9,9,4,0,0,5,4,34,-11,1
22022,1629029,0022200943,"MAR 02, 2023",DAL vs. PHI,W,40,13,22,0.591,7,13,0.538,9,11,0.818,1,3,4,12,1,0,5,2,42,20,1
22022,1629029,0022200929,"FEB 28, 2023",DAL vs. IND,L,38,14,25,0.56,3,9,0.333,8,12,0.667,1,7,8,6,0,1,2,3,39,-2,1
