SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629684,0022201216,"APR 09, 2023",BOS vs. ATL,W,6,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-6,1
22022,1629684,0022201206,"APR 07, 2023",BOS vs. TOR,W,18,0,4,0.0,0,3,0.0,3,4,0.75,2,5,7,2,0,0,3,0,3,13,1
22022,1629684,0022201192,"APR 05, 2023",BOS vs. TOR,W,19,1,5,0.2,0,3,0.0,0,2,0.0,1,0,1,0,0,2,1,1,2,1,1
22022,1629684,0022201181,"APR 04, 2023",BOS @ PHI,L,29,4,7,0.571,2,4,0.5,0,0,0.0,1,1,2,3,0,0,0,3,10,-2,1
22022,1629684,0022201152,"MAR 31, 2023",BOS vs. UTA,W,17,5,6,0.833,3,4,0.75,0,0,0.0,1,4,5,2,0,1,0,1,13,10,1
22022,1629684,0022201146,"MAR 30, 2023",BOS @ MIL,W,23,2,4,0.5,1,3,0.333,1,2,0.5,0,5,5,1,0,0,0,2,6,9,1
22022,1629684,0022201130,"MAR 28, 2023",BOS @ WAS,L,26,2,6,0.333,0,4,0.0,4,5,0.8,2,4,6,2,0,1,1,1,8,-1,1
22022,1629684,0022201116,"MAR 26, 2023",BOS vs. SAS,W,18,1,2,0.5,1,2,0.5,0,0,0.0,0,4,4,0,0,1,0,2,3,12,1
22022,1629684,0022201097,"MAR 24, 2023",BOS vs. IND,W,29,5,10,0.5,2,6,0.333,0,2,0.0,4,2,6,1,0,0,2,2,12,16,1
22022,1629684,0022201081,"MAR 21, 2023",BOS @ SAC,W,22,3,4,0.75,0,1,0.0,0,0,0.0,2,3,5,3,2,0,0,0,6,8,1
22022,1629684,0022201062,"MAR 18, 2023",BOS @ UTA,L,31,8,16,0.5,7,12,0.583,0,0,0.0,1,3,4,2,0,0,1,5,23,-5,1
22022,1629684,0022201053,"MAR 17, 2023",BOS @ POR,W,16,2,7,0.286,2,6,0.333,0,0,0.0,0,3,3,0,0,0,0,2,6,5,1
22022,1629684,0022201039,"MAR 15, 2023",BOS @ MIN,W,26,1,5,0.2,0,3,0.0,0,0,0.0,1,3,4,1,0,0,1,3,2,-4,1
