SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630182,0022201195,"APR 05, 2023",DAL vs. SAC,W,31,4,5,0.8,2,3,0.667,0,0,0.0,1,8,9,1,0,1,3,2,10,-1,1
22022,1630182,0022201167,"APR 02, 2023",DAL @ ATL,L,40,6,9,0.667,1,4,0.25,0,0,0.0,2,3,5,4,1,0,0,1,13,6,1
22022,1630182,0022201161,"APR 01, 2023",DAL @ MIA,L,22,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,3,0,-4,1
22022,1630182,0022201139,"MAR 29, 2023",DAL @ PHI,L,20,2,5,0.4,1,3,0.333,1,1,1.0,2,1,3,1,0,0,0,1,6,-15,1
22022,1630182,0022201123,"MAR 27, 2023",DAL @ IND,W,21,1,1,1.0,0,0,0.0,0,0,0.0,0,4,4,1,0,0,0,3,2,26,1
22022,1630182,0022201113,"MAR 26, 2023",DAL @ CHA,L,14,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,3,2,-25,1
22022,1630182,0022201101,"MAR 24, 2023",DAL vs. CHA,L,21,1,3,0.333,0,1,0.0,1,2,0.5,0,3,3,1,1,0,3,1,3,-12,1
22022,1630182,0022201086,"MAR 22, 2023",DAL vs. GSW,L,36,4,8,0.5,2,3,0.667,2,2,1.0,2,2,4,2,2,0,2,1,12,7,1
22022,1630182,0022201075,"MAR 20, 2023",DAL @ MEM,L,34,5,8,0.625,0,1,0.0,2,2,1.0,1,2,3,1,0,0,2,1,12,-1,1
22022,1630182,0022201054,"MAR 17, 2023",DAL @ LAL,W,25,4,9,0.444,0,3,0.0,1,1,1.0,0,2,2,1,0,0,2,3,9,0,1
22022,1630182,0022201040,"MAR 15, 2023",DAL @ SAS,W,45,9,18,0.5,2,5,0.4,1,2,0.5,1,2,3,7,1,0,2,5,21,17,1
22022,1630182,0022201023,"MAR 13, 2023",DAL vs. MEM,L,27,10,15,0.667,3,6,0.5,0,0,0.0,2,3,5,7,0,0,4,5,23,-2,1
22022,1630182,0022201010,"MAR 11, 2023",DAL @ MEM,L,34,9,16,0.563,3,6,0.5,0,0,0.0,3,7,10,4,0,0,3,4,21,-2,1
22022,1630182,0022200988,"MAR 08, 2023",DAL @ NOP,L,24,1,5,0.2,1,3,0.333,0,0,0.0,0,1,1,0,0,0,2,3,3,7,1
22022,1630182,0022200983,"MAR 07, 2023",DAL vs. UTA,W,27,3,10,0.3,1,5,0.2,0,0,0.0,0,3,3,2,0,0,1,2,7,-5,1
22022,1630182,0022200962,"MAR 05, 2023",DAL vs. PHX,L,28,0,2,0.0,0,1,0.0,0,0,0.0,1,2,3,0,0,0,0,3,0,4,1
22022,1630182,0022200943,"MAR 02, 2023",DAL vs. PHI,W,32,2,3,0.667,1,2,0.5,0,0,0.0,1,4,5,2,1,0,4,1,5,18,1
22022,1630182,0022200929,"FEB 28, 2023",DAL vs. IND,L,22,4,5,0.8,0,0,0.0,0,0,0.0,1,5,6,2,0,0,0,3,8,-10,1
22022,1630182,0022200913,"FEB 26, 2023",DAL vs. LAL,L,16,3,6,0.5,3,5,0.6,0,0,0.0,1,2,3,1,0,0,0,4,9,-3,1
22022,1630182,0022200891,"FEB 23, 2023",DAL vs. SAS,W,26,4,8,0.5,2,4,0.5,1,2,0.5,0,1,1,2,0,1,2,2,11,-1,1
