SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629033,0022201224,"APR 09, 2023",DAL vs. SAS,L,40,8,16,0.5,5,10,0.5,2,2,1.0,2,11,13,12,1,0,0,3,23,-11,1
22022,1629033,0022201210,"APR 07, 2023",DAL vs. CHI,L,31,3,10,0.3,2,8,0.25,0,0,0.0,0,7,7,3,1,0,2,4,8,4,1
22022,1629033,0022201123,"MAR 27, 2023",DAL @ IND,W,7,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,1,3,0,-4,1
22022,1629033,0022201054,"MAR 17, 2023",DAL @ LAL,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,1
22022,1629033,0022201023,"MAR 13, 2023",DAL vs. MEM,L,4,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,0,0,3,1
22022,1629033,0022200988,"MAR 08, 2023",DAL @ NOP,L,3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5,1
22022,1629033,0022200983,"MAR 07, 2023",DAL vs. UTA,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1
22022,1629033,0022200891,"FEB 23, 2023",DAL vs. SAS,W,6,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,1,0,0,0,0,0,1
22022,1629033,0022200881,"FEB 15, 2023",DAL @ DEN,L,20,0,5,0.0,0,2,0.0,0,0,0.0,1,0,1,4,0,0,0,3,0,4,1
22022,1629033,0022200865,"FEB 13, 2023",DAL vs. MIN,L,19,2,6,0.333,2,5,0.4,0,0,0.0,0,1,1,1,0,0,0,5,6,12,1
22022,1629033,0022200854,"FEB 11, 2023",DAL @ SAC,L,10,1,4,0.25,1,4,0.25,0,0,0.0,0,0,0,2,0,1,1,1,3,-17,1
22022,1629033,0022200844,"FEB 10, 2023",DAL @ SAC,W,15,1,4,0.25,0,3,0.0,0,0,0.0,1,0,1,2,1,0,1,2,2,-1,1
22022,1629033,0022200829,"FEB 08, 2023",DAL @ LAC,W,16,3,4,0.75,2,2,1.0,1,2,0.5,0,2,2,4,0,0,1,3,9,-1,1
22022,1629033,0022200813,"FEB 06, 2023",DAL @ UTA,W,13,1,2,0.5,1,2,0.5,0,0,0.0,3,1,4,2,0,0,1,1,3,3,1
22022,1629033,0022200800,"FEB 04, 2023",DAL @ GSW,L,7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-7,1
22022,1629033,0022200750,"JAN 28, 2023",DAL @ UTA,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
22022,1629033,0022200686,"JAN 20, 2023",DAL vs. MIA,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-3,1
22022,1629033,0022200654,"JAN 15, 2023",DAL @ POR,L,21,1,3,0.333,1,2,0.5,0,0,0.0,1,2,3,5,0,0,1,4,3,-6,1
22022,1629033,0022200647,"JAN 14, 2023",DAL @ POR,L,13,4,7,0.571,3,6,0.5,0,0,0.0,0,1,1,3,0,0,0,0,11,-4,1
22022,1629033,0022200617,"JAN 10, 2023",DAL @ LAC,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
22022,1629033,0022200602,"JAN 08, 2023",DAL @ OKC,L,7,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,0,3,-3,1
22022,1629033,0022200593,"JAN 07, 2023",DAL vs. NOP,W,2,0,0,0.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,0,0,2,0,1
22022,1629033,0022200577,"JAN 05, 2023",DAL vs. BOS,L,4,1,2,0.5,0,1,0.0,1,1,1.0,0,0,0,0,0,0,0,0,3,-6,1
22022,1629033,0022200556,"JAN 02, 2023",DAL @ HOU,W,5,1,3,0.333,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,1,3,1,1
22022,1629033,0022200542,"DEC 31, 2022",DAL @ SAS,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1
22022,1629033,0022200528,"DEC 29, 2022",DAL vs. HOU,W,6,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,1,3,-8,1
22022,1629033,0022200494,"DEC 25, 2022",DAL vs. LAL,W,7,0,2,0.0,0,2,0.0,0,0,0.0,0,3,3,0,0,0,0,0,0,-1,1
22022,1629033,0022200487,"DEC 23, 2022",DAL @ HOU,W,14,2,3,0.667,2,2,1.0,0,0,0.0,1,2,3,1,1,0,0,1,6,3,1
22022,1629033,0022200456,"DEC 19, 2022",DAL @ MIN,L,3,0,0,0.0,0,0,0.0,1,2,0.5,1,1,2,1,0,0,0,1,1,6,1
22022,1629033,0022200440,"DEC 17, 2022",DAL @ CLE,L,9,0,4,0.0,0,1,0.0,0,0,0.0,0,3,3,0,0,0,2,0,0,-7,1
22022,1629033,0022200436,"DEC 16, 2022",DAL vs. POR,W,7,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,0,0,-5,1
22022,1629033,0022200421,"DEC 14, 2022",DAL vs. CLE,L,3,0,0,0.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,0,0,2,4,1
22022,1629033,0022200391,"DEC 10, 2022",DAL @ CHI,L,4,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-7,1
22022,1629033,0022200358,"DEC 05, 2022",DAL vs. PHX,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1
22022,1629033,0022200337,"DEC 03, 2022",DAL @ NYK,W,5,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,1,1,0,0,0,0,-10,1
22022,1629033,0022200298,"NOV 27, 2022",DAL @ MIL,L,3,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,0,0,5,1
22022,1629033,0022200264,"NOV 23, 2022",DAL @ BOS,L,2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,2,1
22022,1629033,0022200230,"NOV 18, 2022",DAL vs. DEN,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1,1
22022,1629033,0022200172,"NOV 10, 2022",DAL @ WAS,L,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
22022,1629033,0022200034,"OCT 22, 2022",DAL vs. MEM,W,7,0,0,0.0,0,0,0.0,2,2,1.0,0,2,2,1,0,0,0,0,2,8,1
22021,1629033,0022101219,"APR 10, 2022",DAL vs. SAS,W,13,5,5,1.0,4,4,1.0,2,2,1.0,0,1,1,2,0,0,2,1,16,-7,1
22021,1629033,0022101209,"APR 08, 2022",DAL vs. POR,W,13,0,2,0.0,0,1,0.0,2,2,1.0,1,0,1,2,1,0,1,2,2,16,1
22021,1629033,0022101190,"APR 06, 2022",DAL @ DET,W,2,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,2,-1,1
22021,1629033,0022100820,"FEB 08, 2022",DAL vs. DET,W,9,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5,1
22021,1629033,0022100746,"JAN 29, 2022",DAL vs. IND,W,5,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,-3,1
22021,1629033,0022100732,"JAN 26, 2022",DAL @ POR,W,2,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,1
22021,1629033,0022100720,"JAN 25, 2022",DAL @ GSW,L,8,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,1,0,0,0,0,0,-9,1
22021,1629033,0022100705,"JAN 23, 2022",DAL vs. MEM,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1
22021,1629033,0022100622,"JAN 12, 2022",DAL @ NYK,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1
22021,1629033,0022100586,"JAN 07, 2022",DAL @ HOU,W,3,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1
22021,1629033,0022100572,"JAN 05, 2022",DAL vs. GSW,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,4,1
22021,1629033,0022100558,"JAN 03, 2022",DAL vs. DEN,W,2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1
22021,1629033,0022100550,"JAN 02, 2022",DAL @ OKC,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
22021,1629033,0022100531,"DEC 31, 2021",DAL @ SAC,W,8,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,3,0,1,0,1,0,-11,1
