SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,203501,0022201195,"APR 05, 2023",DAL vs. SAC,W,37,8,14,0.571,5,8,0.625,3,3,1.0,0,4,4,4,0,0,0,3,24,10,1
22022,203501,0022201167,"APR 02, 2023",DAL @ ATL,L,18,1,6,0.167,1,4,0.25,3,4,0.75,0,1,1,0,0,0,1,2,6,-13,1
22022,203501,0022201161,"APR 01, 2023",DAL @ MIA,L,41,11,15,0.733,6,10,0.6,3,4,0.75,0,6,6,7,0,0,1,2,31,10,1
22022,203501,0022201139,"MAR 29, 2023",DAL @ PHI,L,36,8,15,0.533,5,10,0.5,0,0,0.0,0,2,2,2,0,0,1,4,21,9,1
22022,203501,0022201123,"MAR 27, 2023",DAL @ IND,W,24,4,8,0.5,2,4,0.5,3,4,0.75,0,2,2,2,0,1,2,1,13,1,1
22022,203501,0022201113,"MAR 26, 2023",DAL @ CHA,L,36,5,14,0.357,3,9,0.333,2,2,1.0,0,5,5,1,1,1,0,3,15,17,1
22022,203501,0022201075,"MAR 20, 2023",DAL @ MEM,L,25,1,4,0.25,0,3,0.0,0,0,0.0,0,3,3,0,2,0,0,0,2,-15,1
22022,203501,0022201054,"MAR 17, 2023",DAL @ LAL,W,27,4,12,0.333,1,5,0.2,3,3,1.0,0,4,4,1,1,0,2,2,12,-6,1
22022,203501,0022201023,"MAR 13, 2023",DAL vs. MEM,L,28,2,10,0.2,1,6,0.167,0,0,0.0,0,2,2,2,0,0,1,2,5,-15,1
22022,203501,0022201010,"MAR 11, 2023",DAL @ MEM,L,36,8,15,0.533,4,8,0.5,3,5,0.6,1,5,6,2,0,2,3,2,23,-2,1
22022,203501,0022200988,"MAR 08, 2023",DAL @ NOP,L,40,6,13,0.462,5,12,0.417,0,0,0.0,0,2,2,5,2,0,0,2,17,7,1
22022,203501,0022200983,"MAR 07, 2023",DAL vs. UTA,W,33,8,12,0.667,7,9,0.778,1,2,0.5,0,4,4,4,2,0,0,4,24,17,1
