SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630647,0022201189,"APR 05, 2023",DET vs. BKN,L,14,2,6,0.333,2,4,0.5,0,0,0.0,1,1,2,1,1,0,3,1,6,-15,1
22022,1630647,0022201177,"APR 04, 2023",DET vs. MIA,L,26,2,6,0.333,1,3,0.333,6,7,0.857,1,3,4,2,2,0,0,2,11,-6,1
22022,1630647,0022201169,"APR 02, 2023",DET @ ORL,L,28,6,17,0.353,3,11,0.273,4,7,0.571,0,2,2,2,2,0,2,2,19,-5,1
22022,1630647,0022201155,"MAR 31, 2023",DET @ HOU,L,17,3,7,0.429,1,4,0.25,4,6,0.667,1,2,3,0,0,0,1,1,11,4,1
22022,1630647,0022201142,"MAR 29, 2023",DET @ OKC,L,28,5,8,0.625,3,5,0.6,1,2,0.5,2,3,5,2,0,0,2,2,14,0,1
22022,1630647,0022201122,"MAR 27, 2023",DET vs. MIL,L,14,1,3,0.333,1,2,0.5,4,4,1.0,0,0,0,0,0,0,1,4,7,-7,1
22022,1630647,0022201099,"MAR 24, 2023",DET @ TOR,L,33,3,10,0.3,0,3,0.0,3,5,0.6,2,5,7,1,2,2,3,2,9,-14,1
22022,1630647,0022201078,"MAR 21, 2023",DET @ ATL,L,24,2,6,0.333,0,2,0.0,0,1,0.0,1,8,9,1,0,0,1,3,4,3,1
22022,1630647,0022201066,"MAR 19, 2023",DET vs. MIA,L,20,2,7,0.286,1,3,0.333,2,2,1.0,0,1,1,1,0,0,0,3,7,-3,1
22022,1630647,0022201042,"MAR 16, 2023",DET vs. DEN,L,26,5,9,0.556,1,3,0.333,0,0,0.0,1,2,3,1,1,0,1,4,11,-18,1
22022,1630647,0022201028,"MAR 14, 2023",DET @ WAS,L,20,4,12,0.333,0,5,0.0,0,1,0.0,2,2,4,2,1,0,0,4,8,-12,1
22022,1630647,0022201020,"MAR 13, 2023",DET vs. IND,W,32,8,13,0.615,1,5,0.2,0,1,0.0,2,4,6,2,3,0,0,5,17,24,1
22022,1630647,0022201006,"MAR 11, 2023",DET vs. IND,L,26,5,9,0.556,1,3,0.333,0,0,0.0,1,2,3,0,0,1,1,3,11,-1,1
22022,1630647,0022200992,"MAR 09, 2023",DET vs. CHA,L,27,3,6,0.5,1,1,1.0,2,2,1.0,2,1,3,1,1,0,1,5,9,4,1
22022,1630647,0022200769,"MAR 07, 2023",DET vs. WAS,L,23,5,11,0.455,1,2,0.5,4,5,0.8,4,2,6,1,1,0,1,3,15,3,1
22022,1630647,0022200977,"MAR 06, 2023",DET vs. POR,L,3,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,2,8,1
22022,1630647,0022200957,"MAR 04, 2023",DET @ CLE,L,12,1,4,0.25,0,2,0.0,2,2,1.0,1,0,1,0,0,0,1,1,4,5,1
22022,1630647,0022200880,"FEB 15, 2023",OKC vs. HOU,W,9,1,3,0.333,0,1,0.0,3,5,0.6,0,1,1,0,1,0,0,1,5,-2,1
22022,1630647,0022200843,"FEB 10, 2023",OKC @ POR,W,7,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,2,2,-6,1
