SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1631093,0022201223,"APR 09, 2023",DET @ CHI,L,37,7,20,0.35,2,7,0.286,0,0,0.0,1,2,3,3,0,0,5,6,16,-30,1
22022,1631093,0022201203,"APR 07, 2023",DET @ IND,W,42,9,20,0.45,3,8,0.375,8,10,0.8,1,4,5,9,2,0,4,3,29,-6,1
22022,1631093,0022201189,"APR 05, 2023",DET vs. BKN,L,43,9,22,0.409,2,6,0.333,3,3,1.0,2,3,5,10,0,0,5,2,23,-20,1
22022,1631093,0022201177,"APR 04, 2023",DET vs. MIA,L,37,11,15,0.733,4,6,0.667,4,5,0.8,0,4,4,7,1,0,5,3,30,-6,1
22022,1631093,0022201169,"APR 02, 2023",DET @ ORL,L,31,4,14,0.286,2,7,0.286,4,4,1.0,1,2,3,6,1,0,4,5,14,-11,1
22022,1631093,0022201155,"MAR 31, 2023",DET @ HOU,L,35,8,20,0.4,2,9,0.222,0,0,0.0,1,2,3,9,2,0,4,5,18,-11,1
22022,1631093,0022201142,"MAR 29, 2023",DET @ OKC,L,31,8,18,0.444,5,8,0.625,3,3,1.0,0,2,2,9,0,0,5,6,24,-7,1
22022,1631093,0022201122,"MAR 27, 2023",DET vs. MIL,L,32,9,19,0.474,3,6,0.5,11,12,0.917,1,7,8,8,0,0,4,4,32,1,1
22022,1631093,0022201099,"MAR 24, 2023",DET @ TOR,L,41,7,13,0.538,2,6,0.333,4,4,1.0,1,2,3,8,1,0,9,3,20,-13,1
22022,1631093,0022201078,"MAR 21, 2023",DET @ ATL,L,30,6,19,0.316,2,9,0.222,3,4,0.75,1,3,4,5,0,0,1,3,17,-20,1
22022,1631093,0022201066,"MAR 19, 2023",DET vs. MIA,L,38,3,7,0.429,2,4,0.5,3,4,0.75,1,3,4,5,0,0,3,4,11,-19,1
22022,1631093,0022201042,"MAR 16, 2023",DET vs. DEN,L,35,4,15,0.267,2,5,0.4,4,8,0.5,1,1,2,6,0,0,4,3,14,-10,1
22022,1631093,0022200992,"MAR 09, 2023",DET vs. CHA,L,32,5,17,0.294,2,7,0.286,4,4,1.0,2,1,3,6,0,2,7,4,16,-13,1
22022,1631093,0022200769,"MAR 07, 2023",DET vs. WAS,L,32,9,20,0.45,3,6,0.5,5,6,0.833,2,3,5,12,1,0,5,5,26,-7,1
22022,1631093,0022200977,"MAR 06, 2023",DET vs. POR,L,31,4,14,0.286,0,7,0.0,5,5,1.0,0,5,5,13,1,0,1,4,13,-1,1
22022,1631093,0022200957,"MAR 04, 2023",DET @ CLE,L,30,4,14,0.286,1,4,0.25,1,2,0.5,2,2,4,2,0,0,5,1,10,-18,1
22022,1631093,0022200934,"MAR 01, 2023",DET vs. CHI,L,31,5,9,0.556,2,4,0.5,6,9,0.667,0,4,4,2,1,0,4,4,18,-10,1
22022,1631093,0022200903,"FEB 25, 2023",DET vs. TOR,L,32,3,16,0.188,0,5,0.0,4,4,1.0,1,1,2,10,0,1,3,5,10,-4,1
22022,1631093,0022200888,"FEB 23, 2023",DET @ ORL,L,31,9,13,0.692,5,7,0.714,2,4,0.5,0,2,2,4,0,1,3,0,25,-13,1
22022,1631093,0022200877,"FEB 15, 2023",DET @ BOS,L,26,7,13,0.538,1,5,0.2,2,4,0.5,2,3,5,4,1,0,3,3,17,-7,1
