SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1628420,0022201151,"MAR 31, 2023",WAS vs. ORL,L,13,1,5,0.2,1,3,0.333,1,1,1.0,1,2,3,5,1,0,0,0,4,3,1
22022,1628420,0022201130,"MAR 28, 2023",WAS vs. BOS,W,29,9,15,0.6,1,6,0.167,0,0,0.0,0,3,3,9,1,2,0,0,19,25,1
22022,1628420,0022201098,"MAR 24, 2023",WAS vs. SAS,W,19,5,8,0.625,0,1,0.0,0,0,0.0,1,1,2,4,0,1,0,0,10,-14,1
22022,1628420,0022201083,"MAR 22, 2023",WAS vs. DEN,L,24,4,10,0.4,0,3,0.0,0,0,0.0,1,1,2,5,2,0,1,0,8,-16,1
22022,1628420,0022201077,"MAR 21, 2023",WAS @ ORL,L,32,5,10,0.5,2,5,0.4,2,2,1.0,0,2,2,8,0,0,1,0,14,-4,1
22022,1628420,0022201059,"MAR 18, 2023",WAS vs. SAC,L,20,2,6,0.333,1,2,0.5,2,2,1.0,0,2,2,3,0,0,0,0,7,-8,1
22022,1628420,0022201049,"MAR 17, 2023",WAS @ CLE,L,29,3,10,0.3,2,4,0.5,2,2,1.0,0,2,2,5,0,0,1,0,10,-3,1
22022,1628420,0022201028,"MAR 14, 2023",WAS vs. DET,W,28,6,10,0.6,0,3,0.0,1,1,1.0,1,7,8,4,0,0,2,0,13,25,1
22022,1628420,0022201016,"MAR 12, 2023",WAS @ PHI,L,25,5,8,0.625,1,2,0.5,0,0,0.0,0,4,4,1,0,1,2,1,11,-22,1
22022,1628420,0022200999,"MAR 10, 2023",WAS vs. ATL,L,26,2,6,0.333,0,2,0.0,2,2,1.0,1,4,5,8,2,1,3,3,6,8,1
22022,1628420,0022200985,"MAR 08, 2023",WAS vs. ATL,L,16,2,7,0.286,1,3,0.333,0,0,0.0,1,3,4,5,0,0,0,0,5,-6,1
22022,1628420,0022200895,"FEB 24, 2023",WAS vs. NYK,L,27,5,8,0.625,2,3,0.667,0,0,0.0,0,2,2,2,1,0,1,4,12,-13,1
22022,1628420,0022200884,"FEB 16, 2023",WAS @ MIN,W,21,2,5,0.4,0,1,0.0,1,1,1.0,0,4,4,6,0,0,1,1,5,-19,1
22022,1628420,0022200872,"FEB 14, 2023",WAS @ POR,W,28,2,5,0.4,2,3,0.667,0,0,0.0,1,6,7,4,0,0,1,0,6,5,1
22022,1628420,0022200866,"FEB 13, 2023",WAS @ GSW,L,29,3,6,0.5,2,3,0.667,0,0,0.0,0,2,2,5,1,0,1,1,8,-10,1
22022,1628420,0022200849,"FEB 11, 2023",WAS vs. IND,W,27,7,10,0.7,0,2,0.0,3,3,1.0,1,5,6,4,1,0,1,0,17,5,1
22022,1628420,0022200809,"FEB 06, 2023",WAS vs. CLE,L,22,4,8,0.5,2,4,0.5,0,0,0.0,0,3,3,7,1,0,2,0,10,-23,1
22022,1628420,0022200793,"FEB 04, 2023",WAS @ BKN,L,33,7,14,0.5,2,5,0.4,2,4,0.5,1,4,5,8,2,0,2,4,18,-1,1
22022,1628420,0022200787,"FEB 03, 2023",WAS vs. POR,L,27,3,5,0.6,1,3,0.333,0,0,0.0,0,1,1,6,0,0,3,0,7,-2,1
22022,1628420,0022200760,"JAN 30, 2023",WAS @ SAS,W,24,4,6,0.667,3,4,0.75,0,0,0.0,1,1,2,4,0,0,1,1,11,11,1
22022,1628420,0022200747,"JAN 28, 2023",WAS @ NOP,W,28,2,7,0.286,0,3,0.0,6,6,1.0,0,3,3,0,1,0,0,1,10,6,1
22022,1628420,0022200717,"JAN 24, 2023",WAS @ DAL,W,27,5,9,0.556,1,3,0.333,2,2,1.0,0,3,3,5,0,0,0,0,13,3,1
22022,1628420,0022200693,"JAN 21, 2023",WAS vs. ORL,W,24,4,5,0.8,2,3,0.667,0,0,0.0,0,1,1,6,1,0,0,0,10,0,1
22022,1628420,0022200669,"JAN 18, 2023",WAS @ NYK,W,31,5,10,0.5,3,6,0.5,0,0,0.0,2,5,7,5,0,1,0,3,13,17,1
22022,1628420,0022200660,"JAN 16, 2023",WAS vs. GSW,L,31,6,13,0.462,3,4,0.75,2,2,1.0,0,4,4,10,2,0,1,4,17,-3,1
22022,1628420,0022200619,"JAN 11, 2023",WAS vs. CHI,W,29,7,13,0.538,1,3,0.333,2,2,1.0,0,2,2,3,0,0,1,0,17,7,1
22022,1628420,0022200605,"JAN 09, 2023",WAS vs. NOP,L,27,6,8,0.75,1,2,0.5,0,0,0.0,0,1,1,9,0,0,3,0,13,-12,1
22022,1628420,0022200584,"JAN 06, 2023",WAS @ OKC,L,26,4,8,0.5,1,3,0.333,1,2,0.5,0,2,2,3,0,0,2,1,10,-14,1
22022,1628420,0022200561,"JAN 03, 2023",WAS @ MIL,L,30,3,9,0.333,1,3,0.333,1,1,1.0,2,6,8,6,1,0,0,1,8,-9,1
22022,1628420,0022200548,"JAN 01, 2023",WAS @ MIL,W,25,3,7,0.429,1,5,0.2,0,0,0.0,0,3,3,4,0,1,2,0,7,7,1
22022,1628420,0022200529,"DEC 30, 2022",WAS @ ORL,W,28,4,5,0.8,1,2,0.5,3,4,0.75,0,3,3,10,1,0,2,1,12,21,1
22022,1628420,0022200516,"DEC 28, 2022",WAS vs. PHX,W,31,4,8,0.5,1,2,0.5,3,3,1.0,1,5,6,8,0,0,0,2,12,10,1
22022,1628420,0022200506,"DEC 27, 2022",WAS vs. PHI,W,30,3,9,0.333,0,3,0.0,2,2,1.0,1,3,4,7,0,0,1,4,8,6,1
22022,1628420,0022200491,"DEC 23, 2022",WAS @ SAC,W,33,4,7,0.571,2,5,0.4,6,6,1.0,0,2,2,5,3,0,0,1,16,4,1
22022,1628420,0022200478,"DEC 22, 2022",WAS @ UTA,L,30,2,5,0.4,1,3,0.333,0,1,0.0,0,4,4,4,0,0,2,1,5,3,1
22022,1628420,0022200464,"DEC 20, 2022",WAS @ PHX,W,36,4,10,0.4,1,2,0.5,0,1,0.0,1,1,2,3,3,1,0,0,9,11,1
22022,1628420,0022200451,"DEC 18, 2022",WAS @ LAL,L,29,3,10,0.3,1,5,0.2,0,0,0.0,0,2,2,4,1,0,0,3,7,-12,1
22022,1628420,0022200438,"DEC 17, 2022",WAS @ LAC,L,32,5,9,0.556,2,2,1.0,0,0,0.0,0,3,3,5,1,0,1,2,12,-7,1
22022,1628420,0022200422,"DEC 14, 2022",WAS @ DEN,L,28,7,11,0.636,4,7,0.571,2,3,0.667,0,0,0,7,1,0,0,3,20,-1,1
22022,1628420,0022200378,"DEC 09, 2022",WAS @ IND,L,34,3,9,0.333,1,4,0.25,0,0,0.0,0,2,2,5,0,0,1,3,7,-13,1
22022,1628420,0022200367,"DEC 07, 2022",WAS @ CHI,L,37,7,13,0.538,2,6,0.333,1,1,1.0,0,2,2,8,0,1,3,3,17,-7,1
22022,1628420,0022200349,"DEC 04, 2022",WAS vs. LAL,L,31,6,14,0.429,2,6,0.333,0,0,0.0,0,1,1,4,1,0,2,1,14,-15,1
