SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,203585,0022201078,"MAR 21, 2023",DET @ ATL,L,27,2,7,0.286,1,4,0.25,2,2,1.0,1,3,4,0,2,0,0,4,7,-20,1
22022,203585,0022201066,"MAR 19, 2023",DET vs. MIA,L,37,5,13,0.385,2,8,0.25,3,3,1.0,1,8,9,3,2,0,1,1,15,-5,1
22022,203585,0022201042,"MAR 16, 2023",DET vs. DEN,L,34,7,15,0.467,6,10,0.6,0,0,0.0,2,6,8,3,3,1,0,2,20,-17,1
22022,203585,0022201028,"MAR 14, 2023",DET @ WAS,L,38,6,15,0.4,4,9,0.444,0,0,0.0,2,4,6,0,0,0,0,3,16,-11,1
22022,203585,0022201020,"MAR 13, 2023",DET vs. IND,W,32,7,14,0.5,4,5,0.8,0,0,0.0,2,3,5,2,1,0,1,4,18,12,1
22022,203585,0022201006,"MAR 11, 2023",DET vs. IND,L,23,3,6,0.5,3,5,0.6,2,2,1.0,0,3,3,1,0,0,1,4,11,3,1
22022,203585,0022200992,"MAR 09, 2023",DET vs. CHA,L,21,4,9,0.444,1,4,0.25,0,0,0.0,0,2,2,1,1,0,1,2,9,1,1
22022,203585,0022200769,"MAR 07, 2023",DET vs. WAS,L,30,3,5,0.6,3,4,0.75,0,0,0.0,0,3,3,1,0,0,0,1,9,-3,1
22022,203585,0022200957,"MAR 04, 2023",DET @ CLE,L,15,0,1,0.0,0,1,0.0,2,2,1.0,0,2,2,1,0,0,0,0,2,-6,1
22022,203585,0022200934,"MAR 01, 2023",DET vs. CHI,L,17,2,4,0.5,0,2,0.0,0,0,0.0,0,1,1,1,1,0,0,2,4,-15,1
22022,203585,0022200919,"FEB 27, 2023",DET @ CHA,L,30,1,6,0.167,1,4,0.25,1,2,0.5,1,2,3,1,1,0,0,1,4,-13,1
22022,203585,0022200835,"FEB 10, 2023",DET vs. SAS,W,4,1,1,1.0,1,1,1.0,0,0,0.0,1,0,1,0,0,0,0,0,3,4,1
22022,203585,0022200706,"JAN 23, 2023",DET vs. MIL,L,19,2,4,0.5,0,2,0.0,0,0,0.0,0,1,1,2,0,0,0,0,4,-2,1
22022,203585,0022200648,"JAN 15, 2023",DET vs. NYK,L,5,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,8,1
22022,203585,0022200632,"JAN 13, 2023",DET vs. NOP,L,5,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1
22022,203585,0022200612,"JAN 10, 2023",DET @ PHI,L,24,5,8,0.625,5,6,0.833,2,3,0.667,0,0,0,0,1,0,1,3,17,-2,1
22022,203585,0022200585,"JAN 06, 2023",DET @ SAS,L,7,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-2,1
22022,203585,0022200573,"JAN 04, 2023",DET @ GSW,W,5,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,0,1
22022,203585,0022200559,"JAN 02, 2023",DET @ POR,L,18,0,3,0.0,0,2,0.0,2,2,1.0,1,2,3,0,1,0,1,4,2,-17,1
