SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,203210,0022201230,"APR 09, 2023",GSW @ POR,W,12,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,1,0,1,0,1,2,10,1
22022,203210,0022201121,"MAR 26, 2023",GSW vs. MIN,L,4,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,8,1
22022,203210,0022201103,"MAR 24, 2023",GSW vs. PHI,W,14,4,5,0.8,2,3,0.667,2,2,1.0,3,3,6,0,1,0,0,1,12,4,1
22022,203210,0022201086,"MAR 22, 2023",GSW @ DAL,W,9,4,5,0.8,0,0,0.0,1,1,1.0,1,1,2,0,0,0,0,1,9,-3,1
22022,203210,0022201074,"MAR 20, 2023",GSW @ HOU,W,13,2,5,0.4,0,2,0.0,0,0,0.0,3,1,4,2,1,0,0,0,4,4,1
22022,203210,0022201061,"MAR 18, 2023",GSW @ MEM,L,10,1,2,0.5,0,0,0.0,0,0,0.0,2,0,2,3,0,0,0,1,2,-6,1
22022,203210,0022201048,"MAR 17, 2023",GSW @ ATL,L,14,2,3,0.667,0,0,0.0,2,2,1.0,2,1,3,0,0,2,1,4,6,-9,1
22022,203210,0022201041,"MAR 15, 2023",GSW @ LAC,L,16,2,2,1.0,0,0,0.0,3,3,1.0,0,2,2,1,0,0,1,3,7,-6,1
22022,203210,0022201025,"MAR 13, 2023",GSW vs. PHX,W,21,3,5,0.6,1,3,0.333,2,2,1.0,1,6,7,1,2,1,1,3,9,1,1
22022,203210,0022201012,"MAR 11, 2023",GSW vs. MIL,W,23,7,10,0.7,4,6,0.667,0,0,0.0,1,5,6,1,1,1,0,2,18,-14,1
22022,203210,0022200996,"MAR 09, 2023",GSW @ MEM,L,18,3,8,0.375,3,7,0.429,0,0,0.0,0,0,0,0,0,0,0,1,9,-17,1
22022,203210,0022200982,"MAR 07, 2023",GSW @ OKC,L,13,2,3,0.667,1,2,0.5,4,4,1.0,1,2,3,1,0,1,1,2,9,-3,1
22022,203210,0022200964,"MAR 05, 2023",GSW @ LAL,L,4,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0,0,1,0,1,3,0,1
22022,203210,0022200953,"MAR 03, 2023",GSW vs. NOP,W,15,5,7,0.714,1,2,0.5,3,4,0.75,1,5,6,1,0,2,0,1,14,-1,1
22022,203210,0022200945,"MAR 02, 2023",GSW vs. LAC,W,5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-2,1
22022,203210,0022200931,"FEB 28, 2023",GSW vs. POR,W,5,1,2,0.5,0,0,0.0,0,0,0.0,2,0,2,1,0,0,1,1,2,-11,1
22022,203210,0022200916,"FEB 26, 2023",GSW vs. MIN,W,12,1,4,0.25,1,3,0.333,1,2,0.5,2,1,3,1,0,1,2,0,4,-7,1
22022,203210,0022200901,"FEB 24, 2023",GSW vs. HOU,W,16,1,5,0.2,1,3,0.333,0,0,0.0,1,6,7,2,2,0,3,5,3,4,1
22022,203210,0022200893,"FEB 23, 2023",GSW @ LAL,L,16,1,5,0.2,1,4,0.25,0,2,0.0,0,2,2,0,0,0,0,0,3,-21,1
22022,203210,0022200871,"FEB 14, 2023",GSW @ LAC,L,9,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,2,3,0,-12,1
22022,203210,0022200866,"FEB 13, 2023",GSW vs. WAS,W,16,5,5,1.0,4,4,1.0,0,0,0.0,0,1,1,5,2,0,1,3,14,-7,1
22022,203210,0022200853,"FEB 11, 2023",GSW vs. LAL,L,19,3,8,0.375,1,4,0.25,4,4,1.0,1,4,5,0,0,0,1,4,11,-7,1
