SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,2738,0022201025,"MAR 13, 2023",GSW vs. PHX,W,16,2,3,0.667,0,1,0.0,2,3,0.667,0,2,2,3,1,0,0,3,6,19,1
22022,2738,0022201012,"MAR 11, 2023",GSW vs. MIL,W,10,1,2,0.5,0,1,0.0,0,0,0.0,2,3,5,2,0,1,1,1,2,-3,1
22022,2738,0022200996,"MAR 09, 2023",GSW @ MEM,L,18,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,4,2,0,0,1,0,4,1
22022,2738,0022200982,"MAR 07, 2023",GSW @ OKC,L,12,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,3,0,0,3,0,2,-14,1
22022,2738,0022200964,"MAR 05, 2023",GSW @ LAL,L,14,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,2,0,1,0,1,0,11,1
22022,2738,0022200635,"JAN 13, 2023",GSW @ SAS,W,18,2,3,0.667,1,2,0.5,0,0,0.0,0,4,4,1,1,1,2,1,5,16,1
22022,2738,0022200615,"JAN 10, 2023",GSW vs. PHX,L,13,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,3,0,0,1,3,2,2,1
22022,2738,0022200594,"JAN 07, 2023",GSW vs. ORL,L,12,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,2,1,0,0,1
22021,2738,0022101215,"APR 09, 2022",GSW @ SAS,W,17,1,3,0.333,0,2,0.0,1,2,0.5,0,3,3,1,1,0,1,1,3,-4,1
22021,2738,0022101202,"APR 07, 2022",GSW vs. LAL,W,21,2,7,0.286,1,3,0.333,0,0,0.0,0,2,2,7,2,0,1,1,5,16,1
22021,2738,0022101165,"APR 02, 2022",GSW vs. UTA,W,15,0,3,0.0,0,3,0.0,0,0,0.0,0,3,3,4,0,1,0,1,0,-19,1
22021,2738,0022101145,"MAR 30, 2022",GSW vs. PHX,L,16,1,3,0.333,1,3,0.333,0,0,0.0,0,3,3,1,2,0,3,3,3,-1,1
22021,2738,0022101129,"MAR 28, 2022",GSW @ MEM,L,16,2,3,0.667,1,2,0.5,1,2,0.5,2,1,3,2,0,0,0,3,6,2,1
22021,2738,0022100813,"FEB 07, 2022",GSW @ OKC,W,6,1,1,1.0,1,1,1.0,0,0,0.0,0,2,2,2,1,0,0,1,3,8,1
22021,2738,0022100683,"JAN 20, 2022",GSW vs. IND,L,31,1,2,0.5,0,0,0.0,2,2,1.0,2,3,5,4,0,4,4,2,4,16,1
22021,2738,0022100652,"JAN 16, 2022",GSW @ MIN,L,20,0,4,0.0,0,4,0.0,0,0,0.0,1,1,2,1,0,1,0,0,0,-26,1
22021,2738,0022100637,"JAN 14, 2022",GSW @ CHI,W,11,1,3,0.333,1,2,0.5,2,2,1.0,0,0,0,3,4,1,1,0,5,12,1
22021,2738,0022100627,"JAN 13, 2022",GSW @ MIL,L,13,1,3,0.333,0,1,0.0,0,0,0.0,1,1,2,1,0,0,1,1,2,-21,1
22021,2738,0022100614,"JAN 11, 2022",GSW @ MEM,L,21,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,2,1,1,0,3,0,-12,1
22021,2738,0022100604,"JAN 09, 2022",GSW vs. CLE,W,25,2,9,0.222,0,4,0.0,0,0,0.0,1,3,4,5,3,1,2,0,4,15,1
22021,2738,0022100580,"JAN 06, 2022",GSW @ NOP,L,20,2,3,0.667,1,2,0.5,0,0,0.0,0,3,3,7,1,1,2,3,5,1,1
22021,2738,0022100544,"JAN 01, 2022",GSW @ UTA,W,24,5,7,0.714,2,3,0.667,0,0,0.0,2,5,7,8,0,0,0,1,12,12,1
22021,2738,0022100514,"DEC 28, 2021",GSW vs. DEN,L,24,0,2,0.0,0,2,0.0,1,2,0.5,0,4,4,4,0,0,3,0,1,-9,1
22021,2738,0022100462,"DEC 20, 2021",GSW vs. SAC,W,24,3,5,0.6,2,4,0.5,2,2,1.0,1,0,1,6,1,0,0,0,10,16,1
22021,2738,0022100435,"DEC 17, 2021",GSW @ BOS,W,24,5,9,0.556,2,6,0.333,0,0,0.0,1,3,4,6,2,2,1,2,12,10,1
22021,2738,0022100414,"DEC 14, 2021",GSW @ NYK,W,14,0,4,0.0,0,4,0.0,2,2,1.0,1,3,4,5,0,0,0,0,2,3,1
22021,2738,0022100396,"DEC 11, 2021",GSW @ PHI,L,11,1,5,0.2,0,4,0.0,0,0,0.0,1,2,3,0,0,0,0,0,2,-17,1
22021,2738,0022100210,"NOV 16, 2021",GSW @ BKN,W,19,2,4,0.5,1,2,0.5,0,0,0.0,2,2,4,2,0,1,1,0,5,10,1
22021,2738,0022100194,"NOV 14, 2021",GSW @ CHA,L,25,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,3,0,1,1,3,0,-11,1
22021,2738,0022100183,"NOV 12, 2021",GSW vs. CHI,W,18,3,4,0.75,0,1,0.0,2,2,1.0,0,1,1,3,1,1,0,0,8,19,1
22021,2738,0022100169,"NOV 10, 2021",GSW vs. MIN,W,25,0,3,0.0,0,3,0.0,0,0,0.0,1,3,4,8,2,2,3,3,0,19,1
22021,2738,0022100152,"NOV 08, 2021",GSW vs. ATL,W,20,3,5,0.6,0,2,0.0,0,0,0.0,0,0,0,2,0,1,0,1,6,11,1
22021,2738,0022100130,"NOV 05, 2021",GSW vs. NOP,W,17,1,4,0.25,0,2,0.0,0,0,0.0,1,3,4,10,2,0,1,0,2,26,1
22021,2738,0022100117,"NOV 03, 2021",GSW vs. CHA,W,17,1,2,0.5,1,1,1.0,0,0,0.0,0,1,1,5,1,0,0,0,3,8,1
22021,2738,0022100086,"OCT 30, 2021",GSW vs. OKC,W,17,0,3,0.0,0,3,0.0,0,0,0.0,1,8,9,2,1,0,1,0,0,10,1
22021,2738,0022100070,"OCT 28, 2021",GSW vs. MEM,L,25,1,5,0.2,0,1,0.0,0,2,0.0,2,4,6,2,1,1,1,2,2,-9,1
22021,2738,0022100051,"OCT 26, 2021",GSW @ OKC,W,19,1,3,0.333,1,3,0.333,0,0,0.0,1,4,5,3,0,1,0,2,3,8,1
22021,2738,0022100016,"OCT 21, 2021",GSW vs. LAC,W,24,2,2,1.0,0,0,0.0,0,0,0.0,0,6,6,3,1,1,1,0,4,7,1
22021,2738,0022100002,"OCT 19, 2021",GSW @ LAL,W,23,4,7,0.571,2,5,0.4,2,2,1.0,0,1,1,2,0,1,0,1,12,8,1
22020,2738,0022001062,"MAY 15, 2021",MIA @ MIL,L,23,1,3,0.333,0,2,0.0,0,0,0.0,1,1,2,3,1,1,2,4,2,-17,1
22020,2738,0022001050,"MAY 13, 2021",MIA vs. PHI,W,23,0,0,0.0,0,0,0.0,0,0,0.0,2,3,5,1,0,1,3,1,0,8,1
