SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630228,0022201230,"APR 09, 2023",GSW @ POR,W,24,6,9,0.667,1,1,1.0,2,2,1.0,2,5,7,6,1,2,3,2,15,35,1
22022,1630228,0022201211,"APR 07, 2023",GSW @ SAC,W,19,4,5,0.8,2,2,1.0,5,6,0.833,0,1,1,1,0,0,1,1,15,-15,1
22022,1630228,0022201187,"APR 04, 2023",GSW vs. OKC,W,20,4,10,0.4,1,3,0.333,0,2,0.0,4,4,8,1,1,1,0,1,9,-8,1
22022,1630228,0022201175,"APR 02, 2023",GSW @ DEN,L,23,3,5,0.6,1,2,0.5,2,2,1.0,0,1,1,2,2,0,0,2,9,-1,1
22022,1630228,0022201158,"MAR 31, 2023",GSW vs. SAS,W,27,8,11,0.727,0,1,0.0,1,3,0.333,2,6,8,2,0,0,2,2,17,-4,1
22022,1630228,0022201135,"MAR 28, 2023",GSW vs. NOP,W,31,5,5,1.0,1,1,1.0,2,3,0.667,0,4,4,1,0,1,0,3,13,17,1
22022,1630228,0022201121,"MAR 26, 2023",GSW vs. MIN,L,15,2,4,0.5,0,1,0.0,1,2,0.5,1,0,1,1,2,0,0,2,5,-8,1
22022,1630228,0022201103,"MAR 24, 2023",GSW vs. PHI,W,16,1,7,0.143,1,5,0.2,1,4,0.25,2,0,2,2,0,0,0,3,4,-14,1
22022,1630228,0022201086,"MAR 22, 2023",GSW @ DAL,W,30,9,11,0.818,2,3,0.667,2,2,1.0,1,2,3,1,2,0,1,3,22,2,1
22022,1630228,0022201074,"MAR 20, 2023",GSW @ HOU,W,26,7,9,0.778,1,2,0.5,2,2,1.0,1,2,3,4,0,1,2,2,17,3,1
22022,1630228,0022201061,"MAR 18, 2023",GSW @ MEM,L,30,8,16,0.5,4,7,0.571,4,6,0.667,3,5,8,3,1,1,1,3,24,-6,1
22022,1630228,0022201048,"MAR 17, 2023",GSW @ ATL,L,26,5,12,0.417,0,1,0.0,0,2,0.0,3,3,6,3,0,1,1,4,10,5,1
22022,1630228,0022201041,"MAR 15, 2023",GSW @ LAC,L,19,4,5,0.8,0,1,0.0,0,0,0.0,0,0,0,2,0,0,2,4,8,0,1
22022,1630228,0022200982,"MAR 07, 2023",GSW @ OKC,L,28,8,11,0.727,1,3,0.333,4,4,1.0,0,3,3,2,2,0,2,2,21,3,1
22022,1630228,0022200964,"MAR 05, 2023",GSW @ LAL,L,13,2,10,0.2,1,3,0.333,0,0,0.0,2,4,6,1,0,1,1,2,5,-15,1
22022,1630228,0022200953,"MAR 03, 2023",GSW vs. NOP,W,32,9,13,0.692,1,2,0.5,0,0,0.0,3,4,7,0,4,1,2,3,19,13,1
22022,1630228,0022200945,"MAR 02, 2023",GSW vs. LAC,W,29,7,12,0.583,3,4,0.75,2,3,0.667,2,5,7,2,2,1,2,3,19,16,1
22022,1630228,0022200931,"FEB 28, 2023",GSW vs. POR,W,25,8,10,0.8,0,0,0.0,0,1,0.0,0,3,3,0,1,0,1,3,16,4,1
22022,1630228,0022200916,"FEB 26, 2023",GSW vs. MIN,W,27,5,10,0.5,1,1,1.0,2,2,1.0,0,5,5,1,1,0,3,1,13,4,1
22022,1630228,0022200901,"FEB 24, 2023",GSW vs. HOU,W,24,2,7,0.286,0,2,0.0,3,4,0.75,1,3,4,4,0,1,4,3,7,3,1
22022,1630228,0022200893,"FEB 23, 2023",GSW @ LAL,L,25,4,12,0.333,1,5,0.2,1,1,1.0,2,1,3,5,0,0,0,2,10,-4,1
22022,1630228,0022200871,"FEB 14, 2023",GSW @ LAC,L,22,5,12,0.417,2,4,0.5,4,6,0.667,1,4,5,1,0,0,3,3,16,2,1
22022,1630228,0022200866,"FEB 13, 2023",GSW vs. WAS,W,13,3,5,0.6,1,2,0.5,0,0,0.0,0,0,0,2,2,0,2,1,7,6,1
22022,1630228,0022200853,"FEB 11, 2023",GSW vs. LAL,L,14,2,4,0.5,1,3,0.333,0,0,0.0,0,3,3,1,2,0,2,1,5,-5,1
22022,1630228,0022200830,"FEB 08, 2023",GSW @ POR,L,22,1,4,0.25,0,2,0.0,0,0,0.0,0,1,1,1,0,1,1,2,2,-12,1
22022,1630228,0022200814,"FEB 06, 2023",GSW vs. OKC,W,23,3,9,0.333,1,3,0.333,0,0,0.0,0,2,2,5,0,0,2,0,7,19,1
22022,1630228,0022200800,"FEB 04, 2023",GSW vs. DAL,W,20,6,11,0.545,1,4,0.25,0,0,0.0,0,2,2,1,0,1,1,3,13,7,1
22022,1630228,0022200783,"FEB 02, 2023",GSW @ DEN,L,32,7,9,0.778,2,2,1.0,1,3,0.333,1,6,7,2,0,0,0,1,17,-23,1
22022,1630228,0022200774,"FEB 01, 2023",GSW @ MIN,L,15,4,8,0.5,1,2,0.5,1,2,0.5,1,2,3,0,1,1,1,4,10,-4,1
22022,1630228,0022200759,"JAN 30, 2023",GSW @ OKC,W,12,2,5,0.4,0,2,0.0,0,0,0.0,0,3,3,1,0,0,0,3,4,2,1
22022,1630228,0022200740,"JAN 27, 2023",GSW vs. TOR,W,23,5,7,0.714,4,6,0.667,1,2,0.5,0,0,0,2,0,1,2,3,15,9,1
22022,1630228,0022200726,"JAN 25, 2023",GSW vs. MEM,W,24,5,6,0.833,1,1,1.0,2,2,1.0,2,0,2,4,0,1,4,4,13,-16,1
22022,1630228,0022200704,"JAN 22, 2023",GSW vs. BKN,L,25,9,15,0.6,0,1,0.0,2,3,0.667,2,1,3,0,0,0,1,2,20,13,1
22022,1630228,0022200685,"JAN 20, 2023",GSW @ CLE,W,27,4,9,0.444,2,2,1.0,0,2,0.0,0,3,3,5,1,0,0,2,10,9,1
22022,1630228,0022200536,"DEC 30, 2022",GSW vs. POR,W,26,4,8,0.5,0,2,0.0,1,2,0.5,0,2,2,6,1,1,1,5,9,15,1
22022,1630228,0022200521,"DEC 28, 2022",GSW vs. UTA,W,21,3,9,0.333,0,1,0.0,3,5,0.6,3,2,5,3,1,0,2,6,9,1,1
22022,1630228,0022200513,"DEC 27, 2022",GSW vs. CHA,W,23,6,6,1.0,0,0,0.0,2,3,0.667,1,5,6,2,2,0,0,2,14,0,1
22022,1630228,0022200496,"DEC 25, 2022",GSW vs. MEM,W,17,1,2,0.5,0,1,0.0,5,8,0.625,1,3,4,3,0,1,3,1,7,21,1
22022,1630228,0022200470,"DEC 21, 2022",GSW @ BKN,L,30,1,9,0.111,0,2,0.0,2,4,0.5,2,4,6,4,1,0,4,2,4,-23,1
22022,1630228,0022200463,"DEC 20, 2022",GSW @ NYK,L,27,5,7,0.714,1,2,0.5,2,2,1.0,1,3,4,4,0,0,3,3,13,-23,1
22022,1630228,0022200448,"DEC 18, 2022",GSW @ TOR,W,5,1,4,0.25,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,1,2,6,1
22022,1630228,0022200432,"DEC 16, 2022",GSW @ PHI,L,29,3,8,0.375,1,4,0.25,0,0,0.0,0,0,0,3,0,0,1,2,7,-8,1
22022,1630228,0022200415,"DEC 14, 2022",GSW @ IND,L,24,4,13,0.308,0,1,0.0,1,2,0.5,5,3,8,1,1,2,3,3,9,2,1
22022,1630228,0022200410,"DEC 13, 2022",GSW @ MIL,L,27,6,10,0.6,3,5,0.6,4,6,0.667,1,0,1,3,1,0,1,5,19,-3,1
22022,1630228,0022200392,"DEC 10, 2022",GSW vs. BOS,W,21,6,9,0.667,1,2,0.5,1,2,0.5,1,4,5,3,0,0,2,3,14,-3,1
22022,1630228,0022200372,"DEC 07, 2022",GSW @ UTA,L,30,10,13,0.769,1,3,0.333,3,5,0.6,1,4,5,4,1,1,1,2,24,8,1
22022,1630228,0022200359,"DEC 05, 2022",GSW vs. IND,L,23,4,4,1.0,0,0,0.0,2,2,1.0,2,2,4,2,1,0,1,6,10,0,1
22022,1630228,0022200342,"DEC 03, 2022",GSW vs. HOU,W,18,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,3,2,-8,1
22022,1630228,0022200336,"DEC 02, 2022",GSW vs. CHI,W,11,0,2,0.0,0,1,0.0,1,2,0.5,0,3,3,1,0,0,1,0,1,-1,1
22022,1630228,0022200310,"NOV 29, 2022",GSW @ DAL,L,26,6,8,0.75,1,1,1.0,1,4,0.25,3,7,10,1,0,2,2,3,14,21,1
22022,1630228,0022200291,"NOV 27, 2022",GSW @ MIN,W,20,3,5,0.6,0,2,0.0,1,1,1.0,0,6,6,1,0,2,2,2,7,8,1
22022,1630228,0022200284,"NOV 25, 2022",GSW vs. UTA,W,13,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,1,0,0,2,0,0,2,1
22022,1630228,0022200271,"NOV 23, 2022",GSW vs. LAC,W,14,3,7,0.429,0,3,0.0,0,0,0.0,3,1,4,2,1,1,1,2,6,-7,1
22022,1630228,0022200253,"NOV 21, 2022",GSW @ NOP,L,40,6,20,0.3,4,12,0.333,2,2,1.0,1,2,3,2,1,2,3,4,18,-38,1
22022,1630228,0022200245,"NOV 20, 2022",GSW @ HOU,W,6,1,3,0.333,0,2,0.0,0,0,0.0,2,0,2,0,0,0,1,2,2,-13,1
22022,1630228,0022200233,"NOV 18, 2022",GSW vs. NYK,W,9,0,2,0.0,0,1,0.0,1,2,0.5,1,4,5,0,1,0,0,0,1,-7,1
22022,1630228,0022200205,"NOV 14, 2022",GSW vs. SAS,W,25,5,8,0.625,3,4,0.75,2,2,1.0,0,3,3,2,0,0,1,2,15,24,1
22022,1630228,0022200197,"NOV 13, 2022",GSW @ SAC,L,14,1,4,0.25,0,2,0.0,1,1,1.0,0,0,0,1,0,1,0,4,3,-4,1
22022,1630228,0022200182,"NOV 11, 2022",GSW vs. CLE,W,4,0,3,0.0,0,0,0.0,0,0,0.0,2,0,2,0,0,0,2,0,0,-1,1
22022,1630228,0022200156,"NOV 07, 2022",GSW vs. SAC,W,9,2,5,0.4,0,2,0.0,1,2,0.5,0,0,0,0,0,0,0,0,5,-17,1
22022,1630228,0022200128,"NOV 04, 2022",GSW @ NOP,L,38,7,12,0.583,1,3,0.333,3,4,0.75,0,4,4,2,2,1,3,4,18,2,1
22022,1630228,0022200091,"OCT 30, 2022",GSW @ DET,L,19,1,3,0.333,0,1,0.0,2,2,1.0,1,1,2,3,0,0,1,2,4,-2,1
22022,1630228,0022200082,"OCT 29, 2022",GSW @ CHA,L,3,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,1,0,0,1
22022,1630228,0022200055,"OCT 25, 2022",GSW @ PHX,L,15,1,4,0.25,0,1,0.0,2,2,1.0,1,2,3,0,0,0,1,2,4,-13,1
22022,1630228,0022200042,"OCT 23, 2022",GSW vs. SAC,W,7,1,2,0.5,0,0,0.0,2,2,1.0,0,0,0,0,0,0,1,2,4,-11,1
22022,1630228,0022200026,"OCT 21, 2022",GSW vs. DEN,L,8,2,2,1.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,2,1,4,-10,1
22022,1630228,0022200002,"OCT 18, 2022",GSW vs. LAL,W,13,0,3,0.0,0,2,0.0,0,0,0.0,1,2,3,0,0,1,2,2,0,-8,1
22021,1630228,0022101225,"APR 10, 2022",GSW @ NOP,W,29,7,10,0.7,3,4,0.75,1,2,0.5,0,5,5,2,1,0,1,2,18,21,1
22021,1630228,0022101215,"APR 09, 2022",GSW @ SAS,W,22,6,8,0.75,2,2,1.0,4,4,1.0,2,2,4,2,2,0,1,5,18,9,1
22021,1630228,0022101202,"APR 07, 2022",GSW vs. LAL,W,8,2,4,0.5,0,0,0.0,2,2,1.0,1,3,4,0,0,1,1,3,6,-1,1
