SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630541,0022201230,"APR 09, 2023",GSW @ POR,W,29,10,14,0.714,4,7,0.571,1,1,1.0,0,4,4,4,0,0,0,4,25,39,1
22022,1630541,0022201211,"APR 07, 2023",GSW @ SAC,W,10,1,3,0.333,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,-14,1
22022,1630541,0022201187,"APR 04, 2023",GSW vs. OKC,W,26,5,7,0.714,3,5,0.6,0,0,0.0,1,4,5,1,0,1,2,4,13,4,1
22022,1630541,0022201158,"MAR 31, 2023",GSW vs. SAS,W,1,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-1,1
22022,1630541,0022201135,"MAR 28, 2023",GSW vs. NOP,W,3,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-7,1
22022,1630541,0022201103,"MAR 24, 2023",GSW vs. PHI,W,8,1,2,0.5,1,2,0.5,0,0,0.0,0,3,3,0,0,0,0,2,3,6,1
22022,1630541,0022201086,"MAR 22, 2023",GSW @ DAL,W,7,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,2,4,1
22022,1630541,0022201074,"MAR 20, 2023",GSW @ HOU,W,8,1,1,1.0,1,1,1.0,0,0,0.0,1,1,2,0,1,0,0,1,3,0,1
22022,1630541,0022201061,"MAR 18, 2023",GSW @ MEM,L,12,4,4,1.0,1,1,1.0,0,1,0.0,2,0,2,0,0,1,0,1,9,3,1
22022,1630541,0022201048,"MAR 17, 2023",GSW @ ATL,L,13,0,0,0.0,0,0,0.0,1,2,0.5,0,2,2,1,0,0,0,0,1,0,1
22022,1630541,0022201041,"MAR 15, 2023",GSW @ LAC,L,10,1,1,1.0,0,0,0.0,1,2,0.5,0,1,1,2,0,0,0,2,3,3,1
22022,1630541,0022201025,"MAR 13, 2023",GSW vs. PHX,W,15,1,5,0.2,0,1,0.0,2,3,0.667,0,2,2,1,1,0,1,0,4,3,1
22022,1630541,0022201012,"MAR 11, 2023",GSW vs. MIL,W,6,1,2,0.5,0,1,0.0,0,0,0.0,1,3,4,0,0,0,0,1,2,7,1
22022,1630541,0022200953,"MAR 03, 2023",GSW vs. NOP,W,6,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,2,0,0,7,1
22022,1630541,0022200945,"MAR 02, 2023",GSW vs. LAC,W,5,1,2,0.5,1,2,0.5,0,0,0.0,1,0,1,0,0,0,0,0,3,0,1
22022,1630541,0022200931,"FEB 28, 2023",GSW vs. POR,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1
22022,1630541,0022200916,"FEB 26, 2023",GSW vs. MIN,W,4,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,0,1
22022,1630541,0022200901,"FEB 24, 2023",GSW vs. HOU,W,13,1,4,0.25,1,4,0.25,1,1,1.0,0,0,0,1,0,0,1,0,4,6,1
22022,1630541,0022200893,"FEB 23, 2023",GSW @ LAL,L,10,2,5,0.4,0,2,0.0,4,4,1.0,0,2,2,1,0,0,0,1,8,7,1
22022,1630541,0022200871,"FEB 14, 2023",GSW @ LAC,L,13,3,8,0.375,1,4,0.25,0,0,0.0,0,1,1,1,0,0,0,0,7,8,1
22022,1630541,0022200866,"FEB 13, 2023",GSW vs. WAS,W,8,0,1,0.0,0,1,0.0,1,2,0.5,0,2,2,0,1,0,0,0,1,11,1
22022,1630541,0022200853,"FEB 11, 2023",GSW vs. LAL,L,2,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,2,-1,1
22022,1630541,0022200814,"FEB 06, 2023",GSW vs. OKC,W,11,2,4,0.5,0,2,0.0,0,0,0.0,0,0,0,1,1,0,0,2,4,9,1
22022,1630541,0022200783,"FEB 02, 2023",GSW @ DEN,L,16,0,3,0.0,0,2,0.0,0,0,0.0,2,0,2,1,0,0,0,0,0,-7,1
22022,1630541,0022200685,"JAN 20, 2023",GSW @ CLE,W,14,1,2,0.5,1,2,0.5,0,0,0.0,1,4,5,2,0,0,1,0,3,1,1
22022,1630541,0022200660,"JAN 16, 2023",GSW @ WAS,W,5,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-2,1
22022,1630541,0022200650,"JAN 15, 2023",GSW @ CHI,L,6,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,1,0,3,-8,1
22022,1630541,0022200635,"JAN 13, 2023",GSW @ SAS,W,18,4,7,0.571,2,5,0.4,2,4,0.5,1,1,2,3,1,0,0,0,12,7,1
22022,1630541,0022200594,"JAN 07, 2023",GSW vs. ORL,L,9,0,3,0.0,0,2,0.0,0,0,0.0,1,1,2,1,0,0,0,0,0,-5,1
22022,1630541,0022200573,"JAN 04, 2023",GSW vs. DET,L,15,3,5,0.6,1,3,0.333,1,2,0.5,0,2,2,4,0,0,1,2,8,3,1
22022,1630541,0022200558,"JAN 02, 2023",GSW vs. ATL,W,12,2,4,0.5,0,2,0.0,2,5,0.4,2,0,2,0,0,0,1,1,6,-6,1
22022,1630541,0022200536,"DEC 30, 2022",GSW vs. POR,W,8,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-7,1
22022,1630541,0022200521,"DEC 28, 2022",GSW vs. UTA,W,13,1,2,0.5,1,2,0.5,1,2,0.5,0,0,0,1,1,0,0,2,4,-3,1
22022,1630541,0022200513,"DEC 27, 2022",GSW vs. CHA,W,13,2,5,0.4,0,1,0.0,0,0,0.0,2,1,3,0,0,0,0,1,4,1,1
22022,1630541,0022200496,"DEC 25, 2022",GSW vs. MEM,W,17,4,7,0.571,1,3,0.333,1,1,1.0,0,2,2,0,0,0,0,1,10,2,1
22022,1630541,0022200470,"DEC 21, 2022",GSW @ BKN,L,31,7,11,0.636,3,5,0.6,0,0,0.0,0,1,1,3,1,0,0,3,17,-14,1
22022,1630541,0022200463,"DEC 20, 2022",GSW @ NYK,L,32,4,9,0.444,3,6,0.5,0,0,0.0,1,2,3,1,1,0,0,0,11,-17,1
22022,1630541,0022200448,"DEC 18, 2022",GSW @ TOR,W,11,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,2,0,6,1
22022,1630541,0022200432,"DEC 16, 2022",GSW @ PHI,L,16,1,4,0.25,1,4,0.25,0,0,0.0,1,1,2,2,0,0,0,0,3,-6,1
22022,1630541,0022200415,"DEC 14, 2022",GSW @ IND,L,23,5,6,0.833,2,3,0.667,1,1,1.0,0,1,1,3,0,0,1,2,13,-2,1
22022,1630541,0022200410,"DEC 13, 2022",GSW @ MIL,L,10,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,3,0,0,0,2,0,2,1
22022,1630541,0022200392,"DEC 10, 2022",GSW vs. BOS,W,12,1,2,0.5,0,1,0.0,0,0,0.0,2,3,5,0,0,0,1,2,2,2,1
22022,1630541,0022200372,"DEC 07, 2022",GSW @ UTA,L,19,2,4,0.5,2,3,0.667,0,0,0.0,0,0,0,0,1,0,0,2,6,11,1
22022,1630541,0022200359,"DEC 05, 2022",GSW vs. IND,L,8,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,1,1,0,-8,1
22022,1630541,0022200342,"DEC 03, 2022",GSW vs. HOU,W,17,4,5,0.8,3,3,1.0,0,0,0.0,0,1,1,1,0,0,0,0,11,-16,1
22022,1630541,0022200291,"NOV 27, 2022",GSW @ MIN,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,4,1
22022,1630541,0022200271,"NOV 23, 2022",GSW vs. LAC,W,5,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-10,1
22022,1630541,0022200253,"NOV 21, 2022",GSW @ NOP,L,33,2,6,0.333,1,5,0.2,5,6,0.833,0,4,4,1,1,0,3,0,10,-29,1
22022,1630541,0022200245,"NOV 20, 2022",GSW @ HOU,W,5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,8,1
22022,1630541,0022200233,"NOV 18, 2022",GSW vs. NYK,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-8,1
22022,1630541,0022200220,"NOV 16, 2022",GSW @ PHX,L,6,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,6,1
22022,1630541,0022200205,"NOV 14, 2022",GSW vs. SAS,W,27,4,9,0.444,2,5,0.4,1,1,1.0,0,2,2,4,1,0,0,0,11,14,1
22022,1630541,0022200156,"NOV 07, 2022",GSW vs. SAC,W,9,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,2,2,-1,1
