SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630578,0022201222,"APR 09, 2023",HOU @ WAS,W,24,4,9,0.444,0,0,0.0,4,5,0.8,3,9,12,6,2,2,4,3,12,-4,1
22022,1630578,0022201202,"APR 07, 2023",HOU @ CHA,W,32,4,9,0.444,1,1,1.0,5,6,0.833,5,16,21,3,2,1,4,4,14,5,1
22022,1630578,0022201183,"APR 04, 2023",HOU vs. DEN,W,38,7,14,0.5,2,4,0.5,4,5,0.8,4,6,10,7,3,1,3,4,20,15,1
22022,1630578,0022201171,"APR 02, 2023",HOU vs. LAL,L,38,9,17,0.529,0,1,0.0,0,2,0.0,5,10,15,5,2,3,2,3,18,-5,1
22022,1630578,0022201155,"MAR 31, 2023",HOU vs. DET,W,35,5,7,0.714,0,0,0.0,5,6,0.833,3,10,13,7,0,0,4,5,15,13,1
22022,1630578,0022201137,"MAR 29, 2023",HOU @ BKN,L,33,10,16,0.625,0,0,0.0,1,3,0.333,8,4,12,2,1,1,2,3,21,-15,1
22022,1630578,0022201124,"MAR 27, 2023",HOU @ NYK,L,28,5,9,0.556,1,1,1.0,0,1,0.0,1,4,5,1,0,1,5,2,11,-24,1
22022,1630578,0022201117,"MAR 26, 2023",HOU @ CLE,L,33,6,12,0.5,0,0,0.0,2,4,0.5,2,6,8,4,0,1,3,4,14,-12,1
22022,1630578,0022201100,"MAR 24, 2023",HOU @ MEM,L,25,3,6,0.5,0,1,0.0,1,3,0.333,1,4,5,2,1,0,2,3,7,-18,1
22022,1630578,0022201088,"MAR 22, 2023",HOU @ MEM,L,32,11,15,0.733,0,2,0.0,3,6,0.5,4,4,8,4,2,0,3,6,25,5,1
22022,1630578,0022201067,"MAR 19, 2023",HOU vs. NOP,L,31,3,8,0.375,0,2,0.0,3,4,0.75,4,3,7,6,1,1,0,6,9,-2,1
22022,1630578,0022201051,"MAR 17, 2023",HOU vs. NOP,W,36,8,17,0.471,1,1,1.0,0,0,0.0,2,9,11,1,2,0,2,5,17,2,1
22022,1630578,0022201038,"MAR 15, 2023",HOU vs. LAL,W,31,6,10,0.6,0,0,0.0,1,2,0.5,2,7,9,6,1,2,2,4,13,-3,1
22022,1630578,0022201009,"MAR 11, 2023",HOU vs. CHI,L,33,4,9,0.444,0,0,0.0,2,2,1.0,2,3,5,5,3,1,2,1,10,-3,1
22022,1630578,0022200993,"MAR 09, 2023",HOU @ IND,L,26,7,11,0.636,0,0,0.0,0,2,0.0,3,5,8,3,0,2,3,4,14,-11,1
22022,1630578,0022200981,"MAR 07, 2023",HOU vs. BKN,L,34,6,12,0.5,0,0,0.0,4,5,0.8,4,8,12,2,0,0,4,3,16,0,1
22022,1630578,0022200967,"MAR 05, 2023",HOU vs. SAS,W,27,6,9,0.667,0,0,0.0,3,4,0.75,3,11,14,3,3,1,1,2,15,22,1
22022,1630578,0022200959,"MAR 04, 2023",HOU @ SAS,W,28,6,9,0.667,1,2,0.5,3,4,0.75,5,5,10,4,1,0,4,4,16,10,1
22022,1630578,0022200938,"MAR 01, 2023",HOU vs. MEM,L,31,5,6,0.833,0,1,0.0,1,4,0.25,3,5,8,5,1,0,4,2,11,-7,1
22022,1630578,0022200926,"FEB 28, 2023",HOU vs. DEN,L,29,3,9,0.333,0,2,0.0,1,3,0.333,0,2,2,8,0,2,2,4,7,-36,1
22022,1630578,0022200917,"FEB 26, 2023",HOU @ POR,L,25,8,16,0.5,0,0,0.0,1,2,0.5,8,2,10,5,0,0,2,4,17,-14,1
22022,1630578,0022200901,"FEB 24, 2023",HOU @ GSW,L,24,2,10,0.2,1,1,1.0,0,0,0.0,3,6,9,8,0,0,2,2,5,-3,1
22022,1630578,0022200880,"FEB 15, 2023",HOU @ OKC,L,22,4,12,0.333,0,1,0.0,0,0,0.0,5,5,10,2,0,0,3,4,8,-20,1
22022,1630578,0022200860,"FEB 13, 2023",HOU @ PHI,L,33,5,9,0.556,0,1,0.0,2,2,1.0,2,6,8,1,2,0,2,3,12,-5,1
22022,1630578,0022200840,"FEB 10, 2023",HOU @ MIA,L,31,3,9,0.333,0,0,0.0,6,6,1.0,2,6,8,3,1,0,4,2,12,-2,1
22022,1630578,0022200827,"FEB 08, 2023",HOU vs. SAC,L,35,7,11,0.636,1,2,0.5,3,4,0.75,3,6,9,11,1,1,4,5,18,-3,1
22022,1630578,0022200812,"FEB 06, 2023",HOU vs. SAC,L,36,4,10,0.4,1,2,0.5,6,6,1.0,0,7,7,7,0,0,2,2,15,-9,1
22022,1630578,0022200799,"FEB 04, 2023",HOU @ OKC,L,15,5,8,0.625,0,0,0.0,0,0,0.0,1,3,4,1,1,1,3,4,10,-24,1
22022,1630578,0022200789,"FEB 03, 2023",HOU vs. TOR,L,33,6,10,0.6,0,0,0.0,9,12,0.75,2,2,4,4,2,0,2,5,21,-3,1
22022,1630578,0022200773,"FEB 01, 2023",HOU vs. OKC,W,33,4,10,0.4,0,0,0.0,2,4,0.5,5,7,12,4,0,3,3,4,10,15,1
22022,1630578,0022200733,"JAN 26, 2023",HOU vs. CLE,L,30,6,10,0.6,0,0,0.0,2,3,0.667,1,6,7,7,2,2,4,4,14,-11,1
22022,1630578,0022200722,"JAN 25, 2023",HOU vs. WAS,L,37,10,16,0.625,0,0,0.0,1,1,1.0,6,5,11,10,3,2,3,1,21,3,1
22022,1630578,0022200709,"JAN 23, 2023",HOU vs. MIN,W,35,8,12,0.667,1,2,0.5,4,8,0.5,1,6,7,7,0,0,5,3,21,8,1
22022,1630578,0022200696,"JAN 21, 2023",HOU @ MIN,L,37,7,9,0.778,1,1,1.0,4,10,0.4,2,14,16,7,1,3,4,2,19,-5,1
22022,1630578,0022200671,"JAN 18, 2023",HOU vs. CHA,L,39,10,16,0.625,0,1,0.0,4,4,1.0,5,7,12,6,2,1,3,4,24,2,1
22022,1630578,0022200664,"JAN 16, 2023",HOU @ LAL,L,37,14,17,0.824,2,2,1.0,3,5,0.6,4,11,15,6,0,4,2,5,33,-6,1
22022,1630578,0022200649,"JAN 15, 2023",HOU @ LAC,L,30,7,12,0.583,1,1,1.0,0,0,0.0,4,4,8,6,1,1,6,2,15,-6,1
22022,1630578,0022200640,"JAN 13, 2023",HOU @ SAC,L,28,6,9,0.667,0,0,0.0,2,4,0.5,2,4,6,7,4,0,4,3,14,-2,1
22022,1630578,0022200625,"JAN 11, 2023",HOU @ SAC,L,28,5,9,0.556,0,0,0.0,0,1,0.0,2,8,10,10,1,0,2,4,10,-10,1
22022,1630578,0022200601,"JAN 08, 2023",HOU vs. MIN,L,35,8,15,0.533,0,0,0.0,2,4,0.5,3,5,8,2,0,1,5,5,18,-11,1
22022,1630578,0022200578,"JAN 05, 2023",HOU vs. UTA,L,32,7,14,0.5,0,0,0.0,6,8,0.75,8,6,14,3,1,1,3,5,20,-2,1
22022,1630578,0022200572,"JAN 04, 2023",HOU @ NOP,L,22,5,11,0.455,0,0,0.0,3,3,1.0,3,1,4,5,2,1,1,3,13,-3,1
22022,1630578,0022200556,"JAN 02, 2023",HOU vs. DAL,L,26,5,7,0.714,0,0,0.0,6,8,0.75,1,5,6,5,0,1,2,5,16,4,1
22022,1630578,0022200528,"DEC 29, 2022",HOU @ DAL,L,17,3,7,0.429,0,1,0.0,5,6,0.833,3,3,6,1,0,0,1,5,11,-14,1
22022,1630578,0022200507,"DEC 27, 2022",HOU @ BOS,L,22,0,3,0.0,0,0,0.0,0,0,0.0,4,5,9,2,1,0,1,2,0,-10,1
22022,1630578,0022200501,"DEC 26, 2022",HOU @ CHI,W,32,10,12,0.833,1,1,1.0,4,4,1.0,1,10,11,6,1,2,4,3,25,24,1
22022,1630578,0022200487,"DEC 23, 2022",HOU vs. DAL,L,27,6,9,0.667,0,0,0.0,7,8,0.875,2,6,8,7,1,0,0,3,19,12,1
22022,1630578,0022200472,"DEC 21, 2022",HOU vs. ORL,L,32,5,8,0.625,0,1,0.0,3,6,0.5,1,11,12,6,0,0,2,3,13,0,1
22022,1630578,0022200455,"DEC 19, 2022",HOU vs. SAS,L,24,8,10,0.8,0,0,0.0,6,8,0.75,1,3,4,3,1,1,0,3,22,-16,1
22022,1630578,0022200441,"DEC 17, 2022",HOU vs. POR,L,21,4,11,0.364,0,1,0.0,2,2,1.0,4,4,8,0,0,3,1,1,10,-12,1
22022,1630578,0022200424,"DEC 15, 2022",HOU vs. MIA,L,24,6,10,0.6,0,0,0.0,0,0,0.0,3,2,5,2,0,1,1,5,12,-4,1
22022,1630578,0022200411,"DEC 13, 2022",HOU vs. PHX,W,29,4,10,0.4,0,0,0.0,2,2,1.0,6,10,16,2,0,1,3,1,10,-3,1
22022,1630578,0022200401,"DEC 11, 2022",HOU vs. MIL,W,27,4,10,0.4,0,0,0.0,0,0,0.0,2,6,8,3,1,1,1,2,8,2,1
22022,1630578,0022200375,"DEC 08, 2022",HOU @ SAS,L,29,8,17,0.471,0,0,0.0,0,0,0.0,7,4,11,2,0,0,3,3,16,-12,1
22022,1630578,0022200356,"DEC 05, 2022",HOU vs. PHI,W,34,4,9,0.444,0,0,0.0,0,0,0.0,5,3,8,1,1,0,4,6,8,8,1
22022,1630578,0022200342,"DEC 03, 2022",HOU @ GSW,L,20,6,9,0.667,0,0,0.0,0,0,0.0,1,3,4,1,0,1,1,2,12,-24,1
22022,1630578,0022200334,"DEC 02, 2022",HOU @ PHX,W,24,5,7,0.714,0,0,0.0,3,5,0.6,3,1,4,2,2,1,2,2,13,-19,1
22022,1630578,0022200320,"NOV 30, 2022",HOU @ DEN,L,29,8,12,0.667,0,2,0.0,2,2,1.0,3,8,11,1,0,0,2,3,18,-4,1
22022,1630578,0022200305,"NOV 28, 2022",HOU @ DEN,L,23,7,14,0.5,0,2,0.0,4,5,0.8,3,4,7,3,0,0,4,4,18,2,1
22022,1630578,0022200287,"NOV 26, 2022",HOU vs. OKC,W,35,10,17,0.588,0,1,0.0,1,1,1.0,6,13,19,7,3,2,3,6,21,17,1
22022,1630578,0022200245,"NOV 20, 2022",HOU vs. GSW,L,23,1,3,0.333,0,0,0.0,2,2,1.0,1,6,7,3,1,0,3,3,4,-1,1
22022,1630578,0022200228,"NOV 18, 2022",HOU vs. IND,L,28,4,13,0.308,1,1,1.0,2,2,1.0,3,6,9,4,1,0,1,4,11,4,1
22022,1630578,0022200218,"NOV 16, 2022",HOU @ DAL,W,26,5,10,0.5,0,0,0.0,4,5,0.8,4,3,7,1,0,5,4,2,14,-7,1
22022,1630578,0022200203,"NOV 14, 2022",HOU vs. LAC,L,30,6,11,0.545,0,2,0.0,4,6,0.667,1,3,4,1,0,0,4,5,16,-11,1
22022,1630578,0022200191,"NOV 12, 2022",HOU @ NOP,L,19,3,6,0.5,0,1,0.0,0,0,0.0,0,3,3,1,1,0,1,6,6,-5,1
22022,1630578,0022200165,"NOV 09, 2022",HOU @ TOR,L,30,5,8,0.625,0,0,0.0,7,7,1.0,3,5,8,1,1,3,3,2,17,-13,1
22022,1630578,0022200145,"NOV 07, 2022",HOU @ ORL,W,29,6,14,0.429,0,1,0.0,8,10,0.8,7,3,10,4,2,1,3,2,20,6,1
22022,1630578,0022200137,"NOV 05, 2022",HOU @ MIN,L,20,8,9,0.889,0,0,0.0,1,3,0.333,5,2,7,5,0,0,2,3,17,0,1
22022,1630578,0022200112,"NOV 02, 2022",HOU vs. LAC,L,33,8,13,0.615,0,1,0.0,10,11,0.909,3,10,13,2,1,0,0,6,26,-13,1
22022,1630578,0022200102,"OCT 31, 2022",HOU @ LAC,L,30,4,8,0.5,0,0,0.0,6,6,1.0,2,7,9,3,0,1,2,3,14,-8,1
22022,1630578,0022200094,"OCT 30, 2022",HOU @ PHX,L,29,6,10,0.6,0,2,0.0,4,4,1.0,3,6,9,2,1,0,1,3,16,-1,1
22022,1630578,0022200080,"OCT 28, 2022",HOU @ POR,L,25,6,12,0.5,1,1,1.0,1,1,1.0,6,5,11,1,0,3,1,4,14,-8,1
22022,1630578,0022200033,"OCT 22, 2022",HOU @ MIL,L,23,4,9,0.444,0,3,0.0,1,2,0.5,3,6,9,2,1,1,1,2,9,-8,1
22022,1630578,0022200024,"OCT 21, 2022",HOU vs. MEM,L,27,9,13,0.692,1,2,0.5,4,10,0.4,5,7,12,1,1,2,1,3,23,13,1
22022,1630578,0022200005,"OCT 19, 2022",HOU @ ATL,L,22,5,9,0.556,1,2,0.5,4,4,1.0,4,5,9,0,0,0,6,3,15,-6,1
22021,1630578,0022101221,"APR 10, 2022",HOU vs. ATL,L,35,4,12,0.333,1,6,0.167,0,0,0.0,1,5,6,8,0,1,1,4,9,-17,1
22021,1630578,0022101206,"APR 08, 2022",HOU @ TOR,L,33,7,12,0.583,0,2,0.0,3,3,1.0,0,2,2,3,1,0,1,4,17,-1,1
22021,1630578,0022101180,"APR 05, 2022",HOU @ BKN,L,36,5,11,0.455,0,2,0.0,4,4,1.0,7,4,11,5,0,1,1,2,14,-12,1
