SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629645,0022201202,"APR 07, 2023",HOU @ CHA,W,38,7,13,0.538,2,5,0.4,10,12,0.833,0,3,3,5,2,0,3,5,26,6,1
22022,1629645,0022201183,"APR 04, 2023",HOU vs. DEN,W,34,7,17,0.412,5,11,0.455,1,2,0.5,1,2,3,9,2,0,2,3,20,15,1
22022,1629645,0022201171,"APR 02, 2023",HOU vs. LAL,L,37,7,16,0.438,6,10,0.6,0,0,0.0,0,3,3,2,1,0,2,2,20,-17,1
22022,1629645,0022201155,"MAR 31, 2023",HOU vs. DET,W,38,12,20,0.6,7,13,0.538,2,3,0.667,2,1,3,1,4,0,3,5,33,3,1
22022,1629645,0022201137,"MAR 29, 2023",HOU @ BKN,L,40,11,22,0.5,4,10,0.4,5,5,1.0,2,7,9,6,3,0,1,3,31,-14,1
22022,1629645,0022201124,"MAR 27, 2023",HOU @ NYK,L,35,8,14,0.571,3,7,0.429,7,8,0.875,0,0,0,4,0,1,2,3,26,-20,1
22022,1629645,0022201117,"MAR 26, 2023",HOU @ CLE,L,37,3,12,0.25,0,3,0.0,0,0,0.0,1,2,3,4,1,0,2,2,6,-19,1
22022,1629645,0022201100,"MAR 24, 2023",HOU @ MEM,L,29,7,12,0.583,1,2,0.5,5,7,0.714,0,6,6,7,2,0,3,1,20,-22,1
22022,1629645,0022201088,"MAR 22, 2023",HOU @ MEM,L,34,6,14,0.429,2,5,0.4,0,0,0.0,3,7,10,10,1,0,3,1,14,-4,1
22022,1629645,0022201074,"MAR 20, 2023",HOU vs. GSW,L,38,4,15,0.267,3,10,0.3,6,6,1.0,1,4,5,5,3,0,5,1,17,-11,1
22022,1629645,0022201067,"MAR 19, 2023",HOU vs. NOP,L,40,7,15,0.467,3,9,0.333,8,8,1.0,0,5,5,4,0,0,2,1,25,-9,1
22022,1629645,0022201051,"MAR 17, 2023",HOU vs. NOP,W,39,6,14,0.429,5,12,0.417,3,5,0.6,0,4,4,6,2,0,3,1,20,3,1
22022,1629645,0022201038,"MAR 15, 2023",HOU vs. LAL,W,39,11,16,0.688,2,5,0.4,3,4,0.75,4,5,9,6,1,0,3,4,27,7,1
22022,1629645,0022201024,"MAR 13, 2023",HOU vs. BOS,W,38,5,13,0.385,1,4,0.25,3,3,1.0,1,5,6,13,3,0,1,2,14,4,1
22022,1629645,0022201009,"MAR 11, 2023",HOU vs. CHI,L,34,5,13,0.385,2,7,0.286,3,4,0.75,0,4,4,4,2,0,1,3,15,-10,1
22022,1629645,0022200981,"MAR 07, 2023",HOU vs. BKN,L,29,2,11,0.182,1,4,0.25,3,4,0.75,4,4,8,7,0,0,2,3,8,-25,1
22022,1629645,0022200967,"MAR 05, 2023",HOU vs. SAS,W,32,7,11,0.636,3,5,0.6,2,2,1.0,1,3,4,13,1,0,4,1,19,22,1
22022,1629645,0022200959,"MAR 04, 2023",HOU @ SAS,W,30,4,10,0.4,1,4,0.25,2,3,0.667,0,6,6,5,1,0,1,4,11,7,1
22022,1629645,0022200938,"MAR 01, 2023",HOU vs. MEM,L,26,3,11,0.273,2,5,0.4,3,4,0.75,1,4,5,2,0,0,2,2,11,0,1
22022,1629645,0022200625,"JAN 11, 2023",HOU @ SAC,L,10,2,5,0.4,1,2,0.5,0,0,0.0,0,3,3,3,1,0,0,0,5,-2,1
22022,1629645,0022200601,"JAN 08, 2023",HOU vs. MIN,L,38,9,15,0.6,5,9,0.556,2,4,0.5,2,4,6,5,1,1,5,2,25,-12,1
22022,1629645,0022200578,"JAN 05, 2023",HOU vs. UTA,L,37,8,22,0.364,5,13,0.385,2,2,1.0,1,5,6,2,0,0,2,5,23,-22,1
22022,1629645,0022200572,"JAN 04, 2023",HOU @ NOP,L,31,4,11,0.364,2,7,0.286,1,2,0.5,3,0,3,5,1,0,2,2,11,-23,1
22022,1629645,0022200556,"JAN 02, 2023",HOU vs. DAL,L,42,11,20,0.55,2,9,0.222,1,2,0.5,0,6,6,6,3,1,3,1,25,-7,1
22022,1629645,0022200541,"DEC 31, 2022",HOU vs. NYK,L,35,7,12,0.583,4,8,0.5,5,5,1.0,0,10,10,8,0,0,5,2,23,-16,1
22022,1629645,0022200528,"DEC 29, 2022",HOU @ DAL,L,34,4,12,0.333,4,7,0.571,5,6,0.833,0,4,4,7,1,0,4,2,17,-21,1
22022,1629645,0022200507,"DEC 27, 2022",HOU @ BOS,L,35,8,18,0.444,2,6,0.333,4,5,0.8,1,4,5,9,0,0,0,2,22,-18,1
22022,1629645,0022200501,"DEC 26, 2022",HOU @ CHI,W,39,14,22,0.636,6,12,0.5,2,4,0.5,3,4,7,9,0,0,2,2,36,13,1
22022,1629645,0022200487,"DEC 23, 2022",HOU vs. DAL,L,32,5,13,0.385,1,7,0.143,3,3,1.0,0,1,1,4,1,0,2,4,14,5,1
22022,1629645,0022200472,"DEC 21, 2022",HOU vs. ORL,L,35,12,19,0.632,5,9,0.556,2,3,0.667,1,5,6,5,3,1,5,1,31,0,1
22022,1629645,0022200455,"DEC 19, 2022",HOU vs. SAS,L,27,6,16,0.375,1,5,0.2,2,3,0.667,3,1,4,4,2,1,1,4,15,-25,1
22022,1629645,0022200441,"DEC 17, 2022",HOU vs. POR,L,29,3,10,0.3,0,6,0.0,7,9,0.778,1,6,7,4,2,0,6,3,13,-21,1
22022,1629645,0022200424,"DEC 15, 2022",HOU vs. MIA,L,36,10,17,0.588,0,2,0.0,1,1,1.0,5,2,7,5,4,1,6,2,21,4,1
22022,1629645,0022200411,"DEC 13, 2022",HOU vs. PHX,W,33,6,16,0.375,2,8,0.25,4,5,0.8,0,5,5,4,2,0,4,4,18,22,1
22022,1629645,0022200401,"DEC 11, 2022",HOU vs. MIL,W,36,8,16,0.5,0,3,0.0,2,2,1.0,1,2,3,7,2,1,4,2,18,3,1
22022,1629645,0022200375,"DEC 08, 2022",HOU @ SAS,L,31,5,16,0.313,0,4,0.0,2,2,1.0,0,3,3,4,1,0,3,3,12,-14,1
22022,1629645,0022200356,"DEC 05, 2022",HOU vs. PHI,W,44,7,17,0.412,4,8,0.5,6,8,0.75,1,5,6,3,1,1,4,5,24,13,1
22022,1629645,0022200342,"DEC 03, 2022",HOU @ GSW,L,32,6,16,0.375,1,9,0.111,7,7,1.0,0,3,3,4,2,0,4,3,20,-17,1
22022,1629645,0022200334,"DEC 02, 2022",HOU @ PHX,W,33,3,8,0.375,1,4,0.25,8,9,0.889,1,5,6,7,0,0,6,3,15,-2,1
22022,1629645,0022200320,"NOV 30, 2022",HOU @ DEN,L,32,8,18,0.444,5,7,0.714,2,2,1.0,2,4,6,5,1,0,3,5,23,-14,1
22022,1629645,0022200305,"NOV 28, 2022",HOU @ DEN,L,29,4,9,0.444,4,7,0.571,0,0,0.0,2,2,4,6,1,1,1,2,12,-13,1
22022,1629645,0022200287,"NOV 26, 2022",HOU vs. OKC,W,33,6,13,0.462,1,5,0.2,3,5,0.6,0,3,3,6,1,0,5,2,16,17,1
22022,1629645,0022200278,"NOV 25, 2022",HOU vs. ATL,W,37,5,16,0.313,0,6,0.0,2,3,0.667,3,4,7,10,1,0,4,0,12,5,1
22022,1629645,0022200245,"NOV 20, 2022",HOU vs. GSW,L,35,10,19,0.526,5,11,0.455,5,6,0.833,3,2,5,6,2,1,2,4,30,-15,1
22022,1629645,0022200218,"NOV 16, 2022",HOU @ DAL,W,37,6,14,0.429,2,3,0.667,3,4,0.75,1,10,11,8,1,3,5,2,17,16,1
22022,1629645,0022200203,"NOV 14, 2022",HOU vs. LAC,L,32,6,18,0.333,0,4,0.0,8,15,0.533,2,5,7,3,3,0,2,4,20,-10,1
22022,1629645,0022200191,"NOV 12, 2022",HOU @ NOP,L,34,9,16,0.563,3,9,0.333,2,4,0.5,0,1,1,3,0,0,7,4,23,-28,1
22022,1629645,0022200165,"NOV 09, 2022",HOU @ TOR,L,40,4,11,0.364,1,6,0.167,3,4,0.75,0,2,2,11,0,0,4,2,12,-8,1
22022,1629645,0022200145,"NOV 07, 2022",HOU @ ORL,W,38,7,14,0.5,3,8,0.375,0,1,0.0,1,7,8,11,2,1,7,5,17,13,1
22022,1629645,0022200137,"NOV 05, 2022",HOU @ MIN,L,29,3,12,0.25,2,4,0.5,5,5,1.0,1,4,5,2,0,0,3,4,13,-16,1
22022,1629645,0022200112,"NOV 02, 2022",HOU vs. LAC,L,38,7,19,0.368,3,9,0.333,5,8,0.625,3,4,7,7,1,0,6,1,22,-2,1
22022,1629645,0022200102,"OCT 31, 2022",HOU @ LAC,L,34,5,13,0.385,1,3,0.333,2,2,1.0,0,5,5,5,2,0,2,3,13,-14,1
22022,1629645,0022200094,"OCT 30, 2022",HOU @ PHX,L,34,7,17,0.412,1,4,0.25,11,14,0.786,1,7,8,6,1,0,1,3,26,-7,1
22022,1629645,0022200080,"OCT 28, 2022",HOU @ POR,L,35,6,14,0.429,1,5,0.2,3,5,0.6,3,3,6,4,3,1,5,0,16,-10,1
22022,1629645,0022200063,"OCT 26, 2022",HOU @ UTA,L,35,10,22,0.455,0,4,0.0,4,4,1.0,2,3,5,5,1,1,5,5,24,-3,1
22022,1629645,0022200048,"OCT 24, 2022",HOU vs. UTA,W,35,8,19,0.421,1,4,0.25,9,9,1.0,1,9,10,4,2,1,4,1,26,3,1
22022,1629645,0022200033,"OCT 22, 2022",HOU @ MIL,L,34,5,15,0.333,2,4,0.5,6,7,0.857,2,3,5,7,2,0,2,4,18,-9,1
22022,1629645,0022200024,"OCT 21, 2022",HOU vs. MEM,L,35,6,16,0.375,4,8,0.5,2,4,0.5,2,3,5,4,0,0,3,4,18,-12,1
22022,1629645,0022200005,"OCT 19, 2022",HOU @ ATL,L,34,9,19,0.474,3,5,0.6,0,0,0.0,3,4,7,7,2,0,4,2,21,-13,1
22021,1629645,0022101221,"APR 10, 2022",HOU vs. ATL,L,41,10,24,0.417,6,12,0.5,0,0,0.0,2,6,8,6,0,0,2,1,26,-16,1
22021,1629645,0022101206,"APR 08, 2022",HOU @ TOR,L,39,12,23,0.522,4,9,0.444,7,7,1.0,1,9,10,4,2,0,2,0,35,5,1
22021,1629645,0022101180,"APR 05, 2022",HOU @ BKN,L,41,13,26,0.5,6,14,0.429,4,6,0.667,0,2,2,4,1,1,3,3,36,-6,1
22021,1629645,0022101173,"APR 03, 2022",HOU vs. MIN,L,36,6,14,0.429,4,10,0.4,5,5,1.0,1,5,6,8,2,0,8,3,21,-8,1
22021,1629645,0022101154,"APR 01, 2022",HOU vs. SAC,L,38,11,24,0.458,4,12,0.333,1,2,0.5,1,3,4,11,4,0,2,5,27,2,1
22021,1629645,0022101142,"MAR 30, 2022",HOU vs. SAC,L,38,11,17,0.647,4,10,0.4,4,5,0.8,2,10,12,12,0,1,3,4,30,0,1
22021,1629645,0022101128,"MAR 28, 2022",HOU vs. SAS,L,36,9,22,0.409,3,10,0.3,5,5,1.0,1,8,9,7,1,1,1,2,26,-1,1
22021,1629645,0022101114,"MAR 26, 2022",HOU @ POR,W,30,4,11,0.364,2,6,0.333,0,0,0.0,0,2,2,11,0,0,3,1,10,10,1
22021,1629645,0022101105,"MAR 25, 2022",HOU @ POR,W,26,4,9,0.444,3,7,0.429,2,2,1.0,1,1,2,7,1,1,2,1,13,18,1
22021,1629645,0022101092,"MAR 23, 2022",HOU @ DAL,L,29,5,12,0.417,1,4,0.25,0,0,0.0,0,4,4,5,0,1,1,4,11,-10,1
22021,1629645,0022101077,"MAR 21, 2022",HOU vs. WAS,W,36,5,13,0.385,0,3,0.0,1,2,0.5,1,2,3,4,0,1,1,4,11,15,1
22021,1629645,0022101063,"MAR 20, 2022",HOU vs. MEM,L,27,5,18,0.278,2,7,0.286,2,4,0.5,0,5,5,3,1,0,2,0,14,-25,1
22021,1629645,0022101053,"MAR 18, 2022",HOU vs. IND,L,34,7,14,0.5,3,6,0.5,2,2,1.0,0,4,4,4,1,0,1,2,19,6,1
22021,1629645,0022101038,"MAR 16, 2022",HOU vs. PHX,L,36,7,15,0.467,5,10,0.5,2,2,1.0,1,3,4,8,2,2,3,2,21,-16,1
22021,1629645,0022101017,"MAR 13, 2022",HOU @ NOP,L,26,2,9,0.222,1,5,0.2,1,3,0.333,1,5,6,5,0,1,5,3,6,-20,1
