SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1627741,0022201220,"APR 09, 2023",IND @ NYK,W,23,5,6,0.833,5,6,0.833,0,0,0.0,1,5,6,4,0,0,1,0,15,18,1
22022,1627741,0022201203,"APR 07, 2023",IND vs. DET,L,22,7,14,0.5,5,11,0.455,3,4,0.75,0,6,6,2,1,0,2,1,22,-18,1
22022,1627741,0022201190,"APR 05, 2023",IND vs. NYK,L,22,5,7,0.714,3,5,0.6,0,0,0.0,0,2,2,6,0,1,0,1,13,18,1
22022,1627741,0022201173,"APR 02, 2023",IND @ CLE,L,23,3,8,0.375,1,4,0.25,3,3,1.0,1,4,5,1,2,0,2,2,10,-2,1
22022,1627741,0022201149,"MAR 31, 2023",IND vs. OKC,W,24,5,12,0.417,3,8,0.375,0,1,0.0,0,3,3,5,2,0,2,2,13,11,1
22022,1627741,0022201107,"MAR 25, 2023",IND @ ATL,L,29,5,16,0.313,4,12,0.333,2,2,1.0,1,3,4,5,0,2,0,4,16,-20,1
22022,1627741,0022201097,"MAR 24, 2023",IND @ BOS,L,26,2,9,0.222,1,4,0.25,3,3,1.0,1,7,8,4,3,0,2,1,8,-6,1
22022,1627741,0022201085,"MAR 22, 2023",IND @ TOR,W,31,5,8,0.625,1,3,0.333,2,3,0.667,1,5,6,3,0,1,4,3,13,4,1
22022,1627741,0022201071,"MAR 20, 2023",IND @ CHA,L,32,7,18,0.389,4,12,0.333,2,3,0.667,0,4,4,1,0,0,2,2,20,1,1
22022,1627741,0022201057,"MAR 18, 2023",IND vs. PHI,L,30,5,10,0.5,3,6,0.5,0,0,0.0,1,2,3,3,2,0,1,0,13,-14,1
22022,1627741,0022201045,"MAR 16, 2023",IND @ MIL,W,34,8,11,0.727,3,5,0.6,1,1,1.0,0,4,4,6,2,0,0,2,20,5,1
22022,1627741,0022201020,"MAR 13, 2023",IND @ DET,L,22,3,12,0.25,1,7,0.143,0,1,0.0,2,6,8,4,0,1,1,0,7,-16,1
22022,1627741,0022201006,"MAR 11, 2023",IND @ DET,W,27,7,15,0.467,3,8,0.375,0,0,0.0,2,6,8,2,2,0,3,2,17,-6,1
22022,1627741,0022200993,"MAR 09, 2023",IND vs. HOU,W,33,6,13,0.462,5,10,0.5,0,0,0.0,0,6,6,0,2,2,0,2,17,6,1
22022,1627741,0022200972,"MAR 06, 2023",IND vs. PHI,L,28,5,9,0.556,4,7,0.571,1,4,0.25,1,7,8,2,0,0,1,3,15,4,1
22022,1627741,0022200963,"MAR 05, 2023",IND @ CHI,W,26,3,9,0.333,2,7,0.286,1,1,1.0,3,3,6,2,0,0,1,1,9,-9,1
22022,1627741,0022200944,"MAR 02, 2023",IND @ SAS,L,34,12,17,0.706,2,3,0.667,1,1,1.0,0,4,4,4,3,0,2,3,27,-1,1
22022,1627741,0022200929,"FEB 28, 2023",IND @ DAL,W,28,1,2,0.5,1,1,1.0,7,9,0.778,1,4,5,4,1,0,1,3,10,-4,1
22022,1627741,0022200905,"FEB 25, 2023",IND @ ORL,W,31,3,9,0.333,3,8,0.375,0,0,0.0,0,4,4,2,3,0,1,3,9,1,1
22022,1627741,0022200887,"FEB 23, 2023",IND vs. BOS,L,37,7,14,0.5,4,10,0.4,0,1,0.0,0,5,5,2,1,0,1,3,18,-1,1
22022,1627741,0022200874,"FEB 15, 2023",IND vs. CHI,W,28,8,12,0.667,6,10,0.6,5,5,1.0,1,3,4,1,0,0,3,2,27,10,1
22022,1627741,0022200859,"FEB 13, 2023",IND vs. UTA,L,29,3,13,0.231,2,11,0.182,0,0,0.0,1,2,3,4,1,0,0,1,8,-5,1
22022,1627741,0022200849,"FEB 11, 2023",IND @ WAS,L,30,6,13,0.462,4,10,0.4,0,0,0.0,3,1,4,3,2,0,1,2,16,-9,1
22022,1627741,0022200836,"FEB 10, 2023",IND vs. PHX,L,27,5,12,0.417,4,11,0.364,0,0,0.0,0,2,2,2,0,0,1,3,14,-11,1
22022,1627741,0022200825,"FEB 08, 2023",IND @ MIA,L,37,10,18,0.556,6,12,0.5,3,3,1.0,2,5,7,2,1,1,1,3,29,-2,1
22022,1627741,0022200803,"FEB 05, 2023",IND vs. CLE,L,30,6,14,0.429,4,9,0.444,0,0,0.0,1,4,5,0,1,1,3,1,16,-7,1
22022,1627741,0022200786,"FEB 03, 2023",IND vs. SAC,W,37,8,15,0.533,5,9,0.556,0,0,0.0,4,6,10,6,2,0,3,2,21,11,1
22022,1627741,0022200778,"FEB 02, 2023",IND vs. LAL,L,37,5,11,0.455,2,5,0.4,2,3,0.667,0,5,5,2,2,0,1,2,14,3,1
22022,1627741,0022200753,"JAN 29, 2023",IND @ MEM,L,34,1,4,0.25,1,4,0.25,0,0,0.0,0,4,4,4,1,0,4,3,3,-10,1
22022,1627741,0022200736,"JAN 27, 2023",IND vs. MIL,L,36,8,13,0.615,5,9,0.556,1,2,0.5,0,5,5,2,3,0,1,4,22,1,1
22022,1627741,0022200720,"JAN 25, 2023",IND @ ORL,L,39,7,13,0.538,6,10,0.6,1,2,0.5,2,2,4,5,4,0,4,2,21,-2,1
22022,1627741,0022200713,"JAN 24, 2023",IND vs. CHI,W,39,5,14,0.357,4,11,0.364,5,5,1.0,1,4,5,4,4,3,1,1,19,5,1
22022,1627741,0022200697,"JAN 21, 2023",IND @ PHX,L,36,7,17,0.412,5,12,0.417,3,4,0.75,1,7,8,2,2,0,4,2,22,6,1
22022,1627741,0022200688,"JAN 20, 2023",IND @ DEN,L,25,3,6,0.5,0,2,0.0,3,3,1.0,1,5,6,3,1,0,2,0,9,-12,1
22022,1627741,0022200674,"JAN 18, 2023",IND @ OKC,L,19,1,4,0.25,1,4,0.25,0,0,0.0,0,2,2,3,0,0,3,1,3,-27,1
22022,1627741,0022200657,"JAN 16, 2023",IND @ MIL,L,38,6,15,0.4,5,10,0.5,1,1,1.0,0,5,5,5,1,0,2,3,18,-19,1
22022,1627741,0022200643,"JAN 14, 2023",IND vs. MEM,L,26,2,8,0.25,0,3,0.0,1,1,1.0,0,5,5,1,0,0,2,1,5,-29,1
22022,1627741,0022200633,"JAN 13, 2023",IND vs. ATL,L,38,5,15,0.333,5,12,0.417,3,3,1.0,0,5,5,5,3,0,1,4,18,-7,1
22022,1627741,0022200622,"JAN 11, 2023",IND @ NYK,L,32,11,20,0.55,7,15,0.467,2,2,1.0,0,8,8,0,1,0,1,3,31,-3,1
22022,1627741,0022200598,"JAN 08, 2023",IND vs. CHA,W,31,7,21,0.333,4,12,0.333,3,4,0.75,0,1,1,2,0,1,2,0,21,13,1
22022,1627741,0022200580,"JAN 06, 2023",IND vs. POR,W,31,3,9,0.333,2,5,0.4,3,3,1.0,0,6,6,0,2,1,0,2,11,9,1
22022,1627741,0022200567,"JAN 04, 2023",IND @ PHI,L,41,9,22,0.409,6,14,0.429,0,0,0.0,1,8,9,6,2,1,0,1,24,1,1
22022,1627741,0022200553,"JAN 02, 2023",IND vs. TOR,W,30,7,11,0.636,4,7,0.571,1,1,1.0,0,5,5,4,0,0,0,1,19,0,1
22022,1627741,0022200538,"DEC 31, 2022",IND vs. LAC,W,34,6,16,0.375,5,12,0.417,1,1,1.0,2,6,8,2,1,0,1,2,18,2,1
22022,1627741,0022200524,"DEC 29, 2022",IND vs. CLE,W,33,10,14,0.714,5,6,0.833,0,0,0.0,0,3,3,3,2,0,1,4,25,14,1
22022,1627741,0022200508,"DEC 27, 2022",IND vs. ATL,W,30,11,16,0.688,6,7,0.857,0,0,0.0,1,8,9,2,0,0,0,0,28,11,1
22022,1627741,0022200502,"DEC 26, 2022",IND @ NOP,L,23,4,10,0.4,4,7,0.571,0,0,0.0,0,3,3,1,1,0,0,0,12,-10,1
22022,1627741,0022200486,"DEC 23, 2022",IND @ MIA,W,35,7,15,0.467,7,11,0.636,0,0,0.0,0,5,5,2,0,0,0,2,21,17,1
22022,1627741,0022200469,"DEC 21, 2022",IND @ BOS,W,30,3,7,0.429,2,3,0.667,0,0,0.0,1,4,5,5,1,1,1,1,8,2,1
22022,1627741,0022200446,"DEC 18, 2022",IND vs. NYK,L,27,9,16,0.563,5,10,0.5,0,0,0.0,0,3,3,3,1,0,3,6,23,4,1
