SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630543,0022201220,"APR 09, 2023",IND @ NYK,W,26,1,6,0.167,0,0,0.0,4,6,0.667,4,5,9,3,1,2,3,3,6,-11,1
22022,1630543,0022201203,"APR 07, 2023",IND vs. DET,L,29,7,10,0.7,0,0,0.0,1,1,1.0,3,4,7,0,1,3,2,3,15,8,1
22022,1630543,0022201190,"APR 05, 2023",IND vs. NYK,L,22,3,3,1.0,0,0,0.0,4,6,0.667,1,7,8,0,0,1,0,4,10,6,1
22022,1630543,0022201173,"APR 02, 2023",IND @ CLE,L,21,1,5,0.2,0,0,0.0,1,2,0.5,0,2,2,1,0,2,2,4,3,-8,1
22022,1630543,0022201149,"MAR 31, 2023",IND vs. OKC,W,19,4,4,1.0,0,0,0.0,5,8,0.625,2,2,4,0,1,2,0,3,13,-2,1
22022,1630543,0022201136,"MAR 29, 2023",IND vs. MIL,L,22,4,10,0.4,0,0,0.0,1,1,1.0,1,2,3,1,0,3,1,5,9,-15,1
22022,1630543,0022201123,"MAR 27, 2023",IND vs. DAL,L,24,4,11,0.364,0,0,0.0,0,1,0.0,9,3,12,1,1,1,1,4,8,-24,1
22022,1630543,0022201107,"MAR 25, 2023",IND @ ATL,L,23,7,10,0.7,0,2,0.0,0,0,0.0,2,3,5,1,3,0,0,5,14,4,1
22022,1630543,0022201097,"MAR 24, 2023",IND @ BOS,L,22,5,10,0.5,0,0,0.0,2,2,1.0,2,4,6,0,0,1,1,3,12,-9,1
22022,1630543,0022201085,"MAR 22, 2023",IND @ TOR,W,16,2,2,1.0,0,0,0.0,1,2,0.5,3,3,6,0,0,0,0,2,5,0,1
22022,1630543,0022201071,"MAR 20, 2023",IND @ CHA,L,20,5,7,0.714,0,0,0.0,2,4,0.5,7,3,10,0,1,3,1,3,12,15,1
22022,1630543,0022201045,"MAR 16, 2023",IND @ MIL,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-2,1
22022,1630543,0022201020,"MAR 13, 2023",IND @ DET,L,27,5,8,0.625,0,0,0.0,1,1,1.0,1,5,6,0,2,1,1,4,11,-1,1
22022,1630543,0022201006,"MAR 11, 2023",IND @ DET,W,26,7,10,0.7,0,0,0.0,5,7,0.714,6,5,11,1,2,2,0,4,19,-2,1
22022,1630543,0022200993,"MAR 09, 2023",IND vs. HOU,W,8,0,1,0.0,0,0,0.0,0,0,0.0,2,1,3,1,0,2,0,1,0,2,1
22022,1630543,0022200972,"MAR 06, 2023",IND vs. PHI,L,9,2,3,0.667,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,2,4,-8,1
22022,1630543,0022200963,"MAR 05, 2023",IND @ CHI,W,20,3,6,0.5,0,0,0.0,0,0,0.0,5,2,7,0,0,1,0,3,6,9,1
22022,1630543,0022200944,"MAR 02, 2023",IND @ SAS,L,17,1,6,0.167,0,0,0.0,0,0,0.0,1,5,6,2,0,2,0,2,2,-3,1
22022,1630543,0022200874,"FEB 15, 2023",IND vs. CHI,W,5,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-15,1
22022,1630543,0022200859,"FEB 13, 2023",IND vs. UTA,L,26,3,4,0.75,0,1,0.0,5,9,0.556,2,3,5,2,0,4,1,3,11,-1,1
22022,1630543,0022200849,"FEB 11, 2023",IND @ WAS,L,18,3,4,0.75,0,0,0.0,0,0,0.0,2,2,4,2,1,2,0,3,6,-12,1
22022,1630543,0022200836,"FEB 10, 2023",IND vs. PHX,L,12,5,6,0.833,1,1,1.0,3,7,0.429,1,4,5,0,1,0,0,2,14,5,1
22022,1630543,0022200803,"FEB 05, 2023",IND vs. CLE,L,8,1,2,0.5,0,1,0.0,0,1,0.0,0,1,1,1,0,0,1,1,2,-3,1
22022,1630543,0022200778,"FEB 02, 2023",IND vs. LAL,L,9,2,3,0.667,0,0,0.0,0,0,0.0,3,3,6,0,0,3,1,0,4,-7,1
22022,1630543,0022200753,"JAN 29, 2023",IND @ MEM,L,21,6,10,0.6,0,0,0.0,1,1,1.0,1,3,4,1,0,3,0,4,13,6,1
22022,1630543,0022200720,"JAN 25, 2023",IND @ ORL,L,13,3,4,0.75,0,0,0.0,0,0,0.0,0,1,1,0,1,3,0,1,6,-8,1
