SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629670,0022201220,"APR 09, 2023",IND @ NYK,W,23,7,10,0.7,4,6,0.667,1,1,1.0,0,4,4,0,0,1,3,4,19,-13,1
22022,1629670,0022201203,"APR 07, 2023",IND vs. DET,L,25,6,13,0.462,1,4,0.25,0,0,0.0,2,4,6,3,0,0,0,3,13,15,1
22022,1629670,0022201190,"APR 05, 2023",IND vs. NYK,L,26,3,9,0.333,2,6,0.333,3,4,0.75,0,1,1,1,0,0,2,1,11,-31,1
22022,1629670,0022201173,"APR 02, 2023",IND @ CLE,L,36,4,15,0.267,2,8,0.25,5,6,0.833,3,7,10,3,0,0,1,0,15,-11,1
22022,1629670,0022201149,"MAR 31, 2023",IND vs. OKC,W,30,6,14,0.429,1,6,0.167,0,0,0.0,1,5,6,6,0,1,0,2,13,-15,1
22022,1629670,0022201136,"MAR 29, 2023",IND vs. MIL,L,34,7,14,0.5,3,6,0.5,1,2,0.5,0,2,2,2,1,0,1,3,18,-23,1
22022,1629670,0022201123,"MAR 27, 2023",IND vs. DAL,L,31,5,11,0.455,2,4,0.5,1,2,0.5,2,7,9,1,0,0,3,2,13,-17,1
22022,1629670,0022201107,"MAR 25, 2023",IND @ ATL,L,34,12,17,0.706,4,7,0.571,5,5,1.0,1,5,6,1,0,1,2,2,33,-10,1
22022,1629670,0022201097,"MAR 24, 2023",IND @ BOS,L,18,2,5,0.4,0,2,0.0,0,0,0.0,0,4,4,0,0,0,1,1,4,-8,1
22022,1629670,0022201085,"MAR 22, 2023",IND @ TOR,W,18,3,7,0.429,2,3,0.667,2,2,1.0,0,0,0,0,0,0,0,1,10,-2,1
22022,1629670,0022201071,"MAR 20, 2023",IND @ CHA,L,21,2,6,0.333,2,3,0.667,1,2,0.5,1,5,6,2,0,1,1,4,7,3,1
22022,1629670,0022201057,"MAR 18, 2023",IND vs. PHI,L,29,5,13,0.385,3,4,0.75,0,0,0.0,3,6,9,5,0,0,3,3,13,-27,1
22022,1629670,0022201045,"MAR 16, 2023",IND @ MIL,W,33,5,11,0.455,2,3,0.667,0,0,0.0,1,8,9,4,1,1,4,1,12,8,1
22022,1629670,0022201020,"MAR 13, 2023",IND @ DET,L,31,7,12,0.583,3,6,0.5,3,5,0.6,0,4,4,3,2,0,2,1,20,-2,1
22022,1629670,0022201006,"MAR 11, 2023",IND @ DET,W,16,4,9,0.444,2,5,0.4,1,2,0.5,1,1,2,1,1,0,3,3,11,8,1
22022,1629670,0022200993,"MAR 09, 2023",IND vs. HOU,W,23,7,12,0.583,2,6,0.333,2,2,1.0,2,3,5,1,2,1,1,0,18,-6,1
22022,1629670,0022200972,"MAR 06, 2023",IND vs. PHI,L,20,7,12,0.583,2,5,0.4,0,0,0.0,1,1,2,1,0,0,0,2,16,-4,1
22022,1629670,0022200963,"MAR 05, 2023",IND @ CHI,W,22,3,7,0.429,1,3,0.333,3,5,0.6,1,4,5,2,1,0,1,2,10,-4,1
22022,1629670,0022200944,"MAR 02, 2023",IND @ SAS,L,26,4,10,0.4,1,4,0.25,1,1,1.0,1,2,3,4,1,1,1,2,10,-10,1
22022,1629670,0022200929,"FEB 28, 2023",IND @ DAL,W,29,6,10,0.6,3,4,0.75,1,1,1.0,0,3,3,1,0,0,0,1,16,2,1
22022,1629670,0022200905,"FEB 25, 2023",IND @ ORL,W,21,8,12,0.667,1,5,0.2,1,3,0.333,2,6,8,6,1,0,1,1,18,17,1
22022,1629670,0022200887,"FEB 23, 2023",IND vs. BOS,L,19,2,7,0.286,2,4,0.5,0,0,0.0,0,2,2,2,0,0,1,1,6,-8,1
22022,1629670,0022200874,"FEB 15, 2023",IND vs. CHI,W,9,0,4,0.0,0,3,0.0,0,0,0.0,0,3,3,0,0,0,1,0,0,-7,1
22022,1629670,0022200859,"FEB 13, 2023",IND vs. UTA,L,17,3,8,0.375,1,2,0.5,0,0,0.0,0,3,3,1,2,0,0,0,7,-6,1
