SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,201586,0022200548,"JAN 01, 2023",MIL vs. WAS,L,16,2,7,0.286,0,3,0.0,0,0,0.0,2,0,2,0,2,1,3,3,4,-8,1
22022,201586,0022200442,"DEC 17, 2022",MIL vs. UTA,W,11,1,3,0.333,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,7,1
22022,201586,0022200251,"NOV 21, 2022",MIL vs. POR,W,4,0,2,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,2,1,0,1
22022,201586,0022200226,"NOV 18, 2022",MIL @ PHI,L,7,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-4,1
22022,201586,0022200216,"NOV 16, 2022",MIL vs. CLE,W,18,4,6,0.667,1,2,0.5,0,0,0.0,2,2,4,1,0,0,1,1,9,-6,1
22022,201586,0022200204,"NOV 14, 2022",MIL vs. ATL,L,13,2,3,0.667,1,2,0.5,0,0,0.0,0,3,3,0,0,0,0,2,5,-8,1
22022,201586,0022200180,"NOV 11, 2022",MIL @ SAS,L,19,4,9,0.444,1,3,0.333,2,5,0.4,5,4,9,0,0,0,0,2,11,-3,1
22022,201586,0022200168,"NOV 09, 2022",MIL @ OKC,W,12,2,2,1.0,0,0,0.0,0,0,0.0,0,2,2,1,0,1,1,1,4,-4,1
22022,201586,0022200149,"NOV 07, 2022",MIL @ ATL,L,12,2,2,1.0,0,0,0.0,0,0,0.0,1,3,4,0,0,0,0,1,4,2,1
22022,201586,0022200136,"NOV 05, 2022",MIL vs. OKC,W,24,2,5,0.4,0,2,0.0,4,4,1.0,1,5,6,2,0,2,2,2,8,1,1
22022,201586,0022200113,"NOV 02, 2022",MIL vs. DET,W,6,1,2,0.5,1,1,1.0,0,0,0.0,0,2,2,0,0,1,0,1,3,-1,1
22022,201586,0022200100,"OCT 31, 2022",MIL vs. DET,W,10,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,1,0,-3,1
22022,201586,0022200085,"OCT 29, 2022",MIL vs. ATL,W,11,1,2,0.5,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,1,2,-6,1
22022,201586,0022200075,"OCT 28, 2022",MIL vs. NYK,W,5,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,0,0,1,1,2,2,2,1
22022,201586,0022200033,"OCT 22, 2022",MIL vs. HOU,W,15,3,5,0.6,2,2,1.0,1,2,0.5,1,4,5,0,0,1,0,3,9,7,1
22022,201586,0022200015,"OCT 20, 2022",MIL @ PHI,W,4,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,-1,1
22021,201586,0022101203,"APR 08, 2022",MIL @ DET,W,11,4,5,0.8,0,1,0.0,0,0,0.0,2,2,4,0,0,0,0,3,8,1,1
22021,201586,0022101156,"APR 01, 2022",MIL vs. LAC,L,28,4,8,0.5,1,2,0.5,0,0,0.0,3,7,10,3,0,0,2,5,9,-17,1
22021,201586,0022101131,"MAR 29, 2022",MIL @ PHI,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,-3,1
22021,201586,0022101097,"MAR 24, 2022",MIL vs. WAS,W,17,4,5,0.8,2,3,0.667,1,1,1.0,0,5,5,2,1,0,1,4,11,15,1
22021,201586,0022101082,"MAR 22, 2022",MIL vs. CHI,W,19,4,6,0.667,1,2,0.5,2,2,1.0,0,4,4,2,0,1,0,1,11,17,1
22021,201586,0022101058,"MAR 19, 2022",MIL @ MIN,L,21,1,11,0.091,1,6,0.167,2,2,1.0,2,3,5,0,0,0,0,3,5,-10,1
22021,201586,0022101043,"MAR 16, 2022",MIL @ SAC,W,18,4,6,0.667,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,3,8,1,1
22021,201586,0022101027,"MAR 14, 2022",MIL @ UTA,W,7,1,2,0.5,0,1,0.0,0,0,0.0,0,4,4,0,0,0,0,1,2,4,1
22021,201586,0022101008,"MAR 12, 2022",MIL @ GSW,L,17,6,9,0.667,2,3,0.667,1,1,1.0,1,5,6,0,0,0,0,3,15,2,1
22021,201586,0022100984,"MAR 09, 2022",MIL vs. ATL,W,18,0,1,0.0,0,0,0.0,2,2,1.0,1,4,5,0,2,0,0,1,2,6,1
22021,201586,0022100979,"MAR 08, 2022",MIL @ OKC,W,18,6,9,0.667,2,3,0.667,0,0,0.0,3,4,7,0,0,2,2,1,14,1,1
22021,201586,0022100961,"MAR 06, 2022",MIL vs. PHX,W,22,6,10,0.6,1,2,0.5,1,3,0.333,6,4,10,1,0,2,0,0,14,8,1
22021,201586,0022100949,"MAR 04, 2022",MIL @ CHI,W,12,0,3,0.0,0,1,0.0,0,0,0.0,1,1,2,0,0,0,2,1,0,-12,1
22021,201586,0022100936,"MAR 02, 2022",MIL vs. MIA,W,19,2,3,0.667,0,1,0.0,0,0,0.0,1,5,6,1,0,0,0,0,4,-14,1
22021,201586,0022100924,"FEB 28, 2022",MIL vs. CHA,W,16,1,1,1.0,0,0,0.0,0,0,0.0,0,7,7,0,0,1,1,6,2,2,1
22021,201586,0022100910,"FEB 26, 2022",MIL vs. BKN,L,15,3,8,0.375,1,4,0.25,1,1,1.0,1,3,4,0,0,0,0,3,8,-7,1
