SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630554,0022201215,"APR 08, 2023",LAC vs. POR,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1
22022,1630554,0022200845,"FEB 10, 2023",LAC vs. MIL,L,5,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2,5,1
22022,1630554,0022200754,"JAN 29, 2023",LAC @ CLE,L,37,6,12,0.5,0,3,0.0,0,0,0.0,1,2,3,8,1,0,4,2,12,-10,1
22022,1630554,0022200735,"JAN 26, 2023",LAC vs. SAS,W,6,1,2,0.5,1,2,0.5,0,0,0.0,0,4,4,3,0,0,0,0,3,4,1
22022,1630554,0022200675,"JAN 18, 2023",LAC @ UTA,L,5,1,3,0.333,0,1,0.0,0,0,0.0,0,4,4,0,0,0,1,0,2,-6,1
22022,1630554,0022200668,"JAN 17, 2023",LAC vs. PHI,L,3,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,0,2,7,1
22022,1630554,0022200649,"JAN 15, 2023",LAC vs. HOU,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1
22022,1630554,0022200587,"JAN 06, 2023",LAC @ MIN,L,5,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,3,0,0,0,0,0,4,1
22022,1630554,0022200579,"JAN 05, 2023",LAC @ DEN,L,15,2,4,0.5,2,2,1.0,0,0,0.0,0,4,4,3,1,0,0,1,6,4,1
22022,1630554,0022200427,"DEC 15, 2022",LAC vs. PHX,L,16,0,3,0.0,0,1,0.0,0,0,0.0,0,2,2,3,0,0,2,2,0,-7,1
22022,1630554,0022200338,"DEC 03, 2022",LAC vs. SAC,L,15,4,9,0.444,1,5,0.2,0,0,0.0,0,2,2,3,0,0,2,1,9,-2,1
22022,1630554,0022200322,"NOV 30, 2022",LAC @ UTA,L,3,1,2,0.5,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,2,1,1
22022,1630554,0022200311,"NOV 29, 2022",LAC @ POR,W,6,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,1,3,-9,1
22022,1630554,0022200043,"OCT 23, 2022",LAC vs. PHX,L,3,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,-2,1
