SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,202695,0022201229,"APR 09, 2023",LAC @ PHX,W,36,11,21,0.524,0,3,0.0,3,5,0.6,0,15,15,6,0,0,4,4,25,-7,1
22022,202695,0022201215,"APR 08, 2023",LAC vs. POR,W,29,7,17,0.412,3,8,0.375,10,10,1.0,1,7,8,4,0,1,2,0,27,11,1
22022,202695,0022201196,"APR 05, 2023",LAC vs. LAL,W,43,9,17,0.529,4,7,0.571,3,4,0.75,1,6,7,4,0,0,1,2,25,-1,1
22022,202695,0022201162,"APR 01, 2023",LAC @ NOP,L,41,15,28,0.536,4,8,0.5,6,6,1.0,1,7,8,4,0,1,2,1,40,3,1
22022,202695,0022201156,"MAR 31, 2023",LAC @ MEM,L,18,4,9,0.444,2,4,0.5,2,2,1.0,0,3,3,0,1,2,2,1,12,12,1
22022,202695,0022201129,"MAR 27, 2023",LAC vs. CHI,W,33,8,13,0.615,3,5,0.6,3,3,1.0,1,6,7,6,1,1,1,3,22,19,1
22022,202695,0022201112,"MAR 25, 2023",LAC vs. NOP,L,27,4,16,0.25,0,6,0.0,4,6,0.667,1,5,6,4,2,0,2,1,12,-20,1
22022,202695,0022201096,"MAR 23, 2023",LAC vs. OKC,W,35,13,15,0.867,3,4,0.75,3,4,0.75,2,4,6,6,4,0,2,2,32,16,1
22022,202695,0022201082,"MAR 21, 2023",LAC vs. OKC,L,38,7,16,0.438,2,5,0.4,5,7,0.714,0,6,6,5,2,0,3,2,21,-5,1
22022,202695,0022201069,"MAR 19, 2023",LAC @ POR,W,40,10,20,0.5,2,7,0.286,2,2,1.0,1,4,5,2,2,0,0,1,24,23,1
22022,202695,0022201041,"MAR 15, 2023",LAC vs. GSW,W,36,10,19,0.526,3,7,0.429,7,7,1.0,2,6,8,5,2,0,2,2,30,11,1
22022,202695,0022201004,"MAR 11, 2023",LAC vs. NYK,W,37,14,22,0.636,3,6,0.5,7,7,1.0,0,4,4,2,1,0,1,2,38,6,1
22022,202695,0022200991,"MAR 08, 2023",LAC vs. TOR,W,40,8,15,0.533,1,1,1.0,7,9,0.778,2,10,12,4,3,0,4,3,24,2,1
22022,202695,0022200970,"MAR 05, 2023",LAC vs. MEM,W,38,9,20,0.45,3,7,0.429,13,13,1.0,2,8,10,4,1,0,3,1,34,-2,1
22022,202695,0022200945,"MAR 02, 2023",LAC @ GSW,L,32,8,12,0.667,2,3,0.667,3,5,0.6,0,7,7,0,2,2,1,1,21,-22,1
22022,202695,0022200932,"FEB 28, 2023",LAC vs. MIN,L,39,7,19,0.368,3,6,0.5,6,6,1.0,1,4,5,5,1,0,3,2,23,-1,1
22022,202695,0022200918,"FEB 26, 2023",LAC @ DEN,L,39,12,19,0.632,3,4,0.75,6,8,0.75,0,6,6,2,0,1,2,4,33,-10,1
22022,202695,0022200902,"FEB 24, 2023",LAC vs. SAC,L,46,16,22,0.727,6,9,0.667,6,6,1.0,0,4,4,4,3,2,2,4,44,-7,1
22022,202695,0022200885,"FEB 16, 2023",LAC @ PHX,W,35,5,18,0.278,0,5,0.0,6,6,1.0,1,8,9,4,1,1,2,0,16,9,1
22022,202695,0022200871,"FEB 14, 2023",LAC vs. GSW,W,34,12,17,0.706,7,9,0.778,2,2,1.0,1,6,7,4,1,1,1,1,33,14,1
22022,202695,0022200829,"FEB 08, 2023",LAC vs. DAL,L,32,7,12,0.583,1,1,1.0,3,4,0.75,0,4,4,4,2,1,0,1,18,-1,1
22022,202695,0022200810,"FEB 06, 2023",LAC @ BKN,W,34,8,17,0.471,3,4,0.75,5,6,0.833,1,3,4,6,1,0,1,2,24,-10,1
22022,202695,0022200795,"FEB 04, 2023",LAC @ NYK,W,41,11,23,0.478,1,3,0.333,12,12,1.0,3,2,5,3,4,0,2,3,35,8,1
22022,202695,0022200784,"FEB 02, 2023",LAC @ MIL,L,40,7,26,0.269,1,6,0.167,2,2,1.0,1,10,11,5,1,2,1,3,17,19,1
22022,202695,0022200766,"JAN 31, 2023",LAC @ CHI,W,40,11,24,0.458,3,6,0.5,8,9,0.889,2,2,4,5,5,2,1,0,33,10,1
22022,202695,0022200745,"JAN 28, 2023",LAC @ ATL,W,39,12,20,0.6,5,10,0.5,3,3,1.0,1,7,8,4,1,1,2,1,32,3,1
22022,202695,0022200735,"JAN 26, 2023",LAC vs. SAS,W,31,10,16,0.625,2,6,0.333,5,6,0.833,1,2,3,7,1,0,0,2,27,24,1
22022,202695,0022200719,"JAN 24, 2023",LAC @ LAL,W,35,11,16,0.688,0,4,0.0,3,4,0.75,2,7,9,3,2,2,1,3,25,16,1
22022,202695,0022200701,"JAN 22, 2023",LAC @ DAL,W,39,10,18,0.556,3,4,0.75,7,7,1.0,2,7,9,3,1,0,0,1,30,7,1
22022,202695,0022200687,"JAN 20, 2023",LAC @ SAS,W,38,13,18,0.722,4,5,0.8,6,6,1.0,2,2,4,7,2,0,2,0,36,14,1
22022,202695,0022200668,"JAN 17, 2023",LAC vs. PHI,L,36,10,20,0.5,2,6,0.333,5,7,0.714,1,3,4,1,1,1,3,2,27,-12,1
22022,202695,0022200649,"JAN 15, 2023",LAC vs. HOU,W,32,12,24,0.5,3,5,0.6,3,3,1.0,1,5,6,4,2,1,4,2,30,9,1
