SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629875,0022201215,"APR 08, 2023",LAC vs. POR,W,2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-2,1
22022,1629875,0022201156,"MAR 31, 2023",LAC @ MEM,L,9,2,6,0.333,1,3,0.333,0,0,0.0,0,1,1,3,0,0,1,0,5,8,1
22022,1629875,0022201129,"MAR 27, 2023",LAC vs. CHI,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-4,1
22022,1629875,0022201112,"MAR 25, 2023",LAC vs. NOP,L,7,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,1,0,1,1
22021,1629875,0022101222,"APR 10, 2022",LAC vs. OKC,W,26,8,11,0.727,1,3,0.333,0,0,0.0,0,3,3,7,1,1,2,1,17,27,1
22021,1629875,0022101195,"APR 06, 2022",LAC vs. PHX,W,7,0,1,0.0,0,0,0.0,1,2,0.5,0,0,0,1,1,0,1,1,1,-17,1
22021,1629875,0022101177,"APR 03, 2022",LAC vs. NOP,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,0,1
22021,1629875,0022101156,"APR 01, 2022",LAC @ MIL,W,19,3,5,0.6,1,1,1.0,0,0,0.0,1,1,2,4,0,1,0,3,7,6,1
22021,1629875,0022100629,"JAN 13, 2022",LAC @ NOP,L,15,3,4,0.75,2,2,1.0,2,3,0.667,0,0,0,4,0,0,1,1,10,4,1
22021,1629875,0022100597,"JAN 09, 2022",LAC vs. ATL,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1
22021,1629875,0022100561,"JAN 03, 2022",LAC vs. MIN,L,26,6,13,0.462,1,4,0.25,0,0,0.0,1,3,4,4,4,1,0,1,13,-1,1
22021,1629875,0022100542,"JAN 01, 2022",LAC @ BKN,W,18,4,11,0.364,0,3,0.0,0,0,0.0,0,1,1,1,0,0,2,1,8,-12,1
22021,1629875,0022100518,"DEC 29, 2021",LAC @ BOS,W,11,0,4,0.0,0,1,0.0,0,0,0.0,0,3,3,0,0,0,0,1,0,-5,1
22021,1629875,0022100507,"DEC 27, 2021",LAC vs. BKN,L,12,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,0,2,4,1
