SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1626181,0022201229,"APR 09, 2023",LAC @ PHX,W,32,12,22,0.545,0,3,0.0,5,7,0.714,2,3,5,0,1,0,1,1,29,8,1
22022,1626181,0022201215,"APR 08, 2023",LAC vs. POR,W,27,7,14,0.5,0,2,0.0,9,11,0.818,0,3,3,5,2,0,0,3,23,7,1
22022,1626181,0022201196,"APR 05, 2023",LAC vs. LAL,W,35,8,15,0.533,1,4,0.25,10,10,1.0,0,2,2,4,2,1,1,5,27,-4,1
22022,1626181,0022201162,"APR 01, 2023",LAC @ NOP,L,32,4,9,0.444,0,4,0.0,4,4,1.0,1,4,5,2,1,0,6,4,12,6,1
22022,1626181,0022201156,"MAR 31, 2023",LAC @ MEM,L,25,6,11,0.545,2,2,1.0,2,2,1.0,1,0,1,2,0,0,0,2,16,-31,1
22022,1626181,0022201141,"MAR 29, 2023",LAC @ MEM,W,24,4,9,0.444,2,6,0.333,3,4,0.75,0,1,1,1,2,0,4,3,13,1,1
22022,1626181,0022200945,"MAR 02, 2023",LAC @ GSW,L,21,1,9,0.111,0,7,0.0,0,0,0.0,0,2,2,1,0,0,1,1,2,-10,1
22022,1626181,0022200932,"FEB 28, 2023",LAC vs. MIN,L,25,4,14,0.286,2,6,0.333,3,4,0.75,0,1,1,2,0,1,1,1,13,-5,1
22022,1626181,0022200918,"FEB 26, 2023",LAC @ DEN,L,17,4,9,0.444,1,3,0.333,0,1,0.0,0,0,0,1,1,0,1,2,9,3,1
22022,1626181,0022200902,"FEB 24, 2023",LAC vs. SAC,L,38,6,14,0.429,5,8,0.625,7,8,0.875,0,0,0,3,0,0,4,3,24,5,1
22022,1626181,0022200871,"FEB 14, 2023",LAC vs. GSW,W,25,10,17,0.588,3,5,0.6,1,1,1.0,1,2,3,1,1,0,1,2,24,5,1
22022,1626181,0022200845,"FEB 10, 2023",LAC vs. MIL,L,24,3,9,0.333,1,6,0.167,9,10,0.9,0,2,2,4,2,0,0,1,16,4,1
22022,1626181,0022200829,"FEB 08, 2023",LAC vs. DAL,L,28,8,17,0.471,2,6,0.333,6,6,1.0,2,5,7,1,3,0,3,3,24,-6,1
22022,1626181,0022200810,"FEB 06, 2023",LAC @ BKN,W,30,5,10,0.5,1,4,0.25,3,3,1.0,1,2,3,4,1,0,2,1,14,13,1
22022,1626181,0022200795,"FEB 04, 2023",LAC @ NYK,W,35,8,17,0.471,2,6,0.333,6,9,0.667,1,6,7,3,1,0,2,3,24,-5,1
22022,1626181,0022200784,"FEB 02, 2023",LAC @ MIL,L,31,9,16,0.563,4,8,0.5,4,5,0.8,0,2,2,0,0,0,0,2,26,-27,1
22022,1626181,0022200766,"JAN 31, 2023",LAC @ CHI,W,33,7,11,0.636,3,7,0.429,10,10,1.0,0,4,4,4,2,0,0,3,27,10,1
22022,1626181,0022200754,"JAN 29, 2023",LAC @ CLE,L,16,4,10,0.4,0,2,0.0,3,4,0.75,1,1,2,0,1,0,1,3,11,-16,1
22022,1626181,0022200745,"JAN 28, 2023",LAC @ ATL,W,24,4,11,0.364,2,6,0.333,0,1,0.0,1,3,4,2,0,0,4,1,10,-8,1
22022,1626181,0022200735,"JAN 26, 2023",LAC vs. SAS,W,21,4,11,0.364,3,7,0.429,4,4,1.0,0,2,2,0,0,0,1,1,15,17,1
22022,1626181,0022200719,"JAN 24, 2023",LAC @ LAL,W,25,8,12,0.667,4,5,0.8,2,2,1.0,1,3,4,4,0,0,2,3,22,13,1
22022,1626181,0022200701,"JAN 22, 2023",LAC @ DAL,W,30,6,12,0.5,2,5,0.4,5,5,1.0,0,4,4,1,0,0,1,1,19,20,1
