SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630559,0022201228,"APR 09, 2023",LAL vs. UTA,W,34,3,5,0.6,3,4,0.75,3,3,1.0,0,4,4,6,0,0,0,2,12,20,1
22022,1630559,0022201212,"APR 07, 2023",LAL vs. PHX,W,31,9,13,0.692,1,4,0.25,3,5,0.6,0,0,0,5,1,0,2,1,22,18,1
22022,1630559,0022201196,"APR 05, 2023",LAL @ LAC,L,31,6,11,0.545,3,6,0.5,5,5,1.0,0,4,4,2,0,0,2,5,20,9,1
22022,1630559,0022201186,"APR 04, 2023",LAL @ UTA,W,42,8,13,0.615,4,7,0.571,8,8,1.0,0,3,3,6,0,0,2,1,28,10,1
22022,1630559,0022201171,"APR 02, 2023",LAL @ HOU,W,33,4,7,0.571,1,2,0.5,9,10,0.9,0,1,1,8,0,0,2,2,18,15,1
22022,1630559,0022201157,"MAR 31, 2023",LAL @ MIN,W,30,4,9,0.444,2,3,0.667,5,6,0.833,2,4,6,2,0,0,2,1,15,14,1
22022,1630559,0022201140,"MAR 29, 2023",LAL @ CHI,W,29,7,8,0.875,1,2,0.5,4,4,1.0,0,2,2,5,1,0,1,0,19,28,1
22022,1630559,0022201114,"MAR 26, 2023",LAL vs. CHI,L,37,6,10,0.6,1,3,0.333,0,1,0.0,0,3,3,7,0,0,5,2,13,-11,1
22022,1630559,0022201106,"MAR 24, 2023",LAL vs. OKC,W,38,3,12,0.25,1,5,0.2,4,4,1.0,3,3,6,9,0,0,3,3,11,4,1
22022,1630559,0022201092,"MAR 22, 2023",LAL vs. PHX,W,39,6,10,0.6,1,1,1.0,12,13,0.923,0,4,4,11,1,0,2,2,25,18,1
22022,1630559,0022201070,"MAR 19, 2023",LAL vs. ORL,W,30,9,14,0.643,1,4,0.25,16,18,0.889,1,5,6,6,0,0,3,3,35,25,1
22022,1630559,0022201054,"MAR 17, 2023",LAL vs. DAL,L,32,5,8,0.625,0,1,0.0,6,9,0.667,0,5,5,2,1,1,1,1,16,10,1
22022,1630559,0022201038,"MAR 15, 2023",LAL @ HOU,L,27,6,14,0.429,1,7,0.143,11,13,0.846,0,4,4,7,1,0,1,1,24,1,1
22022,1630559,0022201030,"MAR 14, 2023",LAL @ NOP,W,29,4,5,0.8,3,4,0.75,3,5,0.6,1,3,4,5,1,0,4,1,14,-2,1
22022,1630559,0022201019,"MAR 12, 2023",LAL vs. NYK,L,25,4,6,0.667,1,2,0.5,4,5,0.8,0,1,1,4,0,0,3,1,13,-3,1
22022,1630559,0022201003,"MAR 10, 2023",LAL vs. TOR,W,32,6,10,0.6,0,2,0.0,6,6,1.0,0,2,2,5,0,1,1,3,18,26,1
22022,1630559,0022200984,"MAR 07, 2023",LAL vs. MEM,W,33,6,13,0.462,1,3,0.333,4,6,0.667,0,4,4,7,1,0,0,3,17,11,1
22022,1630559,0022200964,"MAR 05, 2023",LAL vs. GSW,W,28,5,9,0.556,3,5,0.6,3,4,0.75,0,2,2,8,1,1,2,2,16,11,1
22022,1630559,0022200955,"MAR 03, 2023",LAL vs. MIN,L,21,2,9,0.222,0,2,0.0,2,2,1.0,1,2,3,3,0,0,2,0,6,-10,1
22022,1630559,0022200940,"MAR 01, 2023",LAL @ OKC,W,25,5,5,1.0,1,1,1.0,8,9,0.889,0,0,0,4,1,0,1,1,19,-3,1
22022,1630559,0022200927,"FEB 28, 2023",LAL @ MEM,L,27,5,8,0.625,4,7,0.571,3,3,1.0,0,2,2,7,1,1,4,2,17,-17,1
22022,1630559,0022200913,"FEB 26, 2023",LAL @ DAL,W,27,3,6,0.5,1,3,0.333,2,3,0.667,0,3,3,3,0,0,2,2,9,-10,1
22022,1630559,0022200893,"FEB 23, 2023",LAL vs. GSW,W,19,6,6,1.0,1,1,1.0,4,4,1.0,0,2,2,4,2,0,0,1,17,10,1
22022,1630559,0022200882,"FEB 15, 2023",LAL vs. NOP,W,22,1,2,0.5,1,2,0.5,2,3,0.667,1,1,2,3,0,0,0,2,5,-1,1
22022,1630559,0022200867,"FEB 13, 2023",LAL @ POR,L,25,3,5,0.6,1,3,0.333,3,4,0.75,0,2,2,2,0,0,1,0,10,-25,1
22022,1630559,0022200853,"FEB 11, 2023",LAL @ GSW,W,26,2,5,0.4,1,2,0.5,3,4,0.75,0,2,2,1,0,1,2,1,8,3,1
22022,1630559,0022200834,"FEB 09, 2023",LAL vs. MIL,L,25,7,11,0.636,3,4,0.75,1,2,0.5,1,3,4,2,1,0,2,3,18,-1,1
22022,1630559,0022200821,"FEB 07, 2023",LAL vs. OKC,L,7,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,2,0,-7,1
22022,1630559,0022200574,"JAN 04, 2023",LAL vs. MIA,W,32,3,11,0.273,0,4,0.0,5,5,1.0,1,4,5,3,0,0,2,3,11,15,1
22022,1630559,0022200551,"JAN 02, 2023",LAL @ CHA,W,22,5,7,0.714,2,2,1.0,3,5,0.6,0,6,6,7,1,0,1,0,15,6,1
22022,1630559,0022200530,"DEC 30, 2022",LAL @ ATL,W,26,1,13,0.077,1,9,0.111,2,2,1.0,0,3,3,1,0,0,2,4,5,-6,1
22022,1630559,0022200518,"DEC 28, 2022",LAL @ MIA,L,20,0,5,0.0,0,4,0.0,0,0,0.0,0,0,0,1,1,0,4,1,0,-9,1
22022,1630559,0022200505,"DEC 27, 2022",LAL @ ORL,W,26,3,7,0.429,2,6,0.333,0,0,0.0,0,3,3,5,1,0,2,0,8,12,1
22022,1630559,0022200494,"DEC 25, 2022",LAL @ DAL,L,29,5,7,0.714,1,2,0.5,5,5,1.0,1,1,2,0,0,2,2,3,16,-15,1
22022,1630559,0022200492,"DEC 23, 2022",LAL vs. CHA,L,29,6,10,0.6,3,6,0.5,5,7,0.714,1,1,2,2,1,0,3,0,20,3,1
22022,1630559,0022200451,"DEC 18, 2022",LAL vs. WAS,W,34,4,5,0.8,2,2,1.0,2,2,1.0,0,4,4,2,1,1,1,2,12,15,1
22022,1630559,0022200437,"DEC 16, 2022",LAL vs. DEN,W,30,5,9,0.556,2,5,0.4,4,4,1.0,1,3,4,0,1,1,2,3,16,26,1
22022,1630559,0022200413,"DEC 13, 2022",LAL vs. BOS,L,36,2,6,0.333,0,2,0.0,0,0,0.0,1,3,4,5,2,2,0,3,4,8,1
22022,1630559,0022200396,"DEC 11, 2022",LAL @ DET,W,29,3,6,0.5,3,5,0.6,0,0,0.0,0,3,3,2,0,1,3,0,9,3,1
22022,1630559,0022200382,"DEC 09, 2022",LAL @ PHI,L,41,9,15,0.6,4,6,0.667,3,4,0.75,1,1,2,5,2,0,3,5,25,-4,1
22022,1630559,0022200366,"DEC 07, 2022",LAL @ TOR,L,28,4,12,0.333,1,6,0.167,1,1,1.0,1,1,2,3,0,0,0,3,10,-11,1
22022,1630559,0022200360,"DEC 06, 2022",LAL @ CLE,L,26,3,9,0.333,0,4,0.0,2,2,1.0,0,0,0,0,1,0,2,2,8,-20,1
22022,1630559,0022200349,"DEC 04, 2022",LAL @ WAS,W,25,2,4,0.5,0,2,0.0,1,1,1.0,0,3,3,0,0,0,0,1,5,-4,1
22022,1630559,0022200331,"DEC 02, 2022",LAL @ MIL,W,32,2,4,0.5,1,2,0.5,2,2,1.0,1,1,2,2,0,0,1,0,7,17,1
22022,1630559,0022200324,"NOV 30, 2022",LAL vs. POR,W,35,7,10,0.7,2,5,0.4,6,8,0.75,2,3,5,3,1,1,0,1,22,10,1
22022,1630559,0022200308,"NOV 28, 2022",LAL vs. IND,L,31,2,4,0.5,2,3,0.667,7,7,1.0,0,2,2,1,0,0,1,1,13,6,1
22022,1630559,0022200288,"NOV 26, 2022",LAL @ SAS,W,31,6,7,0.857,1,2,0.5,3,3,1.0,0,2,2,2,1,0,2,3,16,3,1
22022,1630559,0022200282,"NOV 25, 2022",LAL @ SAS,W,29,3,8,0.375,0,3,0.0,2,2,1.0,1,5,6,2,1,0,2,1,8,15,1
22022,1630559,0022200259,"NOV 22, 2022",LAL @ PHX,L,36,3,5,0.6,0,1,0.0,5,5,1.0,1,2,3,4,0,1,1,5,11,-2,1
22022,1630559,0022200247,"NOV 20, 2022",LAL vs. SAS,W,27,7,11,0.636,3,4,0.75,4,4,1.0,1,1,2,3,0,0,1,1,21,19,1
22022,1630559,0022200234,"NOV 18, 2022",LAL vs. DET,W,36,5,8,0.625,2,4,0.5,4,4,1.0,1,3,4,6,0,1,0,2,16,14,1
22022,1630559,0022200198,"NOV 13, 2022",LAL vs. BKN,W,33,5,8,0.625,3,4,0.75,2,3,0.667,0,1,1,3,0,0,1,2,15,20,1
22022,1630559,0022200183,"NOV 11, 2022",LAL vs. SAC,L,33,7,12,0.583,0,2,0.0,5,5,1.0,2,3,5,1,1,0,3,1,19,2,1
22022,1630559,0022200170,"NOV 09, 2022",LAL @ LAC,L,35,3,10,0.3,1,5,0.2,1,3,0.333,4,5,9,1,0,0,1,0,8,1,1
22022,1630559,0022200157,"NOV 07, 2022",LAL @ UTA,L,30,2,6,0.333,0,3,0.0,7,7,1.0,0,4,4,1,0,0,0,0,11,-14,1
22022,1630559,0022200140,"NOV 06, 2022",LAL vs. CLE,L,25,0,2,0.0,0,1,0.0,1,1,1.0,0,4,4,0,0,1,2,3,1,-12,1
22022,1630559,0022200131,"NOV 04, 2022",LAL vs. UTA,L,22,1,1,1.0,1,1,1.0,2,2,1.0,0,2,2,3,1,2,1,1,5,-4,1
