SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629216,0022201219,"APR 09, 2023",MIA vs. ORL,W,7,1,2,0.5,0,1,0.0,0,1,0.0,0,1,1,0,0,0,0,0,2,-1,1
22022,1629216,0022201204,"APR 07, 2023",MIA @ WAS,L,22,3,10,0.3,0,5,0.0,0,0,0.0,0,2,2,8,1,0,0,1,6,-24,1
22022,1629216,0022201198,"APR 06, 2023",MIA @ PHI,W,21,2,7,0.286,1,3,0.333,0,0,0.0,0,2,2,3,1,0,1,2,5,2,1
22022,1629216,0022201177,"APR 04, 2023",MIA @ DET,W,36,8,14,0.571,6,11,0.545,0,0,0.0,0,3,3,2,1,0,0,2,22,19,1
22022,1629216,0022201161,"APR 01, 2023",MIA vs. DAL,W,26,3,8,0.375,2,5,0.4,1,1,1.0,2,2,4,2,0,0,1,1,9,6,1
22022,1629216,0022201138,"MAR 29, 2023",MIA @ NYK,L,31,8,11,0.727,4,5,0.8,1,2,0.5,0,3,3,3,2,0,1,0,21,-12,1
22022,1629216,0022201132,"MAR 28, 2023",MIA @ TOR,L,18,1,5,0.2,0,2,0.0,0,0,0.0,1,1,2,1,1,1,0,1,2,-9,1
22022,1629216,0022201108,"MAR 25, 2023",MIA vs. BKN,L,22,1,6,0.167,1,4,0.25,2,2,1.0,0,3,3,0,1,0,3,2,5,-27,1
22022,1629216,0022201084,"MAR 22, 2023",MIA vs. NYK,W,25,8,12,0.667,3,5,0.6,0,0,0.0,0,0,0,3,0,0,0,3,19,-1,1
22022,1629216,0022201066,"MAR 19, 2023",MIA @ DET,W,23,2,8,0.25,2,8,0.25,0,0,0.0,0,0,0,1,1,0,1,1,6,-16,1
22022,1629216,0022201060,"MAR 18, 2023",MIA @ CHI,L,26,1,5,0.2,0,2,0.0,1,1,1.0,0,1,1,4,0,0,0,0,3,-1,1
22022,1629216,0022201036,"MAR 15, 2023",MIA vs. MEM,W,22,4,5,0.8,2,2,1.0,0,0,0.0,0,1,1,1,2,0,2,1,10,4,1
22022,1629216,0022201022,"MAR 13, 2023",MIA vs. UTA,W,27,6,9,0.667,4,6,0.667,2,2,1.0,2,1,3,3,3,0,1,2,18,15,1
22022,1629216,0022201007,"MAR 11, 2023",MIA @ ORL,L,37,5,10,0.5,1,4,0.25,2,2,1.0,1,1,2,1,1,0,2,4,13,-9,1
22022,1629216,0022201000,"MAR 10, 2023",MIA vs. CLE,W,22,2,7,0.286,0,3,0.0,2,2,1.0,1,0,1,3,1,0,2,3,6,-9,1
