SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629020,0022201228,"APR 09, 2023",LAL vs. UTA,W,19,5,7,0.714,0,1,0.0,2,2,1.0,2,2,4,1,0,0,1,2,12,6,1
22022,1629020,0022201212,"APR 07, 2023",LAL vs. PHX,W,17,0,2,0.0,0,0,0.0,0,0,0.0,0,4,4,0,0,0,0,1,0,-7,1
22022,1629020,0022201196,"APR 05, 2023",LAL @ LAC,L,25,3,5,0.6,0,1,0.0,2,4,0.5,3,3,6,1,1,0,2,2,8,12,1
22022,1629020,0022201186,"APR 04, 2023",LAL @ UTA,W,18,2,4,0.5,2,4,0.5,0,0,0.0,1,1,2,1,1,1,0,4,6,4,1
22022,1629020,0022201171,"APR 02, 2023",LAL @ HOU,W,15,1,2,0.5,0,0,0.0,0,0,0.0,0,4,4,1,1,0,0,0,2,4,1
22022,1629020,0022201157,"MAR 31, 2023",LAL @ MIN,W,28,5,8,0.625,2,2,1.0,0,0,0.0,2,3,5,2,2,0,1,0,12,-3,1
22022,1629020,0022201140,"MAR 29, 2023",LAL @ CHI,W,25,3,5,0.6,2,3,0.667,0,0,0.0,1,6,7,2,1,0,0,3,8,11,1
22022,1629020,0022201114,"MAR 26, 2023",LAL vs. CHI,L,21,2,5,0.4,0,1,0.0,0,0,0.0,2,2,4,0,0,0,1,0,4,-27,1
22022,1629020,0022201106,"MAR 24, 2023",LAL vs. OKC,W,28,0,6,0.0,0,1,0.0,1,2,0.5,4,6,10,0,0,1,0,3,1,-7,1
22022,1629020,0022201092,"MAR 22, 2023",LAL vs. PHX,W,26,5,5,1.0,0,0,0.0,3,3,1.0,2,2,4,0,1,0,1,5,13,8,1
22022,1629020,0022201070,"MAR 19, 2023",LAL vs. ORL,W,23,1,1,1.0,0,0,0.0,0,0,0.0,2,8,10,2,0,1,4,2,2,-12,1
22022,1629020,0022201054,"MAR 17, 2023",LAL vs. DAL,L,20,3,5,0.6,0,1,0.0,1,2,0.5,2,2,4,0,1,0,2,1,7,-14,1
22022,1629020,0022201038,"MAR 15, 2023",LAL @ HOU,L,35,6,13,0.462,0,2,0.0,1,2,0.5,3,7,10,5,2,0,0,4,13,-4,1
22022,1629020,0022201030,"MAR 14, 2023",LAL @ NOP,W,28,1,4,0.25,0,2,0.0,2,2,1.0,1,7,8,3,1,0,1,5,4,22,1
22022,1629020,0022201019,"MAR 12, 2023",LAL vs. NYK,L,24,1,3,0.333,0,1,0.0,0,0,0.0,1,4,5,2,3,0,1,2,2,-18,1
22022,1629020,0022201003,"MAR 10, 2023",LAL vs. TOR,W,30,5,7,0.714,2,4,0.5,4,4,1.0,1,3,4,1,2,0,3,2,16,-10,1
22022,1629020,0022200984,"MAR 07, 2023",LAL vs. MEM,W,24,2,5,0.4,0,1,0.0,1,2,0.5,0,8,8,2,1,0,0,4,5,-14,1
22022,1629020,0022200964,"MAR 05, 2023",LAL vs. GSW,W,24,5,11,0.455,0,2,0.0,0,0,0.0,2,11,13,4,1,0,1,1,10,25,1
22022,1629020,0022200955,"MAR 03, 2023",LAL vs. MIN,L,32,3,5,0.6,1,3,0.333,1,2,0.5,2,3,5,1,2,0,2,3,8,-4,1
22022,1629020,0022200940,"MAR 01, 2023",LAL @ OKC,W,23,2,5,0.4,0,1,0.0,3,4,0.75,0,4,4,1,1,1,1,1,7,-3,1
22022,1629020,0022200927,"FEB 28, 2023",LAL @ MEM,L,29,1,6,0.167,0,1,0.0,2,2,1.0,3,5,8,1,1,1,3,3,4,-7,1
22022,1629020,0022200913,"FEB 26, 2023",LAL @ DAL,W,27,6,8,0.75,1,1,1.0,2,2,1.0,8,9,17,1,4,0,1,3,15,15,1
22022,1629020,0022200893,"FEB 23, 2023",LAL vs. GSW,W,18,2,4,0.5,0,1,0.0,0,0,0.0,3,6,9,2,0,0,2,0,4,16,1
22022,1629020,0022200882,"FEB 15, 2023",LAL vs. NOP,W,28,3,3,1.0,0,0,0.0,0,0,0.0,1,3,4,2,1,1,1,1,6,10,1
22022,1629020,0022200867,"FEB 13, 2023",LAL @ POR,L,22,2,4,0.5,0,0,0.0,2,2,1.0,1,5,6,3,2,0,1,4,6,-29,1
22022,1629020,0022200853,"FEB 11, 2023",LAL @ GSW,W,17,5,7,0.714,0,0,0.0,2,2,1.0,2,6,8,4,1,0,0,1,12,-6,1
22022,1629020,0022200792,"FEB 03, 2023",UTA vs. ATL,L,18,0,2,0.0,0,1,0.0,0,0,0.0,2,9,11,2,1,1,0,2,0,-8,1
22022,1629020,0022200776,"FEB 01, 2023",UTA vs. TOR,W,18,3,4,0.75,0,1,0.0,0,2,0.0,0,4,4,1,0,0,0,3,6,-1,1
22022,1629020,0022200750,"JAN 28, 2023",UTA vs. DAL,W,22,3,3,1.0,0,0,0.0,1,4,0.25,1,5,6,3,0,0,0,2,7,-1,1
22022,1629020,0022200727,"JAN 25, 2023",UTA @ POR,L,27,5,9,0.556,2,4,0.5,0,2,0.0,1,4,5,1,2,2,0,1,12,1,1
22022,1629020,0022200710,"JAN 23, 2023",UTA vs. CHA,W,21,0,3,0.0,0,1,0.0,4,4,1.0,1,5,6,4,2,0,0,2,4,10,1
22022,1629020,0022200689,"JAN 20, 2023",UTA vs. BKN,L,18,3,9,0.333,1,2,0.5,2,4,0.5,4,5,9,2,1,0,1,2,9,5,1
22022,1629020,0022200675,"JAN 18, 2023",UTA vs. LAC,W,17,4,9,0.444,1,2,0.5,0,0,0.0,1,2,3,3,0,0,0,2,9,4,1
22022,1629020,0022200662,"JAN 16, 2023",UTA @ MIN,W,26,4,5,0.8,0,0,0.0,7,8,0.875,2,6,8,4,0,1,3,4,15,-2,1
22022,1629020,0022200646,"JAN 14, 2023",UTA vs. PHI,L,25,4,9,0.444,0,1,0.0,0,0,0.0,3,6,9,1,0,1,0,4,8,-5,1
22022,1629020,0022200638,"JAN 13, 2023",UTA vs. ORL,W,21,3,3,1.0,0,0,0.0,1,2,0.5,2,7,9,2,0,0,2,3,7,5,1
22022,1629020,0022200614,"JAN 10, 2023",UTA vs. CLE,W,17,2,3,0.667,0,0,0.0,1,2,0.5,3,2,5,1,0,0,0,1,5,-2,1
22022,1629020,0022200600,"JAN 08, 2023",UTA @ MEM,L,24,3,6,0.5,0,1,0.0,6,10,0.6,1,7,8,4,0,0,3,4,12,1,1
22022,1629020,0022200592,"JAN 07, 2023",UTA @ CHI,L,26,6,13,0.462,0,2,0.0,3,3,1.0,2,12,14,3,1,0,1,0,15,-2,1
22022,1629020,0022200578,"JAN 05, 2023",UTA @ HOU,W,31,1,1,1.0,0,0,0.0,3,4,0.75,1,8,9,5,2,0,3,3,5,11,1
22022,1629020,0022200563,"JAN 03, 2023",UTA vs. SAC,L,25,7,12,0.583,0,1,0.0,0,0,0.0,5,4,9,2,1,1,2,1,14,3,1
