SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629117,0022201228,"APR 09, 2023",LAL vs. UTA,W,16,2,3,0.667,0,0,0.0,0,0,0.0,0,4,4,1,0,0,1,1,4,4,1
22022,1629117,0022201212,"APR 07, 2023",LAL vs. PHX,W,8,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,1,1,1,0,0,-3,1
22022,1629117,0022201196,"APR 05, 2023",LAL @ LAC,L,16,3,6,0.5,0,2,0.0,0,0,0.0,1,3,4,2,1,0,1,3,6,-16,1
22022,1629117,0022201186,"APR 04, 2023",LAL @ UTA,W,10,1,1,1.0,0,0,0.0,0,0,0.0,1,4,5,0,0,1,0,2,2,-4,1
22022,1629117,0022201171,"APR 02, 2023",LAL @ HOU,W,14,1,3,0.333,0,1,0.0,0,0,0.0,2,1,3,0,0,1,1,1,2,14,1
22022,1629117,0022201157,"MAR 31, 2023",LAL @ MIN,W,15,2,2,1.0,0,0,0.0,0,0,0.0,1,1,2,1,1,0,0,2,4,9,1
22022,1629117,0022201140,"MAR 29, 2023",LAL @ CHI,W,10,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,0,0,-3,1
22022,1629117,0022201114,"MAR 26, 2023",LAL vs. CHI,L,9,0,1,0.0,0,0,0.0,2,4,0.5,1,1,2,1,0,1,0,2,2,-19,1
22022,1629117,0022201106,"MAR 24, 2023",LAL vs. OKC,W,18,2,4,0.5,1,2,0.5,2,2,1.0,2,6,8,0,0,0,0,2,7,6,1
22022,1629117,0022201092,"MAR 22, 2023",LAL vs. PHX,W,16,2,2,1.0,0,0,0.0,2,5,0.4,1,1,2,1,2,0,3,3,6,-3,1
22022,1629117,0022201070,"MAR 19, 2023",LAL vs. ORL,W,20,2,3,0.667,0,0,0.0,2,2,1.0,4,4,8,1,0,1,0,3,6,25,1
22022,1629117,0022201054,"MAR 17, 2023",LAL vs. DAL,L,23,3,8,0.375,0,0,0.0,3,6,0.5,8,3,11,2,2,1,1,2,9,5,1
22022,1629117,0022201038,"MAR 15, 2023",LAL @ HOU,L,33,2,5,0.4,0,0,0.0,2,2,1.0,7,7,14,1,2,0,0,5,6,12,1
