SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630214,0022201208,"APR 07, 2023",MEM @ MIL,W,18,4,7,0.571,0,0,0.0,0,0,0.0,2,5,7,2,2,1,0,1,8,13,1
22022,1630214,0022201184,"APR 04, 2023",MEM vs. POR,W,13,0,4,0.0,0,0,0.0,0,0,0.0,2,2,4,1,0,0,1,0,0,-5,1
22022,1630214,0022201165,"APR 02, 2023",MEM @ CHI,L,30,2,2,1.0,0,0,0.0,2,4,0.5,2,6,8,1,0,0,2,4,6,-20,1
22022,1630214,0022201156,"MAR 31, 2023",MEM vs. LAC,W,32,7,11,0.636,0,0,0.0,0,1,0.0,4,4,8,2,2,2,1,0,14,27,1
22022,1630214,0022201141,"MAR 29, 2023",MEM vs. LAC,L,31,7,8,0.875,0,0,0.0,2,3,0.667,5,4,9,5,1,1,1,5,16,-16,1
22022,1630214,0022201133,"MAR 28, 2023",MEM vs. ORL,W,35,10,12,0.833,0,0,0.0,0,0,0.0,2,7,9,1,1,0,0,1,20,8,1
22022,1630214,0022201115,"MAR 26, 2023",MEM @ ATL,W,31,7,10,0.7,0,0,0.0,1,2,0.5,1,7,8,3,3,2,0,0,15,5,1
22022,1630214,0022201100,"MAR 24, 2023",MEM vs. HOU,W,21,4,4,1.0,0,0,0.0,0,0,0.0,1,3,4,0,2,0,1,2,8,14,1
22022,1630214,0022201088,"MAR 22, 2023",MEM vs. HOU,W,19,2,3,0.667,0,0,0.0,0,0,0.0,0,2,2,1,0,0,2,3,4,-3,1
22022,1630214,0022201075,"MAR 20, 2023",MEM vs. DAL,W,26,1,4,0.25,0,0,0.0,1,2,0.5,2,1,3,2,1,1,2,2,3,-9,1
22022,1630214,0022201061,"MAR 18, 2023",MEM vs. GSW,W,32,6,10,0.6,0,0,0.0,2,2,1.0,3,7,10,5,2,0,1,2,14,25,1
22022,1630214,0022201052,"MAR 17, 2023",MEM @ SAS,W,21,5,8,0.625,0,0,0.0,2,2,1.0,3,3,6,3,0,0,1,2,12,-11,1
