SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1631223,0022201226,"APR 09, 2023",MEM @ OKC,L,43,6,19,0.316,2,8,0.25,0,0,0.0,0,4,4,5,0,0,2,1,14,-8,1
22022,1631223,0022201208,"APR 07, 2023",MEM @ MIL,W,16,2,4,0.5,0,1,0.0,0,0,0.0,1,0,1,2,0,1,1,1,4,2,1
22022,1631223,0022201194,"APR 05, 2023",MEM @ NOP,L,38,3,7,0.429,1,4,0.25,0,0,0.0,0,6,6,2,0,0,1,3,7,3,1
22022,1631223,0022201184,"APR 04, 2023",MEM vs. POR,W,27,6,9,0.667,4,6,0.667,0,0,0.0,1,1,2,1,0,1,1,2,16,-4,1
22022,1631223,0022201165,"APR 02, 2023",MEM @ CHI,L,12,1,3,0.333,1,2,0.5,0,0,0.0,1,2,3,2,0,1,1,2,3,-9,1
22022,1631223,0022201156,"MAR 31, 2023",MEM vs. LAC,W,20,2,5,0.4,0,1,0.0,0,0,0.0,3,4,7,2,0,0,1,2,4,18,1
22022,1631223,0022201141,"MAR 29, 2023",MEM vs. LAC,L,31,3,8,0.375,2,5,0.4,0,0,0.0,1,4,5,1,1,0,0,2,8,-11,1
22022,1631223,0022201133,"MAR 28, 2023",MEM vs. ORL,W,11,0,5,0.0,0,2,0.0,0,0,0.0,2,2,4,1,0,0,0,0,0,-6,1
22022,1631223,0022201115,"MAR 26, 2023",MEM @ ATL,W,12,2,6,0.333,1,3,0.333,1,2,0.5,0,1,1,1,0,0,0,2,6,-2,1
22022,1631223,0022201100,"MAR 24, 2023",MEM vs. HOU,W,24,2,5,0.4,0,3,0.0,0,0,0.0,0,2,2,2,0,0,1,2,4,22,1
22022,1631223,0022201088,"MAR 22, 2023",MEM vs. HOU,W,25,4,9,0.444,1,5,0.2,4,4,1.0,3,0,3,1,0,1,0,2,13,-3,1
