SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1628379,0022201208,"APR 07, 2023",MEM @ MIL,W,32,7,9,0.778,5,7,0.714,0,0,0.0,0,4,4,5,0,0,0,2,19,21,1
22022,1628379,0022201184,"APR 04, 2023",MEM vs. POR,W,34,6,11,0.545,6,10,0.6,2,2,1.0,1,4,5,2,2,0,1,0,20,24,1
22022,1628379,0022201165,"APR 02, 2023",MEM @ CHI,L,28,2,7,0.286,2,7,0.286,0,0,0.0,1,2,3,2,0,0,0,2,6,-5,1
22022,1628379,0022201156,"MAR 31, 2023",MEM vs. LAC,W,33,6,11,0.545,5,10,0.5,0,0,0.0,0,6,6,1,0,0,3,3,17,19,1
22022,1628379,0022201141,"MAR 29, 2023",MEM vs. LAC,L,33,5,9,0.556,1,3,0.333,1,1,1.0,1,3,4,2,0,1,0,1,12,-8,1
22022,1628379,0022201133,"MAR 28, 2023",MEM vs. ORL,W,28,6,8,0.75,4,5,0.8,0,0,0.0,0,5,5,5,1,0,1,1,16,3,1
22022,1628379,0022201115,"MAR 26, 2023",MEM @ ATL,W,23,5,10,0.5,4,9,0.444,0,0,0.0,2,5,7,2,1,0,1,1,14,3,1
22022,1628379,0022201100,"MAR 24, 2023",MEM vs. HOU,W,24,10,11,0.909,10,11,0.909,0,0,0.0,0,0,0,3,1,0,0,1,30,28,1
22022,1628379,0022201088,"MAR 22, 2023",MEM vs. HOU,W,25,3,6,0.5,3,5,0.6,4,4,1.0,2,2,4,1,0,0,1,0,13,6,1
22022,1628379,0022201075,"MAR 20, 2023",MEM vs. DAL,W,25,4,9,0.444,2,6,0.333,0,0,0.0,1,3,4,1,0,0,0,1,10,19,1
22022,1628379,0022201061,"MAR 18, 2023",MEM vs. GSW,W,23,5,10,0.5,4,8,0.5,0,0,0.0,0,4,4,5,0,0,1,3,14,4,1
22022,1628379,0022201052,"MAR 17, 2023",MEM @ SAS,W,32,4,7,0.571,4,7,0.571,1,2,0.5,0,2,2,3,4,0,3,2,13,21,1
22022,1628379,0022201036,"MAR 15, 2023",MEM @ MIA,L,20,4,6,0.667,4,5,0.8,2,2,1.0,0,2,2,1,1,0,0,2,14,-1,1
22022,1628379,0022201023,"MAR 13, 2023",MEM @ DAL,W,17,1,5,0.2,0,3,0.0,0,0,0.0,0,2,2,2,0,0,0,2,2,5,1
22022,1628379,0022201010,"MAR 11, 2023",MEM vs. DAL,W,21,3,7,0.429,2,6,0.333,0,0,0.0,0,3,3,1,2,0,0,2,8,-1,1
22022,1628379,0022200996,"MAR 09, 2023",MEM vs. GSW,W,17,2,3,0.667,2,3,0.667,0,0,0.0,0,1,1,2,0,0,0,0,6,-2,1
22022,1628379,0022200984,"MAR 07, 2023",MEM @ LAL,L,19,1,4,0.25,0,2,0.0,4,4,1.0,0,7,7,5,0,0,2,1,6,-1,1
22022,1628379,0022200970,"MAR 05, 2023",MEM @ LAC,L,29,5,7,0.714,5,5,1.0,0,0,0.0,0,3,3,4,0,0,1,1,15,-2,1
22022,1628379,0022200952,"MAR 03, 2023",MEM @ DEN,L,18,2,5,0.4,2,4,0.5,0,0,0.0,0,1,1,0,0,0,0,2,6,-17,1
22022,1628379,0022200938,"MAR 01, 2023",MEM @ HOU,W,20,0,4,0.0,0,4,0.0,0,0,0.0,0,2,2,1,1,0,2,0,0,-11,1
22022,1628379,0022200927,"FEB 28, 2023",MEM vs. LAL,W,23,2,7,0.286,2,6,0.333,0,0,0.0,0,1,1,1,0,0,0,2,6,9,1
22022,1628379,0022200907,"FEB 25, 2023",MEM vs. DEN,W,25,4,7,0.571,4,5,0.8,0,0,0.0,0,2,2,2,0,0,0,0,12,21,1
22022,1628379,0022200879,"FEB 15, 2023",MEM vs. UTA,W,21,2,4,0.5,2,4,0.5,3,3,1.0,1,0,1,2,0,0,0,3,9,2,1
22022,1628379,0022200855,"FEB 12, 2023",MEM @ BOS,L,22,1,4,0.25,1,2,0.5,1,1,1.0,0,2,2,1,0,0,0,3,4,-20,1
22022,1628379,0022200829,"FEB 08, 2023",LAC vs. DAL,L,6,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,2,1
22022,1628379,0022200810,"FEB 06, 2023",LAC @ BKN,W,15,1,6,0.167,1,4,0.25,0,0,0.0,0,0,0,0,1,0,0,0,3,12,1
22022,1628379,0022200766,"JAN 31, 2023",LAC @ CHI,W,17,0,6,0.0,0,5,0.0,0,0,0.0,0,4,4,1,0,0,0,2,0,-11,1
22022,1628379,0022200754,"JAN 29, 2023",LAC @ CLE,L,10,1,4,0.25,0,2,0.0,0,0,0.0,0,2,2,1,1,0,1,0,2,3,1
22022,1628379,0022200745,"JAN 28, 2023",LAC @ ATL,W,21,4,7,0.571,3,3,1.0,0,0,0.0,0,3,3,0,1,0,2,2,11,5,1
22022,1628379,0022200735,"JAN 26, 2023",LAC vs. SAS,W,17,2,3,0.667,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,1,5,16,1
22022,1628379,0022200587,"JAN 06, 2023",LAC @ MIN,L,21,4,8,0.5,1,2,0.5,2,2,1.0,1,3,4,1,0,1,2,2,11,-26,1
22022,1628379,0022200579,"JAN 05, 2023",LAC @ DEN,L,24,2,9,0.222,0,5,0.0,0,0,0.0,0,1,1,2,1,0,2,1,4,-21,1
22022,1628379,0022200560,"JAN 02, 2023",LAC vs. MIA,L,18,3,4,0.75,2,2,1.0,3,3,1.0,0,0,0,0,1,0,0,2,11,-11,1
22022,1628379,0022200538,"DEC 31, 2022",LAC @ IND,L,20,2,5,0.4,2,5,0.4,1,1,1.0,0,1,1,3,0,0,1,2,7,2,1
22022,1628379,0022200525,"DEC 29, 2022",LAC @ BOS,L,17,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,2,1
22022,1628379,0022200509,"DEC 27, 2022",LAC @ TOR,W,18,0,4,0.0,0,3,0.0,0,0,0.0,1,2,3,1,1,0,0,0,0,4,1
22022,1628379,0022200499,"DEC 26, 2022",LAC @ DET,W,32,6,12,0.5,4,8,0.5,2,2,1.0,0,5,5,1,1,0,0,2,18,9,1
22022,1628379,0022200480,"DEC 23, 2022",LAC @ PHI,L,21,2,6,0.333,2,4,0.5,2,2,1.0,0,2,2,3,1,1,0,3,8,17,1
22022,1628379,0022200476,"DEC 21, 2022",LAC vs. CHA,W,24,4,8,0.5,4,8,0.5,0,0,0.0,0,3,3,3,0,0,1,1,12,19,1
22022,1628379,0022200438,"DEC 17, 2022",LAC vs. WAS,W,29,7,12,0.583,4,6,0.667,2,3,0.667,0,4,4,2,0,0,2,0,20,7,1
22022,1628379,0022200423,"DEC 14, 2022",LAC vs. MIN,W,23,5,8,0.625,4,7,0.571,2,2,1.0,0,0,0,0,0,1,0,2,16,16,1
22022,1628379,0022200408,"DEC 12, 2022",LAC vs. BOS,W,26,5,9,0.556,2,5,0.4,0,0,0.0,0,0,0,1,2,0,1,4,12,2,1
22022,1628379,0022200389,"DEC 10, 2022",LAC @ WAS,W,24,3,7,0.429,3,6,0.5,1,1,1.0,0,3,3,5,1,1,2,1,10,18,1
22022,1628379,0022200374,"DEC 08, 2022",LAC @ MIA,L,24,3,7,0.429,1,5,0.2,0,0,0.0,0,3,3,2,0,0,1,0,7,-5,1
22022,1628379,0022200352,"DEC 05, 2022",LAC @ CHA,W,20,3,5,0.6,2,3,0.667,1,1,1.0,0,2,2,2,0,0,0,0,9,10,1
22022,1628379,0022200207,"NOV 15, 2022",LAC @ DAL,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,1,0,1,1
22022,1628379,0022200203,"NOV 14, 2022",LAC @ HOU,W,28,3,6,0.5,2,4,0.5,0,0,0.0,0,1,1,1,1,0,2,1,8,7,1
22022,1628379,0022200184,"NOV 12, 2022",LAC vs. BKN,L,24,3,5,0.6,2,4,0.5,1,1,1.0,0,3,3,0,0,0,2,2,9,-16,1
22022,1628379,0022200170,"NOV 09, 2022",LAC vs. LAL,W,25,5,9,0.556,3,6,0.5,0,0,0.0,0,3,3,2,1,0,0,1,13,9,1
22022,1628379,0022200158,"NOV 07, 2022",LAC vs. CLE,W,13,2,4,0.5,2,4,0.5,0,0,0.0,0,0,0,0,2,0,0,1,6,-3,1
22022,1628379,0022200126,"NOV 04, 2022",LAC @ SAS,W,9,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,12,1
22022,1628379,0022200112,"NOV 02, 2022",LAC @ HOU,W,24,2,3,0.667,2,3,0.667,0,0,0.0,1,5,6,0,1,0,1,1,6,16,1
22022,1628379,0022200102,"OCT 31, 2022",LAC vs. HOU,W,34,3,8,0.375,2,6,0.333,0,0,0.0,1,9,10,2,0,0,2,3,8,3,1
22022,1628379,0022200088,"OCT 30, 2022",LAC vs. NOP,L,23,3,5,0.6,1,3,0.333,0,0,0.0,1,5,6,0,0,0,0,1,7,-15,1
22022,1628379,0022200067,"OCT 27, 2022",LAC @ OKC,L,17,4,5,0.8,2,3,0.667,0,0,0.0,1,0,1,0,1,0,4,1,10,-2,1
22022,1628379,0022200054,"OCT 25, 2022",LAC @ OKC,L,29,6,13,0.462,3,7,0.429,0,0,0.0,0,4,4,2,1,0,1,1,15,2,1
22022,1628379,0022200043,"OCT 23, 2022",LAC vs. PHX,L,18,1,4,0.25,0,1,0.0,0,0,0.0,0,3,3,0,0,0,3,3,2,-4,1
22022,1628379,0022200036,"OCT 22, 2022",LAC @ SAC,W,28,4,11,0.364,1,4,0.25,2,2,1.0,0,1,1,0,0,0,0,0,11,15,1
22022,1628379,0022200016,"OCT 20, 2022",LAC @ LAL,W,24,4,6,0.667,3,3,1.0,0,0,0.0,0,1,1,1,0,0,0,3,11,-1,1
22021,1628379,0022101222,"APR 10, 2022",LAC vs. OKC,W,28,7,17,0.412,4,10,0.4,2,2,1.0,1,2,3,4,0,0,1,1,20,20,1
22021,1628379,0022101212,"APR 09, 2022",LAC vs. SAC,W,20,4,8,0.5,2,4,0.5,0,0,0.0,1,1,2,1,3,0,3,1,10,10,1
22021,1628379,0022101177,"APR 03, 2022",LAC vs. NOP,W,24,5,8,0.625,4,7,0.571,0,1,0.0,1,0,1,1,0,0,0,0,14,19,1
22021,1628379,0022101156,"APR 01, 2022",LAC @ MIL,W,32,8,15,0.533,3,8,0.375,4,4,1.0,0,4,4,6,1,0,0,1,23,20,1
22021,1628379,0022101149,"MAR 31, 2022",LAC @ CHI,L,23,3,8,0.375,2,5,0.4,3,3,1.0,1,4,5,0,0,0,0,0,11,2,1
22021,1628379,0022101135,"MAR 29, 2022",LAC vs. UTA,W,35,6,9,0.667,4,7,0.571,1,1,1.0,0,3,3,0,1,0,0,2,17,22,1
