SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630583,0022201194,"APR 05, 2023",MEM @ NOP,L,7,1,4,0.25,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,1,2,-4,1
22022,1630583,0022201184,"APR 04, 2023",MEM vs. POR,W,23,3,7,0.429,1,4,0.25,1,2,0.5,2,9,11,4,1,0,2,1,8,8,1
22022,1630583,0022201165,"APR 02, 2023",MEM @ CHI,L,18,1,3,0.333,1,2,0.5,0,0,0.0,0,3,3,1,0,0,0,2,3,-12,1
22022,1630583,0022201156,"MAR 31, 2023",MEM vs. LAC,W,16,4,9,0.444,0,1,0.0,5,5,1.0,2,6,8,0,0,1,2,2,13,-4,1
22022,1630583,0022201141,"MAR 29, 2023",MEM vs. LAC,L,33,6,7,0.857,2,2,1.0,3,4,0.75,3,5,8,1,1,1,2,2,17,-1,1
22022,1630583,0022201133,"MAR 28, 2023",MEM vs. ORL,W,24,3,5,0.6,1,1,1.0,2,2,1.0,1,4,5,1,2,1,2,2,9,4,1
22022,1630583,0022201115,"MAR 26, 2023",MEM @ ATL,W,19,0,3,0.0,0,3,0.0,0,0,0.0,0,4,4,1,0,0,0,2,0,8,1
22022,1630583,0022201100,"MAR 24, 2023",MEM vs. HOU,W,26,2,2,1.0,2,2,1.0,2,2,1.0,1,5,6,2,1,0,2,1,8,28,1
22022,1630583,0022201088,"MAR 22, 2023",MEM vs. HOU,W,21,2,5,0.4,1,3,0.333,0,0,0.0,0,1,1,1,1,0,0,1,5,9,1
22022,1630583,0022201075,"MAR 20, 2023",MEM vs. DAL,W,28,6,12,0.5,2,6,0.333,8,9,0.889,5,9,14,2,0,0,0,1,22,3,1
22022,1630583,0022201061,"MAR 18, 2023",MEM vs. GSW,W,18,2,3,0.667,0,0,0.0,0,0,0.0,2,1,3,1,0,1,0,2,4,-10,1
22022,1630583,0022201052,"MAR 17, 2023",MEM @ SAS,W,17,1,8,0.125,1,4,0.25,0,0,0.0,3,2,5,0,0,1,1,2,3,-5,1
22022,1630583,0022201036,"MAR 15, 2023",MEM @ MIA,L,21,2,8,0.25,0,5,0.0,1,2,0.5,3,1,4,4,0,0,0,0,5,-8,1
22022,1630583,0022201023,"MAR 13, 2023",MEM @ DAL,W,22,3,5,0.6,0,1,0.0,4,4,1.0,0,9,9,3,0,0,3,2,10,11,1
22022,1630583,0022201010,"MAR 11, 2023",MEM vs. DAL,W,23,5,10,0.5,0,4,0.0,0,0,0.0,2,3,5,1,0,1,1,2,10,6,1
22022,1630583,0022200996,"MAR 09, 2023",MEM vs. GSW,W,30,5,9,0.556,3,5,0.6,2,2,1.0,2,5,7,1,0,0,1,0,15,16,1
22022,1630583,0022200984,"MAR 07, 2023",MEM @ LAL,L,26,4,8,0.5,2,4,0.5,1,2,0.5,0,5,5,1,0,1,1,5,11,4,1
22022,1630583,0022200970,"MAR 05, 2023",MEM @ LAC,L,20,4,8,0.5,1,3,0.333,0,1,0.0,0,0,0,0,0,0,0,3,9,-13,1
22022,1630583,0022200952,"MAR 03, 2023",MEM @ DEN,L,23,0,4,0.0,0,3,0.0,1,2,0.5,0,4,4,2,0,1,2,3,1,-14,1
22022,1630583,0022200938,"MAR 01, 2023",MEM @ HOU,W,21,4,6,0.667,1,1,1.0,0,0,0.0,0,5,5,1,0,1,0,1,9,-11,1
22022,1630583,0022200927,"FEB 28, 2023",MEM vs. LAL,W,15,3,7,0.429,0,2,0.0,0,0,0.0,1,2,3,1,0,0,0,0,6,14,1
22022,1630583,0022200907,"FEB 25, 2023",MEM vs. DEN,W,23,2,6,0.333,1,5,0.2,0,0,0.0,2,4,6,1,2,0,1,2,5,14,1
22022,1630583,0022200889,"FEB 23, 2023",MEM @ PHI,L,15,2,5,0.4,0,3,0.0,2,4,0.5,0,0,0,1,0,1,0,5,6,6,1
