SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1628997,0022201219,"APR 09, 2023",MIA vs. ORL,W,10,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,1,2,0,1,0,2,2,1
22022,1628997,0022201204,"APR 07, 2023",MIA @ WAS,L,20,2,8,0.25,0,2,0.0,0,0,0.0,0,4,4,2,1,0,1,0,4,0,1
22022,1628997,0022201198,"APR 06, 2023",MIA @ PHI,W,35,5,10,0.5,1,4,0.25,2,2,1.0,2,5,7,5,0,0,1,2,13,22,1
22022,1628997,0022201177,"APR 04, 2023",MIA @ DET,W,30,2,5,0.4,0,1,0.0,2,2,1.0,2,2,4,3,3,0,0,2,6,16,1
22022,1628997,0022201161,"APR 01, 2023",MIA vs. DAL,W,33,4,4,1.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,1,4,8,1,1
22022,1628997,0022201138,"MAR 29, 2023",MIA @ NYK,L,25,2,5,0.4,1,4,0.25,1,2,0.5,1,4,5,0,0,0,0,4,6,-8,1
22022,1628997,0022201132,"MAR 28, 2023",MIA @ TOR,L,30,3,8,0.375,0,3,0.0,1,1,1.0,3,2,5,0,1,1,4,1,7,-5,1
22022,1628997,0022201108,"MAR 25, 2023",MIA vs. BKN,L,26,1,7,0.143,0,2,0.0,2,2,1.0,1,8,9,3,1,1,2,2,4,-6,1
22022,1628997,0022201084,"MAR 22, 2023",MIA vs. NYK,W,23,2,3,0.667,0,0,0.0,1,2,0.5,0,5,5,1,0,0,0,3,5,-3,1
22022,1628997,0022201066,"MAR 19, 2023",MIA @ DET,W,31,5,10,0.5,3,7,0.429,0,0,0.0,1,4,5,4,2,1,0,4,13,25,1
22022,1628997,0022201060,"MAR 18, 2023",MIA @ CHI,L,30,1,5,0.2,0,2,0.0,2,2,1.0,2,2,4,3,0,0,0,2,4,-26,1
22022,1628997,0022201036,"MAR 15, 2023",MIA vs. MEM,W,30,4,5,0.8,2,3,0.667,1,1,1.0,1,2,3,1,2,0,1,1,11,16,1
22022,1628997,0022201022,"MAR 13, 2023",MIA vs. UTA,W,27,4,7,0.571,0,1,0.0,2,2,1.0,0,2,2,1,2,1,2,2,10,-6,1
22022,1628997,0022201000,"MAR 10, 2023",MIA vs. CLE,W,27,2,4,0.5,1,3,0.333,2,2,1.0,0,6,6,2,0,0,0,1,7,17,1
22022,1628997,0022200987,"MAR 08, 2023",MIA vs. CLE,L,30,2,3,0.667,0,1,0.0,0,0,0.0,1,3,4,1,0,1,2,1,4,-3,1
22022,1628997,0022200974,"MAR 06, 2023",MIA vs. ATL,W,28,6,9,0.667,2,2,1.0,7,8,0.875,2,2,4,2,1,1,1,2,21,8,1
22022,1628997,0022200958,"MAR 04, 2023",MIA vs. ATL,W,30,6,10,0.6,3,5,0.6,0,0,0.0,1,2,3,1,1,1,3,2,15,6,1
22022,1628997,0022200949,"MAR 03, 2023",MIA vs. NYK,L,25,5,6,0.833,1,2,0.5,3,3,1.0,1,3,4,1,0,0,0,0,14,-13,1
