SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1642504,0022501191,"Apr 12, 2026",MIL @ PHI,L,38,8,20,0.4,3,12,0.25,3,3,1.0,3,7,10,4,1,0,2,1,22,-18,1
22025,1642504,0022501179,"Apr 10, 2026",MIL vs. BKN,W,34,10,17,0.588,5,9,0.556,3,3,1.0,1,4,5,3,1,0,3,4,28,21,1
22025,1642504,0022501160,"Apr 08, 2026",MIL @ DET,L,25,6,9,0.667,3,6,0.5,1,1,1.0,0,0,0,0,0,1,2,2,16,-11,1
22025,1642504,0022501150,"Apr 07, 2026",MIL @ BKN,L,34,5,12,0.417,3,6,0.5,1,2,0.5,0,5,5,2,0,0,2,6,14,-5,1
22025,1642504,0022501135,"Apr 05, 2026",MIL vs. MEM,W,29,7,8,0.875,3,4,0.75,4,4,1.0,1,3,4,3,5,0,2,1,21,19,1
22025,1642504,0022501126,"Apr 03, 2026",MIL vs. BOS,L,33,2,7,0.286,2,4,0.5,5,5,1.0,0,1,1,2,0,1,2,2,11,-19,1
22025,1642504,0022501110,"Apr 01, 2026",MIL @ HOU,L,38,9,14,0.643,4,7,0.571,3,3,1.0,2,0,2,4,1,0,2,4,25,0,1
22025,1642504,0022501082,"Mar 29, 2026",MIL vs. LAC,L,20,4,6,0.667,3,5,0.6,2,2,1.0,0,0,0,0,1,0,1,3,13,4,1
22025,1642504,0022501076,"Mar 28, 2026",MIL vs. SAS,L,7,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,1,0,1,2,0,1,1
22025,1642504,0022501061,"Mar 25, 2026",MIL @ POR,L,4,1,3,0.333,0,2,0.0,0,0,0.0,0,0,0,0,0,1,0,0,2,-8,1
22025,1642504,0022501014,"Mar 19, 2026",MIL @ UTA,L,8,1,4,0.25,1,3,0.333,2,3,0.667,0,0,0,1,1,0,0,2,5,-2,1
