SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1628960,0022201174,"APR 02, 2023",MIL vs. PHI,W,20,1,3,0.333,0,2,0.0,0,0,0.0,0,5,5,1,0,0,0,1,2,12,1
22022,1628960,0022201146,"MAR 30, 2023",MIL vs. BOS,L,22,1,4,0.25,1,3,0.333,0,0,0.0,1,0,1,0,1,0,0,0,3,-25,1
22022,1628960,0022201136,"MAR 29, 2023",MIL @ IND,W,26,1,3,0.333,0,1,0.0,1,1,1.0,0,2,2,3,2,0,0,0,3,8,1
22022,1628960,0022201122,"MAR 27, 2023",MIL @ DET,W,30,2,9,0.222,2,7,0.286,1,2,0.5,0,2,2,7,1,0,3,3,7,16,1
22022,1628960,0022201109,"MAR 25, 2023",MIL @ DEN,L,25,3,7,0.429,3,6,0.5,4,4,1.0,0,4,4,1,0,1,0,2,13,-8,1
22022,1628960,0022201102,"MAR 24, 2023",MIL @ UTA,W,22,8,14,0.571,5,9,0.556,4,4,1.0,2,2,4,1,2,0,1,1,25,18,1
22022,1628960,0022201089,"MAR 22, 2023",MIL vs. SAS,W,19,3,5,0.6,2,4,0.5,0,0,0.0,1,2,3,0,4,1,0,1,8,7,1
22022,1628960,0022201068,"MAR 19, 2023",MIL vs. TOR,W,26,1,7,0.143,0,6,0.0,0,0,0.0,0,2,2,0,0,1,0,1,2,14,1
22022,1628960,0022201026,"MAR 13, 2023",MIL @ SAC,W,28,3,6,0.5,2,4,0.5,0,0,0.0,0,3,3,1,0,0,3,2,8,-3,1
22022,1628960,0022201012,"MAR 11, 2023",MIL @ GSW,L,31,5,13,0.385,2,9,0.222,0,0,0.0,0,3,3,2,0,1,1,0,12,-7,1
22022,1628960,0022200995,"MAR 09, 2023",MIL vs. BKN,W,32,5,13,0.385,3,9,0.333,6,6,1.0,2,5,7,2,2,0,1,2,19,-3,1
22022,1628960,0022200978,"MAR 07, 2023",MIL @ ORL,W,30,3,8,0.375,0,3,0.0,2,2,1.0,0,0,0,1,0,0,0,4,8,3,1
22022,1628960,0022200973,"MAR 05, 2023",MIL @ WAS,W,31,4,7,0.571,3,6,0.5,0,0,0.0,1,2,3,1,1,0,0,0,11,9,1
22022,1628960,0022200960,"MAR 04, 2023",MIL vs. PHI,L,30,7,10,0.7,6,8,0.75,0,0,0.0,1,2,3,3,0,0,0,3,20,-5,1
22022,1628960,0022200939,"MAR 01, 2023",MIL vs. ORL,W,28,4,8,0.5,4,8,0.5,0,0,0.0,4,1,5,4,2,0,0,4,12,18,1
22022,1628960,0022200924,"FEB 28, 2023",MIL @ BKN,W,27,3,6,0.5,1,4,0.25,0,1,0.0,1,1,2,2,2,0,1,2,7,3,1
22022,1628960,0022200910,"FEB 26, 2023",MIL vs. PHX,W,27,3,10,0.3,2,7,0.286,0,0,0.0,2,1,3,1,1,0,2,3,8,-10,1
22022,1628960,0022200897,"FEB 24, 2023",MIL vs. MIA,W,28,5,12,0.417,4,8,0.5,2,2,1.0,0,1,1,3,0,0,1,2,16,22,1
22022,1628960,0022200883,"FEB 16, 2023",MIL @ CHI,W,28,4,10,0.4,2,6,0.333,0,0,0.0,0,3,3,1,0,0,3,1,10,21,1
22022,1628960,0022200869,"FEB 14, 2023",MIL vs. BOS,W,36,3,5,0.6,2,3,0.667,5,5,1.0,1,3,4,2,1,0,0,3,13,-10,1
22022,1628960,0022200845,"FEB 10, 2023",MIL @ LAC,W,28,2,6,0.333,2,5,0.4,1,1,1.0,0,0,0,1,0,0,1,0,7,15,1
22022,1628960,0022200834,"FEB 09, 2023",MIL @ LAL,W,28,4,11,0.364,4,11,0.364,0,0,0.0,1,3,4,0,0,0,1,1,12,6,1
22022,1628960,0022200815,"FEB 06, 2023",MIL @ POR,W,25,1,3,0.333,1,3,0.333,0,0,0.0,0,3,3,1,0,0,1,3,3,14,1
22022,1628960,0022200797,"FEB 04, 2023",MIL vs. MIA,W,33,7,11,0.636,4,7,0.571,1,1,1.0,2,1,3,3,2,0,0,2,19,21,1
22022,1628960,0022200784,"FEB 02, 2023",MIL vs. LAC,W,24,1,3,0.333,1,3,0.333,1,2,0.5,0,2,2,0,0,0,0,4,4,-4,1
