SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,203085,0022201073,"MAR 20, 2023",MIN @ NYK,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1
22022,203085,0022201050,"MAR 17, 2023",MIN @ CHI,L,7,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,3,1
22022,203085,0022200980,"MAR 07, 2023",MIN vs. PHI,L,4,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-13,1
22022,203085,0022200932,"FEB 28, 2023",MIN @ LAC,W,6,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,1,0,0,0,4,1
22022,203085,0022200916,"FEB 26, 2023",MIN @ GSW,L,21,2,8,0.25,2,5,0.4,0,4,0.0,1,0,1,0,0,0,0,2,6,-14,1
22022,203085,0022200898,"FEB 24, 2023",MIN vs. CHA,L,19,1,3,0.333,0,2,0.0,0,0,0.0,0,1,1,2,0,0,1,1,2,-1,1
22022,203085,0022200884,"FEB 16, 2023",MIN vs. WAS,L,7,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,1,3,1,1
22022,203085,0022200865,"FEB 13, 2023",MIN @ DAL,W,21,1,4,0.25,0,3,0.0,0,0,0.0,0,1,1,0,1,0,0,2,2,2,1
22022,203085,0022200841,"FEB 10, 2023",MIN @ MEM,L,20,2,4,0.5,1,3,0.333,2,2,1.0,0,1,1,2,1,0,0,2,7,-7,1
22022,203085,0022200790,"FEB 03, 2023",MIN vs. ORL,L,10,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-3,1
22022,203085,0022200774,"FEB 01, 2023",MIN vs. GSW,W,28,3,6,0.5,2,3,0.667,2,2,1.0,1,3,4,5,1,1,0,2,10,15,1
22022,203085,0022200758,"JAN 30, 2023",MIN vs. SAC,L,20,2,3,0.667,2,2,1.0,0,0,0.0,0,3,3,2,1,0,1,0,6,-10,1
22022,203085,0022200746,"JAN 28, 2023",MIN vs. SAC,W,23,1,3,0.333,0,2,0.0,0,0,0.0,0,0,0,1,1,0,1,2,2,-11,1
22022,203085,0022200737,"JAN 27, 2023",MIN vs. MEM,W,21,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,3,2,0,0,1,2,9,1
22022,203085,0022200724,"JAN 25, 2023",MIN @ NOP,W,24,1,6,0.167,0,4,0.0,0,0,0.0,0,3,3,0,0,0,0,0,2,-2,1
22022,203085,0022200709,"JAN 23, 2023",MIN @ HOU,L,27,4,8,0.5,1,4,0.25,1,2,0.5,1,5,6,3,0,0,0,2,10,5,1
22022,203085,0022200696,"JAN 21, 2023",MIN vs. HOU,W,23,2,4,0.5,0,2,0.0,0,0,0.0,0,2,2,0,1,0,0,3,4,0,1
22022,203085,0022200662,"JAN 16, 2023",MIN vs. UTA,L,27,4,7,0.571,2,4,0.5,0,0,0.0,0,3,3,1,0,0,0,3,10,-4,1
22022,203085,0022200645,"JAN 14, 2023",MIN vs. CLE,W,25,3,6,0.5,1,3,0.333,0,0,0.0,0,0,0,3,0,0,0,0,7,3,1
22022,203085,0022200637,"JAN 13, 2023",MIN vs. PHX,W,21,4,6,0.667,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,3,9,-13,1
22022,203085,0022200618,"JAN 11, 2023",MIN @ DET,L,29,3,6,0.5,2,4,0.5,0,0,0.0,0,3,3,3,3,1,2,1,8,-4,1
22022,203085,0022200601,"JAN 08, 2023",MIN @ HOU,W,19,1,3,0.333,0,2,0.0,0,0,0.0,0,3,3,0,0,0,1,1,2,-5,1
22022,203085,0022200587,"JAN 06, 2023",MIN vs. LAC,W,21,2,5,0.4,0,3,0.0,0,0,0.0,0,0,0,2,1,0,0,4,4,-5,1
22022,203085,0022200571,"JAN 04, 2023",MIN vs. POR,W,27,2,3,0.667,2,3,0.667,1,2,0.5,0,2,2,5,2,0,1,2,7,17,1
22022,203085,0022200557,"JAN 02, 2023",MIN vs. DEN,W,32,2,5,0.4,2,5,0.4,2,2,1.0,0,1,1,5,1,0,0,1,8,6,1
22022,203085,0022200544,"DEC 31, 2022",MIN vs. DET,L,19,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,1,0,0,1,2,3,-18,1
22022,203085,0022200533,"DEC 30, 2022",MIN @ MIL,L,20,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,2,0,-5,1
22022,203085,0022200520,"DEC 28, 2022",MIN @ NOP,L,33,2,6,0.333,1,4,0.25,0,1,0.0,0,2,2,2,0,0,0,6,5,-10,1
22022,203085,0022200500,"DEC 26, 2022",MIN @ MIA,L,32,4,8,0.5,1,3,0.333,1,1,1.0,0,5,5,4,1,0,1,1,10,8,1
22022,203085,0022200482,"DEC 23, 2022",MIN @ BOS,L,25,1,3,0.333,0,0,0.0,0,0,0.0,0,2,2,0,0,0,2,2,2,-23,1
22022,203085,0022200473,"DEC 21, 2022",MIN vs. DAL,L,36,8,13,0.615,3,5,0.6,2,2,1.0,2,2,4,2,2,0,0,4,21,-4,1
22022,203085,0022200456,"DEC 19, 2022",MIN vs. DAL,W,37,6,7,0.857,3,4,0.75,1,2,0.5,0,5,5,2,1,0,1,1,16,15,1
22022,203085,0022200449,"DEC 18, 2022",MIN vs. CHI,W,26,5,7,0.714,4,6,0.667,0,0,0.0,0,4,4,1,0,0,0,1,14,-1,1
