SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630183,0022201225,"APR 09, 2023",MIN vs. NOP,W,9,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,1,2,0,-2,1
22022,1630183,0022201214,"APR 08, 2023",MIN @ SAS,W,26,6,8,0.75,4,5,0.8,0,0,0.0,1,3,4,2,1,0,0,3,16,31,1
22022,1630183,0022201180,"APR 04, 2023",MIN @ BKN,W,41,7,13,0.538,1,3,0.333,0,1,0.0,0,6,6,0,3,1,1,0,15,-11,1
22022,1630183,0022201166,"APR 02, 2023",MIN vs. POR,L,36,4,7,0.571,2,4,0.5,0,0,0.0,0,3,3,1,2,4,4,1,10,-3,1
22022,1630183,0022201157,"MAR 31, 2023",MIN vs. LAL,L,37,6,14,0.429,3,6,0.5,0,0,0.0,1,4,5,2,1,1,5,4,15,-1,1
22022,1630183,0022201144,"MAR 29, 2023",MIN @ PHX,L,25,3,8,0.375,0,2,0.0,0,0,0.0,0,3,3,0,0,0,0,5,6,-10,1
22022,1630183,0022201128,"MAR 27, 2023",MIN @ SAC,W,39,8,15,0.533,1,4,0.25,3,4,0.75,1,2,3,2,2,0,0,5,20,6,1
22022,1630183,0022201121,"MAR 26, 2023",MIN @ GSW,W,10,0,2,0.0,0,1,0.0,1,4,0.25,0,1,1,0,0,0,1,5,1,-7,1
22022,1630183,0022201090,"MAR 22, 2023",MIN vs. ATL,W,36,9,17,0.529,1,3,0.333,6,7,0.857,3,3,6,4,0,2,0,4,25,-8,1
22022,1630183,0022201073,"MAR 20, 2023",MIN @ NYK,W,26,6,12,0.5,2,3,0.667,4,4,1.0,2,2,4,0,0,0,4,4,18,18,1
22022,1630183,0022201058,"MAR 18, 2023",MIN @ TOR,L,31,6,14,0.429,4,6,0.667,2,2,1.0,0,6,6,1,0,1,0,4,18,-16,1
22022,1630183,0022201050,"MAR 17, 2023",MIN @ CHI,L,45,7,15,0.467,4,9,0.444,7,8,0.875,2,4,6,4,1,0,1,3,25,-15,1
22022,1630183,0022201039,"MAR 15, 2023",MIN vs. BOS,L,33,5,12,0.417,2,7,0.286,2,2,1.0,1,4,5,1,1,0,1,4,14,-3,1
