SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,201144,0022501178,"Apr 10, 2026",MIN @ HOU,W,24,3,3,1.0,3,3,1.0,0,0,0.0,0,1,1,4,1,0,0,2,9,17,1
22025,201144,0022501152,"Apr 07, 2026",MIN @ IND,W,21,3,6,0.5,2,4,0.5,0,0,0.0,2,0,2,3,3,0,3,3,8,15,1
22025,201144,0022501137,"Apr 05, 2026",MIN vs. CHA,L,22,3,6,0.5,3,5,0.6,2,2,1.0,0,2,2,0,1,1,2,3,11,-4,1
22025,201144,0022501115,"Apr 02, 2026",MIN @ DET,L,22,4,8,0.5,4,7,0.571,2,2,1.0,0,2,2,2,2,0,1,4,14,-12,1
22025,201144,0022501095,"Mar 30, 2026",MIN @ DAL,W,14,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,2,0,0,0,2,0,-4,1
22025,201144,0022501080,"Mar 28, 2026",MIN vs. DET,L,22,1,5,0.2,1,5,0.2,0,0,0.0,0,1,1,6,1,0,0,3,3,-8,1
22025,201144,0022501058,"Mar 25, 2026",MIN vs. HOU,W,29,2,6,0.333,1,5,0.2,0,0,0.0,1,4,5,6,1,1,1,2,5,2,1
22025,201144,0022501004,"Mar 18, 2026",MIN vs. UTA,W,7,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,4,0,0,0,0,0,2,1
22025,201144,0022500857,"Feb 26, 2026",MIN @ LAC,W,3,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-4,1
22025,201144,0022500824,"Feb 22, 2026",MIN vs. PHI,L,15,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,4,0,1,0,0,0,-7,1
22025,201144,0022500714,"Feb 02, 2026",MIN @ MEM,L,14,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,2,0,0,0,1,0,-13,1
22025,201144,0022500700,"Jan 31, 2026",MIN @ MEM,W,18,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,2,2,2,1,0,0,18,1
22025,201144,0022500677,"Jan 28, 2026",MIN @ DAL,W,23,2,6,0.333,2,5,0.4,0,0,0.0,1,0,1,5,1,1,1,2,6,6,1
22025,201144,0022500663,"Jan 26, 2026",MIN vs. GSW,W,21,0,4,0.0,0,4,0.0,2,2,1.0,0,2,2,2,0,1,0,1,2,11,1
22025,201144,0022500644,"Jan 25, 2026",MIN vs. GSW,L,16,0,0,0.0,0,0,0.0,2,2,1.0,1,2,3,1,1,0,1,1,2,-14,1
22025,201144,0022500631,"Jan 22, 2026",MIN vs. CHI,L,14,1,5,0.2,1,4,0.25,0,0,0.0,0,3,3,2,0,0,1,0,3,-8,1
22025,201144,0022500616,"Jan 20, 2026",MIN @ UTA,L,16,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,2,1,0,0,2,0,-5,1
22025,201144,0022500598,"Jan 17, 2026",MIN @ SAS,L,21,0,4,0.0,0,2,0.0,0,0,0.0,0,2,2,3,0,0,1,3,0,-1,1
22025,201144,0022500591,"Jan 16, 2026",MIN @ HOU,L,26,2,8,0.25,1,5,0.2,1,2,0.5,1,0,1,1,1,0,1,0,6,8,1
22025,201144,0022500566,"Jan 13, 2026",MIN @ MIL,W,21,3,7,0.429,3,7,0.429,0,0,0.0,0,3,3,5,0,0,1,0,9,0,1
22025,201144,0022500552,"Jan 11, 2026",MIN vs. SAS,W,12,1,1,1.0,1,1,1.0,1,2,0.5,0,0,0,2,0,0,0,1,4,-6,1
22025,201144,0022500530,"Jan 08, 2026",MIN vs. CLE,W,14,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,2,0,0,1,1,3,-6,1
22025,201144,0022500513,"Jan 06, 2026",MIN vs. MIA,W,15,1,4,0.25,0,3,0.0,1,2,0.5,0,2,2,3,0,0,0,1,3,9,1
22025,201144,0022500498,"Jan 04, 2026",MIN @ WAS,W,13,2,4,0.5,2,4,0.5,1,1,1.0,2,0,2,3,0,0,1,0,7,10,1
22025,201144,0022500486,"Jan 03, 2026",MIN @ MIA,W,15,1,2,0.5,1,2,0.5,2,2,1.0,0,1,1,3,1,0,1,3,5,-3,1
22025,201144,0022500463,"Dec 31, 2025",MIN @ ATL,L,14,0,2,0.0,0,2,0.0,2,2,1.0,0,2,2,0,0,0,0,1,2,-19,1
22025,201144,0022500452,"Dec 29, 2025",MIN @ CHI,W,18,1,3,0.333,0,2,0.0,0,0,0.0,0,0,0,1,1,0,0,2,2,10,1
22025,201144,0022500013,"Dec 25, 2025",MIN @ DEN,L,10,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,2,1,1,0,0,0,-15,1
22025,201144,0022500416,"Dec 23, 2025",MIN vs. NYK,W,30,2,6,0.333,2,6,0.333,2,2,1.0,0,1,1,2,2,1,0,3,8,4,1
22025,201144,0022500400,"Dec 21, 2025",MIN vs. MIL,W,24,2,6,0.333,2,5,0.4,0,0,0.0,1,4,5,6,1,2,0,0,6,16,1
22025,201144,0022500365,"Dec 08, 2025",MIN vs. PHX,L,15,0,5,0.0,0,3,0.0,0,0,0.0,0,2,2,4,0,0,1,2,0,-7,1
22025,201144,0022500355,"Dec 06, 2025",MIN vs. LAC,W,18,1,2,0.5,1,2,0.5,2,2,1.0,1,1,2,0,1,0,0,2,5,14,1
22025,201144,0022500337,"Dec 04, 2025",MIN @ NOP,W,17,1,7,0.143,0,5,0.0,0,0,0.0,0,1,1,3,0,0,1,4,2,2,1
22025,201144,0022500321,"Dec 02, 2025",MIN @ NOP,W,13,1,5,0.2,0,4,0.0,3,3,1.0,0,1,1,1,1,0,0,0,5,-5,1
22025,201144,0022500306,"Nov 30, 2025",MIN vs. SAS,W,17,2,4,0.5,1,2,0.5,0,0,0.0,2,1,3,4,0,0,0,1,5,10,1
22025,201144,0022500293,"Nov 29, 2025",MIN vs. BOS,W,17,2,2,1.0,2,2,1.0,0,0,0.0,0,2,2,2,0,0,0,1,6,-5,1
