SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629669,0022201128,"MAR 27, 2023",MIN @ SAC,W,16,6,11,0.545,1,3,0.333,1,2,0.5,2,2,4,1,0,0,1,3,14,1,1
22022,1629669,0022201090,"MAR 22, 2023",MIN vs. ATL,W,8,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,1,1,0,-2,1
22022,1629669,0022201073,"MAR 20, 2023",MIN @ NYK,W,20,7,13,0.538,0,2,0.0,0,0,0.0,0,1,1,4,3,1,1,4,14,-14,1
22022,1629669,0022200898,"FEB 24, 2023",MIN vs. CHA,L,7,1,4,0.25,0,2,0.0,0,0,0.0,1,0,1,2,0,0,1,1,2,-7,1
22022,1629669,0022200884,"FEB 16, 2023",MIN vs. WAS,L,13,2,8,0.25,0,2,0.0,2,2,1.0,1,2,3,0,0,0,1,0,6,-14,1
22022,1629669,0022200865,"FEB 13, 2023",MIN @ DAL,W,15,3,7,0.429,1,2,0.5,0,0,0.0,0,3,3,0,0,0,2,3,7,-5,1
22022,1629669,0022200841,"FEB 10, 2023",MIN @ MEM,L,24,9,16,0.563,3,7,0.429,0,0,0.0,0,2,2,1,0,0,1,1,21,-10,1
22022,1629669,0022200828,"FEB 08, 2023",MIN @ UTA,W,29,11,16,0.688,6,9,0.667,2,2,1.0,1,3,4,6,2,0,0,1,30,38,1
22022,1629669,0022200820,"FEB 07, 2023",MIN @ DEN,L,12,1,4,0.25,0,1,0.0,2,2,1.0,0,2,2,1,0,0,2,0,4,-15,1
22022,1629669,0022200806,"FEB 05, 2023",MIN vs. DEN,W,27,6,10,0.6,2,5,0.4,2,2,1.0,0,4,4,4,0,0,0,0,16,35,1
22022,1629669,0022200790,"FEB 03, 2023",MIN vs. ORL,L,17,1,7,0.143,0,2,0.0,2,2,1.0,0,3,3,2,0,0,1,2,4,-13,1
22022,1629669,0022200774,"FEB 01, 2023",MIN vs. GSW,W,17,3,5,0.6,0,0,0.0,0,1,0.0,1,2,3,0,0,0,0,2,6,-11,1
22022,1629669,0022200758,"JAN 30, 2023",MIN vs. SAC,L,22,5,10,0.5,1,3,0.333,3,3,1.0,0,2,2,0,1,0,1,1,14,8,1
22022,1629669,0022200746,"JAN 28, 2023",MIN vs. SAC,W,18,2,8,0.25,0,4,0.0,0,0,0.0,1,3,4,4,0,0,0,2,4,1,1
22022,1629669,0022200737,"JAN 27, 2023",MIN vs. MEM,W,20,3,6,0.5,0,2,0.0,2,2,1.0,0,2,2,3,2,0,5,0,8,4,1
22022,1629669,0022200724,"JAN 25, 2023",MIN @ NOP,W,13,2,5,0.4,0,0,0.0,1,4,0.25,0,2,2,0,0,0,0,0,5,-7,1
22022,1629669,0022200709,"JAN 23, 2023",MIN @ HOU,L,19,3,8,0.375,1,3,0.333,0,0,0.0,0,3,3,0,1,0,3,1,7,7,1
22022,1629669,0022200696,"JAN 21, 2023",MIN vs. HOU,W,15,2,6,0.333,1,3,0.333,1,2,0.5,0,2,2,1,0,0,0,3,6,6,1
22022,1629669,0022200680,"JAN 19, 2023",MIN vs. TOR,W,18,5,10,0.5,1,4,0.25,2,2,1.0,0,1,1,3,2,0,0,0,13,0,1
22022,1629669,0022200676,"JAN 18, 2023",MIN @ DEN,L,14,4,6,0.667,1,3,0.333,0,0,0.0,0,0,0,2,0,0,0,5,9,14,1
22022,1629669,0022200662,"JAN 16, 2023",MIN vs. UTA,L,22,6,11,0.545,2,5,0.4,2,2,1.0,1,1,2,1,0,0,0,1,16,2,1
22022,1629669,0022200645,"JAN 14, 2023",MIN vs. CLE,W,26,6,9,0.667,0,1,0.0,4,5,0.8,0,4,4,2,2,0,0,1,16,11,1
22022,1629669,0022200637,"JAN 13, 2023",MIN vs. PHX,W,13,3,7,0.429,0,2,0.0,1,1,1.0,0,2,2,2,0,0,1,1,7,3,1
22022,1629669,0022200618,"JAN 11, 2023",MIN @ DET,L,17,3,8,0.375,0,3,0.0,2,4,0.5,0,1,1,1,1,0,2,0,8,-15,1
22022,1629669,0022200601,"JAN 08, 2023",MIN @ HOU,W,11,1,6,0.167,0,3,0.0,1,2,0.5,0,3,3,1,0,0,1,3,3,-3,1
22022,1629669,0022200587,"JAN 06, 2023",MIN vs. LAC,W,18,5,8,0.625,1,3,0.333,3,3,1.0,0,0,0,6,1,0,2,2,14,-2,1
