SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1628973,0022201168,"APR 02, 2023",NYK vs. WAS,W,39,11,20,0.55,1,3,0.333,4,5,0.8,0,3,3,8,3,0,5,2,27,19,1
22022,1628973,0022201154,"MAR 31, 2023",NYK @ CLE,W,38,18,32,0.563,7,12,0.583,5,8,0.625,2,2,4,9,0,0,2,1,48,3,1
22022,1628973,0022201138,"MAR 29, 2023",NYK vs. MIA,W,30,5,11,0.455,1,3,0.333,1,1,1.0,0,2,2,3,0,0,3,2,12,9,1
22022,1628973,0022201084,"MAR 22, 2023",NYK @ MIA,L,37,10,16,0.625,2,6,0.333,3,5,0.6,1,5,6,6,1,0,5,3,25,-4,1
22022,1628973,0022201073,"MAR 20, 2023",NYK vs. MIN,L,37,9,18,0.5,1,3,0.333,4,4,1.0,0,2,2,10,2,0,2,4,23,-8,1
22022,1628973,0022201055,"MAR 18, 2023",NYK vs. DEN,W,32,9,20,0.45,2,5,0.4,4,4,1.0,0,2,2,5,0,0,1,2,24,-5,1
22022,1628973,0022200997,"MAR 09, 2023",NYK @ SAC,L,19,6,12,0.5,3,5,0.6,4,5,0.8,0,2,2,2,0,0,1,0,19,-12,1
22022,1628973,0022200949,"MAR 03, 2023",NYK @ MIA,W,35,9,14,0.643,3,7,0.429,4,6,0.667,0,2,2,8,2,0,1,2,25,-1,1
22022,1628973,0022200937,"MAR 01, 2023",NYK vs. BKN,W,36,15,18,0.833,5,6,0.833,4,4,1.0,0,5,5,6,0,0,3,2,39,23,1
22022,1628973,0022200921,"FEB 27, 2023",NYK vs. BOS,W,40,4,12,0.333,0,4,0.0,9,12,0.75,0,4,4,3,1,0,1,0,17,21,1
22022,1628973,0022200906,"FEB 25, 2023",NYK vs. NOP,W,32,5,13,0.385,3,7,0.429,7,9,0.778,0,2,2,5,0,0,3,2,20,17,1
22022,1628973,0022200895,"FEB 24, 2023",NYK @ WAS,W,39,6,20,0.3,0,3,0.0,1,1,1.0,1,3,4,9,1,0,1,2,13,7,1
22022,1628973,0022200876,"FEB 15, 2023",NYK @ ATL,W,38,10,19,0.526,1,6,0.167,7,8,0.875,1,8,9,5,0,0,5,1,28,22,1
22022,1628973,0022200862,"FEB 13, 2023",NYK vs. BKN,W,36,15,21,0.714,6,9,0.667,4,8,0.5,1,1,2,5,0,1,0,3,40,23,1
22022,1628973,0022200851,"FEB 11, 2023",NYK vs. UTA,W,39,11,22,0.5,2,5,0.4,14,15,0.933,0,3,3,5,1,0,1,2,38,4,1
22022,1628973,0022200837,"FEB 10, 2023",NYK @ PHI,L,39,12,19,0.632,2,4,0.5,4,5,0.8,1,6,7,9,0,0,2,0,30,-3,1
22022,1628973,0022200816,"FEB 07, 2023",NYK @ ORL,W,39,9,13,0.692,3,6,0.5,4,5,0.8,1,1,2,5,2,0,1,5,25,13,1
22022,1628973,0022200804,"FEB 05, 2023",NYK vs. PHI,W,39,6,16,0.375,1,3,0.333,8,12,0.667,1,4,5,7,1,0,2,1,21,-6,1
