SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1628404,0022201220,"APR 09, 2023",NYK vs. IND,L,26,5,9,0.556,0,1,0.0,0,0,0.0,3,8,11,4,1,1,2,2,10,-29,1
22022,1628404,0022201209,"APR 07, 2023",NYK @ NOP,L,33,1,8,0.125,0,3,0.0,6,7,0.857,0,6,6,2,0,0,1,3,8,9,1
22022,1628404,0022201190,"APR 05, 2023",NYK @ IND,W,37,2,5,0.4,1,2,0.5,1,2,0.5,5,7,12,7,4,1,3,2,6,31,1
22022,1628404,0022201168,"APR 02, 2023",NYK vs. WAS,W,26,1,4,0.25,0,1,0.0,0,0,0.0,1,5,6,3,0,1,1,1,2,4,1
22022,1628404,0022201154,"MAR 31, 2023",NYK @ CLE,W,29,4,4,1.0,1,1,1.0,2,3,0.667,1,6,7,1,0,0,0,2,11,18,1
22022,1628404,0022201138,"MAR 29, 2023",NYK vs. MIA,W,29,6,7,0.857,1,1,1.0,0,0,0.0,2,6,8,3,2,0,3,2,13,12,1
22022,1628404,0022201124,"MAR 27, 2023",NYK vs. HOU,W,25,4,4,1.0,1,1,1.0,0,0,0.0,2,3,5,2,2,2,1,3,9,25,1
22022,1628404,0022201093,"MAR 23, 2023",NYK @ ORL,L,29,3,7,0.429,1,3,0.333,0,0,0.0,1,4,5,2,1,0,1,4,7,-10,1
22022,1628404,0022201084,"MAR 22, 2023",NYK @ MIA,L,30,3,5,0.6,2,3,0.667,4,4,1.0,0,4,4,3,2,1,1,0,12,-10,1
22022,1628404,0022201073,"MAR 20, 2023",NYK vs. MIN,L,31,5,7,0.714,0,0,0.0,0,0,0.0,3,2,5,4,2,1,1,2,10,-3,1
22022,1628404,0022201055,"MAR 18, 2023",NYK vs. DEN,W,32,4,5,0.8,1,2,0.5,4,4,1.0,3,5,8,5,3,0,0,4,13,-5,1
22022,1628404,0022201034,"MAR 14, 2023",NYK @ POR,W,37,6,13,0.462,2,5,0.4,2,2,1.0,1,8,9,8,3,0,2,0,16,26,1
22022,1628404,0022201019,"MAR 12, 2023",NYK @ LAL,W,32,2,4,0.5,2,4,0.5,2,2,1.0,2,6,8,4,0,0,3,3,8,13,1
22022,1628404,0022201004,"MAR 11, 2023",NYK @ LAC,L,32,3,6,0.5,0,1,0.0,4,4,1.0,3,5,8,4,0,0,2,3,10,-1,1
22022,1628404,0022200997,"MAR 09, 2023",NYK @ SAC,L,32,3,4,0.75,1,1,1.0,2,2,1.0,8,7,15,7,3,0,3,1,9,2,1
22022,1628404,0022200979,"MAR 07, 2023",NYK vs. CHA,L,33,3,5,0.6,1,1,1.0,3,4,0.75,2,6,8,2,0,0,1,3,10,-1,1
22022,1628404,0022200969,"MAR 05, 2023",NYK @ BOS,W,40,3,5,0.6,1,2,0.5,3,5,0.6,0,8,8,2,0,0,2,5,10,-2,1
22022,1628404,0022200949,"MAR 03, 2023",NYK @ MIA,W,33,2,3,0.667,0,0,0.0,1,3,0.333,1,6,7,3,2,1,3,5,5,16,1
22022,1628404,0022200937,"MAR 01, 2023",NYK vs. BKN,W,26,2,3,0.667,0,1,0.0,0,0,0.0,0,4,4,5,2,1,1,4,4,30,1
22022,1628404,0022200921,"FEB 27, 2023",NYK vs. BOS,W,27,5,8,0.625,2,3,0.667,0,0,0.0,1,4,5,5,2,0,1,0,12,15,1
22022,1628404,0022200906,"FEB 25, 2023",NYK vs. NOP,W,26,5,6,0.833,1,1,1.0,4,5,0.8,1,4,5,2,0,2,2,1,15,10,1
22022,1628404,0022200895,"FEB 24, 2023",NYK @ WAS,W,27,2,6,0.333,0,1,0.0,1,2,0.5,2,4,6,4,0,0,2,2,5,0,1
22022,1628404,0022200876,"FEB 15, 2023",NYK @ ATL,W,24,5,9,0.556,3,5,0.6,0,0,0.0,1,4,5,2,0,1,1,2,13,11,1
22022,1628404,0022200862,"FEB 13, 2023",NYK vs. BKN,W,28,10,14,0.714,4,6,0.667,3,4,0.75,0,4,4,2,1,0,0,4,27,25,1
22022,1628404,0022200851,"FEB 11, 2023",NYK vs. UTA,W,26,3,6,0.5,2,3,0.667,3,4,0.75,4,3,7,4,4,0,1,4,11,5,1
22022,1628404,0022200815,"FEB 06, 2023",POR vs. MIL,L,26,5,8,0.625,2,4,0.5,2,3,0.667,0,8,8,0,1,0,1,2,14,-7,1
22022,1628404,0022200796,"FEB 04, 2023",POR @ CHI,L,34,5,13,0.385,0,5,0.0,3,4,0.75,3,9,12,5,1,0,1,0,13,5,1
22022,1628404,0022200787,"FEB 03, 2023",POR @ WAS,W,39,9,13,0.692,1,5,0.2,2,2,1.0,3,6,9,2,1,0,1,3,21,15,1
22022,1628404,0022200771,"FEB 01, 2023",POR @ MEM,W,32,0,4,0.0,0,2,0.0,0,0,0.0,0,2,2,2,0,0,1,2,0,1,1
22022,1628404,0022200763,"JAN 30, 2023",POR vs. ATL,W,35,4,6,0.667,0,2,0.0,1,2,0.5,2,10,12,5,0,1,0,4,9,-5,1
22022,1628404,0022200727,"JAN 25, 2023",POR vs. UTA,W,9,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,1,1,0,1,0,0,-6,1
22022,1628404,0022200711,"JAN 23, 2023",POR vs. SAS,W,26,4,5,0.8,0,1,0.0,1,1,1.0,0,5,5,4,1,0,0,3,9,8,1
22022,1628404,0022200705,"JAN 22, 2023",POR vs. LAL,L,33,4,8,0.5,2,5,0.4,3,4,0.75,3,7,10,7,2,0,2,3,13,-4,1
22022,1628404,0022200682,"JAN 19, 2023",POR vs. PHI,L,35,2,6,0.333,1,2,0.5,3,6,0.5,3,4,7,2,0,0,1,4,8,-13,1
22022,1628404,0022200667,"JAN 17, 2023",POR @ DEN,L,29,2,5,0.4,0,2,0.0,0,0,0.0,0,6,6,4,0,0,1,2,4,-22,1
22022,1628404,0022200654,"JAN 15, 2023",POR vs. DAL,W,29,3,11,0.273,1,6,0.167,1,2,0.5,3,9,12,1,0,2,1,3,8,22,1
