SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630613,0022200734,"JAN 26, 2023",PHX vs. DAL,L,5,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,1
22022,1630613,0022200718,"JAN 24, 2023",PHX vs. CHA,W,6,3,4,0.75,2,3,0.667,0,0,0.0,1,2,3,2,0,0,0,1,8,7,1
22022,1630613,0022200697,"JAN 21, 2023",PHX vs. IND,W,17,3,13,0.231,3,6,0.5,0,0,0.0,0,1,1,4,0,0,1,2,9,15,1
22022,1630613,0022200681,"JAN 19, 2023",PHX vs. BKN,W,6,0,4,0.0,0,2,0.0,0,0,0.0,0,1,1,3,0,0,1,1,0,7,1
22022,1630613,0022200637,"JAN 13, 2023",PHX @ MIN,L,24,3,11,0.273,0,2,0.0,2,2,1.0,0,2,2,2,0,1,1,2,8,-3,1
22022,1630613,0022200624,"JAN 11, 2023",PHX @ DEN,L,24,3,14,0.214,1,6,0.167,1,3,0.333,0,1,1,5,0,2,4,2,8,-33,1
22022,1630613,0022200615,"JAN 10, 2023",PHX @ GSW,W,27,6,17,0.353,5,9,0.556,4,4,1.0,0,1,1,5,1,0,4,2,21,10,1
22022,1630613,0022200603,"JAN 08, 2023",PHX vs. CLE,L,25,9,18,0.5,5,6,0.833,2,3,0.667,0,1,1,3,0,0,4,1,25,-4,1
22022,1630613,0022200589,"JAN 06, 2023",PHX vs. MIA,L,25,5,18,0.278,1,6,0.167,2,2,1.0,0,2,2,7,1,0,3,0,13,0,1
22022,1630613,0022200565,"JAN 04, 2023",PHX @ CLE,L,2,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-4,1
22022,1630613,0022200550,"JAN 02, 2023",PHX @ NYK,L,12,4,9,0.444,1,4,0.25,1,1,1.0,0,2,2,1,1,0,0,0,10,2,1
22022,1630613,0022200531,"DEC 30, 2022",PHX @ TOR,L,13,5,10,0.5,1,5,0.2,0,0,0.0,0,2,2,2,0,0,4,1,11,0,1
22022,1630613,0022200516,"DEC 28, 2022",PHX @ WAS,L,17,4,12,0.333,1,4,0.25,1,2,0.5,1,1,2,2,1,0,0,1,10,-10,1
22022,1630613,0022200510,"DEC 27, 2022",PHX @ MEM,W,24,10,21,0.476,5,9,0.556,1,1,1.0,0,4,4,8,1,0,3,2,26,13,1
22022,1630613,0022200490,"DEC 23, 2022",PHX vs. MEM,L,19,5,15,0.333,2,5,0.4,2,4,0.5,0,3,3,5,0,0,0,0,14,-5,1
22022,1630613,0022200464,"DEC 20, 2022",PHX vs. WAS,L,12,4,8,0.5,2,4,0.5,0,0,0.0,0,2,2,3,0,0,0,0,10,7,1
22022,1630613,0022200345,"DEC 04, 2022",PHX @ SAS,W,3,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,0,0,2,1
22022,1630613,0022200321,"NOV 30, 2022",PHX vs. CHI,W,5,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0,-4,1
22022,1630613,0022200307,"NOV 28, 2022",PHX @ SAC,W,9,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,0,0,1,1,0,5,7,1
22022,1630613,0022200289,"NOV 26, 2022",PHX vs. UTA,W,4,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-7,1
22022,1630613,0022200283,"NOV 25, 2022",PHX vs. DET,W,17,2,5,0.4,1,3,0.333,0,0,0.0,0,1,1,1,0,0,2,2,5,-3,1
