SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630700,0022201209,"APR 07, 2023",NOP vs. NYK,W,9,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,2,0,0,1,0,0,-21,1
22022,1630700,0022201194,"APR 05, 2023",NOP vs. MEM,W,8,0,2,0.0,0,2,0.0,0,0,0.0,0,3,3,2,1,0,2,1,0,2,1
22022,1630700,0022201185,"APR 04, 2023",NOP vs. SAC,L,13,4,4,1.0,1,1,1.0,3,3,1.0,1,3,4,1,0,0,0,0,12,4,1
22022,1630700,0022201162,"APR 01, 2023",NOP vs. LAC,W,14,2,4,0.5,1,2,0.5,0,0,0.0,2,0,2,0,0,0,0,0,5,2,1
22022,1630700,0022201147,"MAR 30, 2023",NOP @ DEN,W,10,1,2,0.5,1,1,1.0,0,0,0.0,1,2,3,0,0,0,0,1,3,-8,1
22022,1630700,0022201135,"MAR 28, 2023",NOP @ GSW,L,10,1,2,0.5,0,1,0.0,0,0,0.0,1,2,3,1,2,0,0,2,2,9,1
22022,1630700,0022201127,"MAR 27, 2023",NOP @ POR,W,23,3,8,0.375,2,3,0.667,0,0,0.0,0,3,3,4,0,0,1,3,8,11,1
22022,1630700,0022201112,"MAR 25, 2023",NOP @ LAC,W,13,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,1,0,0,1
22022,1630700,0022201095,"MAR 23, 2023",NOP vs. CHA,W,12,1,4,0.25,0,2,0.0,0,0,0.0,0,3,3,1,1,0,1,1,2,-1,1
22022,1630700,0022201080,"MAR 21, 2023",NOP vs. SAS,W,18,0,2,0.0,0,1,0.0,1,2,0.5,0,3,3,3,1,0,1,3,1,21,1
22022,1630700,0022201067,"MAR 19, 2023",NOP @ HOU,W,9,1,2,0.5,0,1,0.0,0,0,0.0,0,3,3,3,1,0,0,2,2,0,1
22022,1630700,0022201051,"MAR 17, 2023",NOP @ HOU,L,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3,1,0,-17,1
22022,1630700,0022201030,"MAR 14, 2023",NOP vs. LAL,L,11,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,2,0,0,0,1,0,-2,1
