SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630529,0022201225,"APR 09, 2023",NOP @ MIN,L,39,1,4,0.25,0,2,0.0,2,2,1.0,1,2,3,4,5,1,3,5,4,10,1
22022,1630529,0022201209,"APR 07, 2023",NOP vs. NYK,W,34,7,7,1.0,1,1,1.0,0,0,0.0,0,4,4,4,0,3,1,2,15,4,1
22022,1630529,0022201194,"APR 05, 2023",NOP vs. MEM,W,44,11,21,0.524,5,8,0.625,8,9,0.889,3,4,7,3,0,3,2,3,35,20,1
22022,1630529,0022201185,"APR 04, 2023",NOP vs. SAC,L,31,5,10,0.5,1,1,1.0,0,0,0.0,1,3,4,3,1,0,2,1,11,-2,1
22022,1630529,0022201162,"APR 01, 2023",NOP vs. LAC,W,30,2,3,0.667,1,1,1.0,7,7,1.0,0,4,4,2,0,1,0,5,12,-1,1
22022,1630529,0022201147,"MAR 30, 2023",NOP @ DEN,W,34,2,6,0.333,2,2,1.0,0,0,0.0,2,5,7,1,0,0,3,2,6,19,1
22022,1630529,0022201135,"MAR 28, 2023",NOP @ GSW,L,35,5,11,0.455,3,5,0.6,0,0,0.0,4,2,6,4,2,0,0,3,13,-11,1
22022,1630529,0022201127,"MAR 27, 2023",NOP @ POR,W,26,3,4,0.75,0,0,0.0,1,1,1.0,1,1,2,4,0,0,1,0,7,32,1
22022,1630529,0022201112,"MAR 25, 2023",NOP @ LAC,W,23,2,2,1.0,0,0,0.0,0,0,0.0,4,2,6,2,2,0,2,2,4,12,1
22022,1630529,0022201095,"MAR 23, 2023",NOP vs. CHA,W,29,1,5,0.2,0,1,0.0,0,0,0.0,2,1,3,2,1,0,0,1,2,12,1
22022,1630529,0022201080,"MAR 21, 2023",NOP vs. SAS,W,25,2,4,0.5,0,2,0.0,0,2,0.0,0,2,2,4,1,0,2,3,4,19,1
22022,1630529,0022201067,"MAR 19, 2023",NOP @ HOU,W,33,4,7,0.571,2,4,0.5,3,3,1.0,2,2,4,3,1,0,2,4,13,6,1
22022,1630529,0022201051,"MAR 17, 2023",NOP @ HOU,L,28,3,4,0.75,0,0,0.0,3,4,0.75,1,0,1,1,4,0,0,5,9,8,1
22022,1630529,0022201030,"MAR 14, 2023",NOP vs. LAL,L,34,7,16,0.438,2,8,0.25,4,6,0.667,5,2,7,1,2,0,3,4,20,-15,1
22022,1630529,0022201017,"MAR 12, 2023",NOP vs. POR,W,31,7,9,0.778,2,4,0.5,0,0,0.0,0,4,4,7,2,0,2,2,16,43,1
22022,1630529,0022201011,"MAR 11, 2023",NOP vs. OKC,L,18,2,3,0.667,0,1,0.0,0,0,0.0,0,2,2,1,0,0,2,5,4,-7,1
22022,1630529,0022200988,"MAR 08, 2023",NOP vs. DAL,W,37,6,15,0.4,0,4,0.0,2,2,1.0,4,5,9,2,2,1,1,2,14,-3,1
22022,1630529,0022200976,"MAR 06, 2023",NOP @ SAC,L,37,5,8,0.625,3,3,1.0,0,0,0.0,1,7,8,8,1,1,1,5,13,-4,1
22022,1630529,0022200953,"MAR 03, 2023",NOP @ GSW,L,36,3,5,0.6,0,1,0.0,1,2,0.5,2,1,3,5,4,1,2,3,7,-6,1
22022,1630529,0022200941,"MAR 01, 2023",NOP @ POR,W,28,3,7,0.429,1,1,1.0,0,0,0.0,2,3,5,2,1,0,1,5,7,7,1
22022,1630529,0022200922,"FEB 27, 2023",NOP vs. ORL,L,33,3,9,0.333,1,3,0.333,3,4,0.75,2,4,6,2,1,1,1,3,10,1,1
22022,1630529,0022200906,"FEB 25, 2023",NOP @ NYK,L,13,3,5,0.6,0,1,0.0,0,0,0.0,1,2,3,2,0,0,1,1,6,-10,1
22022,1630529,0022200890,"FEB 23, 2023",NOP @ TOR,L,34,1,3,0.333,0,1,0.0,0,0,0.0,0,5,5,2,1,2,0,1,2,-3,1
22022,1630529,0022200882,"FEB 15, 2023",NOP @ LAL,L,30,5,9,0.556,1,3,0.333,0,0,0.0,3,0,3,5,1,0,1,1,11,-11,1
22022,1630529,0022200864,"FEB 13, 2023",NOP @ OKC,W,24,2,4,0.5,0,1,0.0,0,0,0.0,1,4,5,2,2,0,0,3,4,-5,1
22022,1630529,0022200842,"FEB 10, 2023",NOP vs. CLE,L,29,4,8,0.5,1,2,0.5,2,2,1.0,1,1,2,0,1,1,1,3,11,-12,1
22022,1630529,0022200818,"FEB 07, 2023",NOP vs. ATL,W,40,4,7,0.571,0,1,0.0,3,5,0.6,2,7,9,4,3,1,1,4,11,9,1
22022,1630529,0022200807,"FEB 05, 2023",NOP vs. SAC,W,33,2,6,0.333,0,0,0.0,1,2,0.5,1,1,2,2,1,1,1,2,5,35,1
22022,1630529,0022200798,"FEB 04, 2023",NOP vs. LAL,W,40,2,9,0.222,0,2,0.0,0,0,0.0,1,3,4,3,4,0,3,5,4,7,1
22022,1630529,0022200782,"FEB 02, 2023",NOP @ DAL,L,35,4,9,0.444,1,6,0.167,0,1,0.0,0,2,2,1,3,1,4,4,9,-11,1
22022,1630529,0022200768,"JAN 31, 2023",NOP @ DEN,L,37,6,8,0.75,2,4,0.5,7,8,0.875,2,2,4,4,5,0,2,4,21,-25,1
22022,1630529,0022200755,"JAN 29, 2023",NOP @ MIL,L,27,4,11,0.364,2,3,0.667,1,2,0.5,2,3,5,2,1,1,1,3,11,-23,1
22022,1630529,0022200747,"JAN 28, 2023",NOP vs. WAS,L,31,3,5,0.6,0,1,0.0,2,2,1.0,0,4,4,1,0,1,0,3,8,-6,1
22022,1630529,0022200724,"JAN 25, 2023",NOP vs. MIN,L,26,2,9,0.222,0,5,0.0,0,0,0.0,4,1,5,1,0,0,1,3,4,-19,1
