SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,202685,0022201225,"APR 09, 2023",NOP @ MIN,L,22,5,14,0.357,1,3,0.333,0,0,0.0,4,14,18,1,0,1,2,3,11,7,1
22022,202685,0022201209,"APR 07, 2023",NOP vs. NYK,W,25,3,7,0.429,0,0,0.0,2,2,1.0,0,12,12,1,0,3,2,4,8,23,1
22022,202685,0022201194,"APR 05, 2023",NOP vs. MEM,W,19,1,2,0.5,0,0,0.0,2,2,1.0,1,5,6,1,1,3,0,5,4,-5,1
22022,202685,0022201185,"APR 04, 2023",NOP vs. SAC,L,27,5,10,0.5,0,0,0.0,3,4,0.75,3,5,8,4,0,0,1,3,13,-1,1
22022,202685,0022201162,"APR 01, 2023",NOP vs. LAC,W,28,10,18,0.556,1,1,1.0,2,2,1.0,7,5,12,0,0,1,3,3,23,-1,1
22022,202685,0022201147,"MAR 30, 2023",NOP @ DEN,W,25,5,11,0.455,0,1,0.0,5,5,1.0,4,8,12,4,0,1,1,4,15,14,1
22022,202685,0022201135,"MAR 28, 2023",NOP @ GSW,L,22,5,8,0.625,0,1,0.0,1,2,0.5,1,8,9,5,0,0,4,2,11,-20,1
22022,202685,0022201127,"MAR 27, 2023",NOP @ POR,W,30,4,6,0.667,0,0,0.0,2,4,0.5,4,17,21,0,0,2,5,5,10,28,1
22022,202685,0022201112,"MAR 25, 2023",NOP @ LAC,W,32,8,18,0.444,1,2,0.5,0,0,0.0,2,11,13,4,1,1,2,5,17,18,1
22022,202685,0022201095,"MAR 23, 2023",NOP vs. CHA,W,34,10,16,0.625,0,1,0.0,0,0,0.0,8,11,19,3,1,0,3,2,20,14,1
22022,202685,0022201080,"MAR 21, 2023",NOP vs. SAS,W,28,8,10,0.8,1,1,1.0,2,2,1.0,2,13,15,5,0,0,5,3,19,11,1
22022,202685,0022201067,"MAR 19, 2023",NOP @ HOU,W,33,6,12,0.5,1,1,1.0,8,9,0.889,5,7,12,2,1,2,3,5,21,3,1
22022,202685,0022201051,"MAR 17, 2023",NOP @ HOU,L,34,10,16,0.625,0,2,0.0,2,2,1.0,3,14,17,0,0,4,0,2,22,15,1
