SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630581,0022201200,"APR 06, 2023",OKC @ UTA,W,36,6,14,0.429,2,5,0.4,3,4,0.75,1,7,8,8,3,0,4,3,17,14,1
22022,1630581,0022201187,"APR 04, 2023",OKC @ GSW,L,28,7,15,0.467,1,5,0.2,0,1,0.0,1,5,6,5,0,0,0,1,15,-12,1
22022,1630581,0022201172,"APR 02, 2023",OKC vs. PHX,L,35,5,16,0.313,2,7,0.286,4,6,0.667,1,8,9,8,0,0,1,3,16,-12,1
22022,1630581,0022201149,"MAR 31, 2023",OKC @ IND,L,33,9,19,0.474,1,4,0.25,2,4,0.5,3,4,7,4,0,0,1,0,21,5,1
22022,1630581,0022201142,"MAR 29, 2023",OKC vs. DET,W,34,6,19,0.316,0,1,0.0,6,7,0.857,1,4,5,7,1,0,0,1,18,11,1
22022,1630581,0022201134,"MAR 28, 2023",OKC vs. CHA,L,34,14,22,0.636,1,3,0.333,2,4,0.5,0,10,10,9,0,1,5,0,31,0,1
22022,1630581,0022201120,"MAR 26, 2023",OKC @ POR,W,35,7,12,0.583,3,5,0.6,0,1,0.0,1,10,11,6,1,2,2,0,17,-3,1
22022,1630581,0022201106,"MAR 24, 2023",OKC @ LAL,L,39,12,24,0.5,2,6,0.333,1,1,1.0,4,13,17,7,1,1,2,3,27,14,1
22022,1630581,0022201096,"MAR 23, 2023",OKC @ LAC,L,26,8,15,0.533,2,5,0.4,0,0,0.0,3,0,3,4,0,0,2,1,18,-15,1
22022,1630581,0022201082,"MAR 21, 2023",OKC @ LAC,W,31,5,12,0.417,0,3,0.0,3,3,1.0,0,6,6,6,0,0,2,0,13,-1,1
22022,1630581,0022201064,"MAR 19, 2023",OKC vs. PHX,W,33,7,13,0.538,1,2,0.5,1,2,0.5,2,4,6,6,0,0,4,0,16,3,1
22022,1630581,0022201044,"MAR 16, 2023",OKC @ TOR,L,27,6,11,0.545,1,2,0.5,0,0,0.0,2,5,7,1,1,0,3,2,13,-19,1
