SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629678,0022201219,"APR 09, 2023",ORL @ MIA,L,25,3,10,0.3,0,6,0.0,2,2,1.0,0,1,1,4,1,0,3,0,8,-17,1
22022,1629678,0022201207,"APR 07, 2023",ORL @ BKN,L,18,2,4,0.5,1,3,0.333,0,0,0.0,2,0,2,0,0,0,3,4,5,-16,1
22022,1629678,0022201197,"APR 06, 2023",ORL vs. CLE,L,19,2,6,0.333,1,2,0.5,2,2,1.0,1,2,3,1,1,1,3,1,7,-14,1
22022,1629678,0022201169,"APR 02, 2023",ORL vs. DET,W,3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,5,1
22022,1629678,0022201133,"MAR 28, 2023",ORL @ MEM,L,16,2,6,0.333,2,5,0.4,0,0,0.0,1,3,4,0,0,0,0,1,6,12,1
22022,1629678,0022201118,"MAR 26, 2023",ORL vs. BKN,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,1,0,-2,1
22022,1629678,0022200966,"MAR 05, 2023",ORL vs. POR,L,8,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,0,3,-3,1
22022,1629678,0022200946,"MAR 03, 2023",ORL @ CHA,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,2,0,4,1
22022,1629678,0022200939,"MAR 01, 2023",ORL @ MIL,L,4,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,0,3,1,1
22022,1629678,0022200905,"FEB 25, 2023",ORL vs. IND,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,4,1
22022,1629678,0022200744,"JAN 28, 2023",ORL vs. CHI,L,15,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,2,0,0,1
22022,1629678,0022200693,"JAN 21, 2023",ORL @ WAS,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1
22022,1629678,0022200576,"JAN 05, 2023",ORL vs. MEM,L,18,3,4,0.75,0,1,0.0,2,2,1.0,1,3,4,2,0,0,0,1,8,-10,1
22022,1629678,0022200529,"DEC 30, 2022",ORL vs. WAS,L,27,2,7,0.286,0,3,0.0,3,4,0.75,1,3,4,4,0,0,0,3,7,-1,1
22022,1629678,0022200515,"DEC 28, 2022",ORL @ DET,L,10,1,2,0.5,0,1,0.0,1,2,0.5,0,0,0,0,1,0,1,1,3,-4,1
22022,1629678,0022200472,"DEC 21, 2022",ORL @ HOU,W,16,2,4,0.5,0,2,0.0,3,3,1.0,2,1,3,2,1,0,0,2,7,9,1
22022,1629678,0022200454,"DEC 19, 2022",ORL @ ATL,L,13,3,5,0.6,2,4,0.5,1,1,1.0,1,6,7,0,0,1,0,1,9,0,1
22022,1629678,0022200445,"DEC 18, 2022",ORL @ BOS,W,17,5,7,0.714,3,5,0.6,0,0,0.0,0,4,4,0,1,0,0,2,13,-2,1
22022,1629678,0022200430,"DEC 16, 2022",ORL @ BOS,W,11,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,4,3,9,1
22022,1629678,0022200416,"DEC 14, 2022",ORL vs. ATL,W,14,1,2,0.5,0,1,0.0,0,0,0.0,1,1,2,0,1,0,0,1,2,-4,1
22022,1629678,0022200398,"DEC 11, 2022",ORL vs. TOR,W,9,1,4,0.25,0,2,0.0,1,1,1.0,0,1,1,2,0,0,0,4,3,4,1
22022,1629678,0022200379,"DEC 09, 2022",ORL vs. TOR,W,15,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,1,0,0,0,2,0,-4,1
22022,1629678,0022200363,"DEC 07, 2022",ORL vs. LAC,W,15,4,7,0.571,1,3,0.333,0,0,0.0,3,2,5,1,0,0,0,0,9,14,1
22022,1629678,0022200353,"DEC 05, 2022",ORL vs. MIL,L,14,3,6,0.5,2,4,0.5,0,0,0.0,0,0,0,1,1,1,0,2,8,-13,1
