SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630532,0022201219,"APR 09, 2023",ORL @ MIA,L,15,2,5,0.4,0,1,0.0,6,6,1.0,0,4,4,3,2,0,3,0,10,1,1
22022,1630532,0022201207,"APR 07, 2023",ORL @ BKN,L,24,4,11,0.364,0,2,0.0,4,4,1.0,0,5,5,0,1,0,2,1,12,-1,1
22022,1630532,0022201178,"APR 04, 2023",ORL vs. CLE,L,33,7,18,0.389,1,3,0.333,2,3,0.667,4,2,6,1,1,0,2,4,17,-8,1
22022,1630532,0022201169,"APR 02, 2023",ORL vs. DET,W,31,5,11,0.455,1,3,0.333,5,6,0.833,0,5,5,8,3,0,1,1,16,33,1
22022,1630532,0022201151,"MAR 31, 2023",ORL @ WAS,W,33,8,14,0.571,2,3,0.667,2,2,1.0,2,3,5,1,0,1,2,2,20,11,1
22022,1630532,0022201133,"MAR 28, 2023",ORL @ MEM,L,32,8,21,0.381,5,12,0.417,4,4,1.0,0,3,3,3,2,1,0,2,25,-13,1
22022,1630532,0022201118,"MAR 26, 2023",ORL vs. BKN,W,32,6,11,0.545,0,2,0.0,7,9,0.778,1,9,10,6,2,0,3,5,19,11,1
22022,1630532,0022201093,"MAR 23, 2023",ORL vs. NYK,W,32,7,12,0.583,0,1,0.0,2,2,1.0,0,3,3,6,2,1,2,2,16,11,1
22022,1630532,0022201077,"MAR 21, 2023",ORL vs. WAS,W,39,7,12,0.583,2,3,0.667,4,4,1.0,0,4,4,6,1,0,3,3,20,8,1
22022,1630532,0022201070,"MAR 19, 2023",ORL @ LAL,L,37,10,23,0.435,0,8,0.0,1,2,0.5,1,7,8,7,2,0,1,3,21,-3,1
22022,1630532,0022201056,"MAR 18, 2023",ORL @ LAC,W,33,7,13,0.538,2,7,0.286,4,4,1.0,0,4,4,4,1,0,4,4,20,9,1
22022,1630532,0022201046,"MAR 16, 2023",ORL @ PHX,L,35,7,15,0.467,1,3,0.333,1,1,1.0,2,8,10,2,0,0,3,3,16,2,1
22022,1630532,0022201032,"MAR 14, 2023",ORL @ SAS,L,28,5,12,0.417,1,3,0.333,0,0,0.0,0,2,2,4,1,0,2,1,11,-24,1
22022,1630532,0022201007,"MAR 11, 2023",ORL vs. MIA,W,29,7,10,0.7,1,3,0.333,2,4,0.5,4,4,8,6,0,1,1,2,17,-5,1
22022,1630532,0022200994,"MAR 09, 2023",ORL vs. UTA,L,35,9,21,0.429,4,9,0.444,2,2,1.0,0,1,1,1,1,0,1,2,24,-8,1
22022,1630532,0022200978,"MAR 07, 2023",ORL vs. MIL,L,37,10,20,0.5,1,6,0.167,0,0,0.0,0,3,3,6,0,0,2,1,21,-7,1
22022,1630532,0022200966,"MAR 05, 2023",ORL vs. POR,L,33,7,12,0.583,4,7,0.571,6,7,0.857,0,2,2,6,1,0,3,4,24,2,1
22022,1630532,0022200946,"MAR 03, 2023",ORL @ CHA,W,14,3,5,0.6,1,2,0.5,2,2,1.0,0,1,1,1,0,1,2,0,9,10,1
22022,1630532,0022200939,"MAR 01, 2023",ORL @ MIL,L,30,5,11,0.455,1,3,0.333,7,8,0.875,1,0,1,1,0,0,3,0,18,-15,1
22022,1630532,0022200922,"FEB 27, 2023",ORL @ NOP,W,36,4,10,0.4,3,7,0.429,0,0,0.0,1,4,5,3,2,1,1,4,11,-2,1
22022,1630532,0022200905,"FEB 25, 2023",ORL vs. IND,L,34,7,12,0.583,2,5,0.4,5,6,0.833,1,5,6,2,1,0,1,2,21,-8,1
22022,1630532,0022200888,"FEB 23, 2023",ORL vs. DET,W,31,7,13,0.538,2,5,0.4,5,5,1.0,0,5,5,1,0,0,1,4,21,11,1
22022,1630532,0022200868,"FEB 14, 2023",ORL @ TOR,L,32,3,9,0.333,2,5,0.4,1,1,1.0,0,0,0,6,1,0,3,3,9,-13,1
22022,1630532,0022200863,"FEB 13, 2023",ORL @ CHI,W,33,7,8,0.875,3,4,0.75,1,2,0.5,0,3,3,3,1,0,4,3,18,9,1
22022,1630532,0022200848,"FEB 11, 2023",ORL vs. MIA,L,36,4,15,0.267,0,4,0.0,2,3,0.667,0,4,4,4,1,0,4,3,10,0,1
22022,1630532,0022200831,"FEB 09, 2023",ORL vs. DEN,W,34,3,9,0.333,1,4,0.25,3,3,1.0,1,1,2,6,3,0,1,2,10,5,1
