SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1631216,0022201219,"APR 09, 2023",ORL @ MIA,L,34,6,15,0.4,5,11,0.455,4,5,0.8,0,0,0,1,2,0,0,2,21,-9,1
22022,1631216,0022201207,"APR 07, 2023",ORL @ BKN,L,26,1,3,0.333,1,3,0.333,0,0,0.0,2,0,2,1,1,1,1,0,3,-15,1
22022,1631216,0022201197,"APR 06, 2023",ORL vs. CLE,L,30,3,9,0.333,2,7,0.286,0,0,0.0,1,1,2,2,1,0,1,0,8,-16,1
22022,1631216,0022201169,"APR 02, 2023",ORL vs. DET,W,6,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,6,1
22022,1631216,0022201151,"MAR 31, 2023",ORL @ WAS,W,14,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,2,0,0,0,0,0,8,1
22022,1631216,0022201133,"MAR 28, 2023",ORL @ MEM,L,9,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-10,1
22022,1631216,0022201118,"MAR 26, 2023",ORL vs. BKN,W,22,0,5,0.0,0,5,0.0,0,0,0.0,1,1,2,1,0,1,1,0,0,-2,1
22022,1631216,0022201093,"MAR 23, 2023",ORL vs. NYK,W,25,3,7,0.429,2,5,0.4,0,0,0.0,2,3,5,1,0,2,2,1,8,9,1
22022,1631216,0022201077,"MAR 21, 2023",ORL vs. WAS,W,14,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,3,0,5,1
22022,1631216,0022201070,"MAR 19, 2023",ORL @ LAL,L,14,0,2,0.0,0,2,0.0,0,0,0.0,2,0,2,0,0,0,1,2,0,-14,1
22022,1631216,0022201056,"MAR 18, 2023",ORL @ LAC,W,16,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,1,0,0,2,0,-1,1
22022,1631216,0022201032,"MAR 14, 2023",ORL @ SAS,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1
22022,1631216,0022201007,"MAR 11, 2023",ORL vs. MIA,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
22022,1631216,0022200978,"MAR 07, 2023",ORL vs. MIL,L,22,1,4,0.25,1,4,0.25,0,0,0.0,0,3,3,0,0,0,0,0,3,5,1
22022,1631216,0022200966,"MAR 05, 2023",ORL vs. POR,L,16,1,3,0.333,1,2,0.5,0,0,0.0,2,0,2,0,0,0,0,3,3,-4,1
22022,1631216,0022200946,"MAR 03, 2023",ORL @ CHA,W,9,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,0,0,0,0,1,3,-9,1
22022,1631216,0022200939,"MAR 01, 2023",ORL @ MIL,L,4,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,1,1
22022,1631216,0022200868,"FEB 14, 2023",ORL @ TOR,L,12,2,4,0.5,1,2,0.5,0,0,0.0,0,1,1,0,1,0,0,1,5,-3,1
22022,1631216,0022200863,"FEB 13, 2023",ORL @ CHI,W,13,2,5,0.4,1,2,0.5,0,0,0.0,0,2,2,0,0,0,0,2,5,-2,1
22022,1631216,0022200831,"FEB 09, 2023",ORL vs. DEN,W,16,3,4,0.75,1,2,0.5,0,0,0.0,2,0,2,0,1,0,0,1,7,19,1
22022,1631216,0022200802,"FEB 05, 2023",ORL @ CHA,W,12,3,4,0.75,2,2,1.0,0,0,0.0,1,1,2,0,0,0,2,2,8,4,1
22022,1631216,0022200616,"JAN 10, 2023",ORL @ POR,W,3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
22022,1631216,0022200610,"JAN 09, 2023",ORL @ SAC,L,7,0,2,0.0,0,1,0.0,0,0,0.0,1,1,2,1,0,0,0,0,0,4,1
22022,1631216,0022200594,"JAN 07, 2023",ORL @ GSW,W,2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1
22022,1631216,0022200576,"JAN 05, 2023",ORL vs. MEM,L,12,1,1,1.0,1,1,1.0,0,0,0.0,0,2,2,0,0,0,0,0,3,6,1
22022,1631216,0022200566,"JAN 04, 2023",ORL vs. OKC,W,28,4,9,0.444,3,7,0.429,0,0,0.0,3,2,5,1,1,0,1,2,11,2,1
22022,1631216,0022200529,"DEC 30, 2022",ORL vs. WAS,L,28,3,5,0.6,2,4,0.5,0,0,0.0,1,1,2,0,0,1,2,1,8,5,1
22022,1631216,0022200515,"DEC 28, 2022",ORL @ DET,L,10,1,3,0.333,0,2,0.0,0,0,0.0,1,1,2,0,0,0,1,2,2,-18,1
22022,1631216,0022200505,"DEC 27, 2022",ORL vs. LAL,L,9,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,3,-4,1
22022,1631216,0022200479,"DEC 23, 2022",ORL vs. SAS,W,6,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,1,3,-2,1
22022,1631216,0022200363,"DEC 07, 2022",ORL vs. LAC,W,12,1,2,0.5,0,1,0.0,3,3,1.0,1,1,2,0,0,0,1,1,5,8,1
22022,1631216,0022200353,"DEC 05, 2022",ORL vs. MIL,L,24,1,6,0.167,1,4,0.25,0,0,0.0,3,2,5,0,0,0,0,3,3,-15,1
22022,1631216,0022200340,"DEC 03, 2022",ORL @ TOR,L,25,3,9,0.333,2,5,0.4,0,0,0.0,1,3,4,2,0,0,0,4,8,11,1
22022,1631216,0022200330,"DEC 02, 2022",ORL @ CLE,L,19,1,3,0.333,1,3,0.333,0,0,0.0,0,2,2,0,0,0,0,1,3,-5,1
22022,1631216,0022200313,"NOV 30, 2022",ORL vs. ATL,L,15,2,3,0.667,1,2,0.5,0,0,0.0,0,5,5,1,0,1,0,0,5,-2,1
22022,1631216,0022200302,"NOV 28, 2022",ORL @ BKN,L,31,1,4,0.25,1,3,0.333,0,0,0.0,1,6,7,1,1,0,0,2,3,-7,1
22022,1631216,0022200297,"NOV 27, 2022",ORL vs. PHI,L,26,4,8,0.5,4,8,0.5,0,0,0.0,0,1,1,3,1,0,0,2,12,-24,1
22022,1631216,0022200273,"NOV 25, 2022",ORL vs. PHI,L,14,3,6,0.5,1,4,0.25,0,0,0.0,2,0,2,2,0,0,0,2,7,0,1
22022,1631216,0022200249,"NOV 21, 2022",ORL @ IND,L,13,1,1,1.0,1,1,1.0,1,2,0.5,1,0,1,1,0,0,1,3,4,-9,1
22022,1631216,0022200236,"NOV 19, 2022",ORL @ IND,L,19,0,4,0.0,0,1,0.0,2,2,1.0,1,1,2,1,0,0,0,4,2,-5,1
