SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630591,0022201219,"APR 09, 2023",ORL @ MIA,L,15,3,6,0.5,2,3,0.667,0,0,0.0,3,4,7,2,0,1,1,1,8,1,1
22022,1630591,0022201207,"APR 07, 2023",ORL @ BKN,L,19,2,9,0.222,1,6,0.167,2,2,1.0,1,4,5,0,0,0,1,1,7,-7,1
22022,1630591,0022201197,"APR 06, 2023",ORL vs. CLE,L,24,7,15,0.467,5,9,0.556,3,3,1.0,2,3,5,4,0,1,2,1,22,-8,1
22022,1630591,0022201178,"APR 04, 2023",ORL vs. CLE,L,24,4,6,0.667,0,2,0.0,0,0,0.0,0,1,1,1,1,0,2,2,8,8,1
22022,1630591,0022201169,"APR 02, 2023",ORL vs. DET,W,26,5,9,0.556,4,6,0.667,4,5,0.8,0,2,2,2,4,1,2,5,18,20,1
22022,1630591,0022201151,"MAR 31, 2023",ORL @ WAS,W,23,2,6,0.333,0,2,0.0,4,6,0.667,0,3,3,2,1,1,1,0,8,10,1
22022,1630591,0022201133,"MAR 28, 2023",ORL @ MEM,L,24,1,10,0.1,0,5,0.0,0,0,0.0,0,3,3,1,1,0,3,1,2,-1,1
22022,1630591,0022201118,"MAR 26, 2023",ORL vs. BKN,W,24,6,9,0.667,2,2,1.0,2,2,1.0,0,2,2,1,1,1,0,2,16,15,1
22022,1630591,0022201046,"MAR 16, 2023",ORL @ PHX,L,22,1,4,0.25,0,2,0.0,3,6,0.5,2,2,4,1,0,0,1,2,5,-10,1
22022,1630591,0022201032,"MAR 14, 2023",ORL @ SAS,L,22,5,13,0.385,2,7,0.286,0,0,0.0,1,0,1,1,2,0,1,1,12,-5,1
22022,1630591,0022201007,"MAR 11, 2023",ORL vs. MIA,W,27,5,10,0.5,4,6,0.667,2,2,1.0,3,2,5,4,4,3,3,3,16,11,1
22022,1630591,0022200994,"MAR 09, 2023",ORL vs. UTA,L,30,7,14,0.5,1,5,0.2,2,3,0.667,2,1,3,6,2,0,1,3,17,-4,1
22022,1630591,0022200978,"MAR 07, 2023",ORL vs. MIL,L,26,1,4,0.25,1,3,0.333,0,0,0.0,0,2,2,2,1,0,0,2,3,-16,1
22022,1630591,0022200966,"MAR 05, 2023",ORL vs. POR,L,35,6,12,0.5,1,3,0.333,2,2,1.0,1,3,4,2,3,0,3,4,15,-1,1
22022,1630591,0022200946,"MAR 03, 2023",ORL @ CHA,W,30,5,9,0.556,1,1,1.0,4,6,0.667,3,2,5,1,1,0,3,3,15,16,1
22022,1630591,0022200939,"MAR 01, 2023",ORL @ MIL,L,25,3,9,0.333,0,2,0.0,0,0,0.0,2,3,5,2,2,0,1,1,6,-13,1
22022,1630591,0022200922,"FEB 27, 2023",ORL @ NOP,W,23,3,11,0.273,1,4,0.25,2,2,1.0,3,2,5,3,0,0,1,4,9,-8,1
22022,1630591,0022200905,"FEB 25, 2023",ORL vs. IND,L,26,4,12,0.333,2,5,0.4,4,4,1.0,1,4,5,2,0,2,1,1,14,-6,1
22022,1630591,0022200888,"FEB 23, 2023",ORL vs. DET,W,21,1,8,0.125,0,2,0.0,0,0,0.0,1,2,3,1,0,1,2,3,2,-6,1
22022,1630591,0022200868,"FEB 14, 2023",ORL @ TOR,L,29,9,12,0.75,3,6,0.5,3,4,0.75,2,0,2,4,2,0,3,1,24,9,1
22022,1630591,0022200863,"FEB 13, 2023",ORL @ CHI,W,23,1,7,0.143,0,3,0.0,1,1,1.0,1,1,2,1,0,1,2,3,3,-3,1
22022,1630591,0022200848,"FEB 11, 2023",ORL vs. MIA,L,28,5,7,0.714,3,4,0.75,1,2,0.5,0,0,0,2,4,3,0,2,14,1,1
22022,1630591,0022200831,"FEB 09, 2023",ORL vs. DEN,W,27,5,11,0.455,1,5,0.2,0,0,0.0,1,3,4,1,0,0,1,2,11,-7,1
22022,1630591,0022200816,"FEB 07, 2023",ORL vs. NYK,L,21,1,4,0.25,0,1,0.0,1,2,0.5,2,1,3,1,0,0,3,2,3,-2,1
22022,1630591,0022200790,"FEB 03, 2023",ORL @ MIN,W,16,3,4,0.75,2,2,1.0,2,4,0.5,0,2,2,3,3,0,0,1,10,6,1
22022,1630591,0022200770,"FEB 01, 2023",ORL @ PHI,L,26,4,9,0.444,2,4,0.5,1,1,1.0,0,4,4,3,5,0,1,3,11,-6,1
22022,1630591,0022200756,"JAN 30, 2023",ORL @ PHI,W,20,1,5,0.2,0,1,0.0,2,2,1.0,1,3,4,1,0,1,0,3,4,4,1
22022,1630591,0022200744,"JAN 28, 2023",ORL vs. CHI,L,26,4,6,0.667,2,4,0.5,1,3,0.333,2,2,4,5,1,0,2,5,11,-1,1
22022,1630591,0022200738,"JAN 27, 2023",ORL @ MIA,L,17,0,3,0.0,0,2,0.0,3,4,0.75,0,2,2,5,2,0,1,0,3,13,1
22022,1630591,0022200720,"JAN 25, 2023",ORL vs. IND,W,17,3,6,0.5,2,3,0.667,0,0,0.0,1,0,1,2,0,0,0,1,8,1,1
22022,1630591,0022200707,"JAN 23, 2023",ORL vs. BOS,W,16,1,3,0.333,0,2,0.0,1,2,0.5,0,0,0,2,1,0,0,2,3,5,1
22022,1630591,0022200693,"JAN 21, 2023",ORL @ WAS,L,13,1,4,0.25,1,4,0.25,0,0,0.0,0,0,0,1,1,0,1,4,3,-4,1
22022,1630591,0022200683,"JAN 20, 2023",ORL vs. NOP,W,15,2,4,0.5,1,2,0.5,1,1,1.0,1,3,4,1,0,0,1,2,6,8,1
22022,1630591,0022200653,"JAN 15, 2023",ORL @ DEN,L,13,2,4,0.5,0,2,0.0,3,4,0.75,0,0,0,1,1,0,0,0,7,-10,1
22022,1630591,0022200638,"JAN 13, 2023",ORL @ UTA,L,14,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,2,0,0,0,2,0,8,1
22022,1630591,0022200616,"JAN 10, 2023",ORL @ POR,W,11,1,4,0.25,0,2,0.0,0,0,0.0,1,2,3,2,2,0,1,1,2,-4,1
22022,1630591,0022200610,"JAN 09, 2023",ORL @ SAC,L,24,4,10,0.4,2,7,0.286,4,4,1.0,2,2,4,4,0,0,2,0,14,-11,1
22022,1630591,0022200594,"JAN 07, 2023",ORL @ GSW,W,16,2,4,0.5,0,2,0.0,5,7,0.714,1,2,3,0,0,2,0,2,9,5,1
22022,1630591,0022200576,"JAN 05, 2023",ORL vs. MEM,L,5,1,4,0.25,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-1,1
22022,1630591,0022200273,"NOV 25, 2022",ORL vs. PHI,L,19,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,4,0,1,2,1,0,-9,1
22022,1630591,0022200249,"NOV 21, 2022",ORL @ IND,L,24,5,13,0.385,1,4,0.25,1,2,0.5,1,1,2,4,4,0,2,1,12,-13,1
22022,1630591,0022200236,"NOV 19, 2022",ORL @ IND,L,33,5,12,0.417,2,6,0.333,0,0,0.0,2,3,5,8,0,3,4,1,12,3,1
22022,1630591,0022200227,"NOV 18, 2022",ORL @ CHI,W,35,7,16,0.438,2,6,0.333,4,4,1.0,3,2,5,8,1,1,6,2,20,-10,1
22022,1630591,0022200212,"NOV 16, 2022",ORL vs. MIN,L,33,8,17,0.471,5,11,0.455,2,3,0.667,3,3,6,6,2,0,3,4,23,-12,1
22022,1630591,0022200200,"NOV 14, 2022",ORL vs. CHA,L,30,1,10,0.1,0,3,0.0,0,0,0.0,1,4,5,7,1,1,5,6,2,-13,1
22022,1630591,0022200177,"NOV 11, 2022",ORL vs. PHX,W,32,7,12,0.583,1,4,0.25,1,1,1.0,0,3,3,5,0,0,2,3,16,16,1
22022,1630591,0022200161,"NOV 09, 2022",ORL vs. DAL,W,26,4,12,0.333,2,4,0.5,2,2,1.0,1,6,7,4,1,1,1,3,12,5,1
22022,1630591,0022200145,"NOV 07, 2022",ORL vs. HOU,L,33,5,8,0.625,0,1,0.0,1,4,0.25,1,4,5,6,1,0,2,4,11,-1,1
22022,1630591,0022200132,"NOV 05, 2022",ORL vs. SAC,L,35,2,6,0.333,0,3,0.0,2,2,1.0,1,0,1,7,1,1,6,5,6,10,1
22022,1630591,0022200118,"NOV 03, 2022",ORL vs. GSW,W,36,9,17,0.529,2,6,0.333,6,11,0.545,0,1,1,9,4,0,3,4,26,-3,1
22022,1630591,0022200105,"NOV 01, 2022",ORL @ OKC,L,28,3,14,0.214,1,9,0.111,2,2,1.0,0,2,2,4,2,1,4,1,9,-17,1
22022,1630591,0022200020,"OCT 21, 2022",ORL @ ATL,L,16,1,5,0.2,0,3,0.0,1,3,0.333,1,1,2,1,3,0,3,3,3,-6,1
22022,1630591,0022200003,"OCT 19, 2022",ORL @ DET,L,25,8,11,0.727,4,6,0.667,1,1,1.0,1,0,1,3,2,0,4,6,21,3,1
22021,1630591,0022101196,"APR 07, 2022",ORL @ CHA,L,16,2,6,0.333,1,4,0.25,0,0,0.0,0,2,2,3,2,0,1,2,5,-7,1
22021,1630591,0022101179,"APR 05, 2022",ORL vs. CLE,W,18,2,5,0.4,0,2,0.0,0,0,0.0,0,1,1,2,1,1,2,1,4,-1,1
22021,1630591,0022101015,"MAR 13, 2022",ORL vs. PHI,L,22,4,13,0.308,0,7,0.0,2,2,1.0,1,4,5,6,1,1,0,1,10,-9,1
22021,1630591,0022100995,"MAR 11, 2022",ORL vs. MIN,W,26,2,7,0.286,1,4,0.25,0,0,0.0,0,1,1,4,1,0,3,2,5,-4,1
22021,1630591,0022100987,"MAR 09, 2022",ORL @ NOP,W,20,0,3,0.0,0,2,0.0,2,2,1.0,0,2,2,2,0,0,5,3,2,6,1
22021,1630591,0022100458,"MAR 04, 2022",ORL @ TOR,W,30,4,16,0.25,1,5,0.2,6,6,1.0,0,6,6,7,1,1,2,3,15,13,1
22021,1630591,0022100933,"MAR 02, 2022",ORL vs. IND,L,33,6,15,0.4,0,4,0.0,2,4,0.5,0,4,4,5,1,0,4,4,14,2,1
22021,1630591,0022100921,"FEB 28, 2022",ORL vs. IND,W,27,5,9,0.556,2,4,0.5,2,4,0.5,0,3,3,10,2,0,2,3,14,12,1
22021,1630591,0022100898,"FEB 25, 2022",ORL vs. HOU,W,15,1,5,0.2,0,2,0.0,1,2,0.5,0,1,1,0,1,0,6,6,3,-21,1
22021,1630591,0022100874,"FEB 16, 2022",ORL vs. ATL,L,35,6,19,0.316,0,4,0.0,7,8,0.875,1,3,4,4,1,0,1,2,19,-16,1
22021,1630591,0022100864,"FEB 14, 2022",ORL @ DEN,L,35,5,15,0.333,0,4,0.0,6,6,1.0,2,4,6,3,3,1,3,3,16,-5,1
22021,1630591,0022100855,"FEB 12, 2022",ORL @ PHX,L,26,7,14,0.5,1,4,0.25,5,8,0.625,0,6,6,10,0,1,3,4,20,-5,1
22021,1630591,0022100844,"FEB 11, 2022",ORL @ UTA,L,25,4,11,0.364,0,3,0.0,1,2,0.5,0,1,1,7,3,0,1,3,9,-1,1
22021,1630591,0022100823,"FEB 08, 2022",ORL @ POR,W,7,0,2,0.0,0,2,0.0,1,2,0.5,0,0,0,1,0,0,2,1,1,-4,1
22021,1630591,0022100806,"FEB 06, 2022",ORL vs. BOS,L,30,5,11,0.455,0,1,0.0,7,7,1.0,0,6,6,5,3,0,6,5,17,-21,1
22021,1630591,0022100796,"FEB 05, 2022",ORL vs. MEM,L,29,5,12,0.417,3,6,0.5,4,5,0.8,0,4,4,5,1,0,1,3,17,-18,1
22021,1630591,0022100773,"FEB 02, 2022",ORL @ IND,W,33,6,16,0.375,0,5,0.0,0,0,0.0,1,3,4,8,1,0,2,4,12,-2,1
22021,1630591,0022100769,"FEB 01, 2022",ORL @ CHI,L,33,4,14,0.286,1,6,0.167,0,0,0.0,0,5,5,7,1,0,0,2,9,-23,1
22021,1630591,0022100755,"JAN 30, 2022",ORL vs. DAL,W,33,2,10,0.2,1,5,0.2,0,0,0.0,0,1,1,5,2,1,3,5,5,6,1
22021,1630591,0022100736,"JAN 28, 2022",ORL vs. DET,W,27,3,9,0.333,0,1,0.0,0,0,0.0,1,0,1,4,2,1,4,3,6,11,1
22021,1630591,0022100724,"JAN 26, 2022",ORL vs. LAC,L,35,6,10,0.6,2,4,0.5,0,0,0.0,1,3,4,3,0,0,3,5,14,-7,1
22021,1630591,0022100701,"JAN 23, 2022",ORL vs. CHI,W,33,4,10,0.4,0,1,0.0,7,8,0.875,0,5,5,7,2,1,1,5,15,1,1
22021,1630591,0022100685,"JAN 21, 2022",ORL vs. LAL,L,35,6,16,0.375,1,7,0.143,9,10,0.9,0,4,4,9,2,2,6,3,22,-4,1
22021,1630591,0022100668,"JAN 19, 2022",ORL @ PHI,L,34,5,14,0.357,1,1,1.0,3,6,0.5,1,8,9,5,2,0,3,1,14,-18,1
22021,1630591,0022100661,"JAN 17, 2022",ORL vs. POR,L,21,5,10,0.5,0,2,0.0,0,0,0.0,1,5,6,3,1,0,3,3,10,3,1
22021,1630591,0022100650,"JAN 15, 2022",ORL @ DAL,L,24,7,11,0.636,0,2,0.0,2,3,0.667,0,3,3,2,0,0,3,5,16,-1,1
22021,1630591,0022100632,"JAN 14, 2022",ORL @ CHA,W,22,5,8,0.625,1,2,0.5,1,2,0.5,1,5,6,7,1,0,6,2,12,2,1
22021,1630591,0022100305,"NOV 29, 2021",ORL @ PHI,L,29,5,13,0.385,1,1,1.0,6,8,0.75,1,2,3,5,1,0,2,1,17,5,1
22021,1630591,0022100295,"NOV 27, 2021",ORL @ CLE,L,31,3,10,0.3,1,4,0.25,3,4,0.75,0,3,3,3,4,0,1,3,10,-11,1
22021,1630591,0022100283,"NOV 26, 2021",ORL vs. CHI,L,26,5,10,0.5,2,4,0.5,2,4,0.5,0,3,3,3,2,1,4,2,14,-14,1
22021,1630591,0022100269,"NOV 24, 2021",ORL vs. CHA,L,30,6,14,0.429,0,5,0.0,5,7,0.714,0,4,4,6,1,1,5,6,17,5,1
22021,1630591,0022100258,"NOV 22, 2021",ORL @ MIL,L,17,2,8,0.25,0,4,0.0,1,3,0.333,2,2,4,2,0,0,3,4,5,-28,1
22021,1630591,0022100244,"NOV 20, 2021",ORL @ MIL,L,25,4,15,0.267,2,7,0.286,4,5,0.8,0,6,6,4,1,0,3,2,14,-23,1
22021,1630591,0022100233,"NOV 19, 2021",ORL @ BKN,L,32,8,18,0.444,4,9,0.444,1,2,0.5,2,2,4,3,2,1,2,3,21,-4,1
22021,1630591,0022100218,"NOV 17, 2021",ORL @ NYK,W,26,5,12,0.417,3,4,0.75,0,0,0.0,0,1,1,4,3,1,2,2,13,1,1
22021,1630591,0022100187,"NOV 13, 2021",ORL vs. WAS,L,24,4,10,0.4,0,1,0.0,0,0,0.0,2,1,3,2,1,0,3,0,8,-7,1
22021,1630591,0022100159,"NOV 10, 2021",ORL vs. BKN,L,25,2,8,0.25,0,4,0.0,3,4,0.75,1,4,5,4,0,0,3,3,7,-10,1
22021,1630591,0022100141,"NOV 07, 2021",ORL vs. UTA,W,25,3,10,0.3,0,2,0.0,0,0,0.0,0,2,2,5,0,0,4,2,6,-2,1
22021,1630591,0022100125,"NOV 05, 2021",ORL vs. SAS,L,28,4,11,0.364,1,6,0.167,3,3,1.0,0,1,1,3,0,2,5,3,12,4,1
22021,1630591,0022100110,"NOV 03, 2021",ORL vs. BOS,L,25,4,14,0.286,1,5,0.2,1,3,0.333,2,1,3,2,1,0,2,2,10,-10,1
22021,1630591,0022100101,"NOV 01, 2021",ORL @ MIN,W,32,5,14,0.357,1,6,0.167,4,4,1.0,0,4,4,1,0,1,5,3,15,4,1
22021,1630591,0022100079,"OCT 30, 2021",ORL @ DET,L,26,3,13,0.231,0,4,0.0,4,4,1.0,2,3,5,6,2,1,2,1,10,2,1
22021,1630591,0022100071,"OCT 29, 2021",ORL @ TOR,L,30,6,14,0.429,4,8,0.5,5,5,1.0,0,2,2,4,0,1,3,5,21,7,1
22021,1630591,0022100055,"OCT 27, 2021",ORL vs. CHA,L,36,3,11,0.273,0,5,0.0,2,4,0.5,0,5,5,4,1,0,4,3,8,4,1
22021,1630591,0022100045,"OCT 25, 2021",ORL @ MIA,L,28,5,12,0.417,4,8,0.5,1,2,0.5,0,4,4,2,1,0,5,5,15,-11,1
