SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630284,0022201219,"APR 09, 2023",ORL @ MIA,L,27,7,12,0.583,4,7,0.571,4,7,0.571,3,5,8,2,0,0,0,3,22,-7,1
22022,1630284,0022201207,"APR 07, 2023",ORL @ BKN,L,23,3,6,0.5,1,3,0.333,3,4,0.75,0,3,3,0,0,1,2,4,10,-4,1
22022,1630284,0022201197,"APR 06, 2023",ORL vs. CLE,L,24,3,6,0.5,0,3,0.0,2,3,0.667,0,0,0,1,1,0,3,2,8,-3,1
22022,1630284,0022201077,"MAR 21, 2023",ORL vs. WAS,W,16,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,1,0,2,0,-6,1
22022,1630284,0022201070,"MAR 19, 2023",ORL @ LAL,L,16,1,5,0.2,0,2,0.0,0,0,0.0,0,2,2,0,1,0,0,2,2,9,1
22022,1630284,0022201056,"MAR 18, 2023",ORL @ LAC,W,8,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,0,2,0,0,3,2,5,1
22022,1630284,0022201032,"MAR 14, 2023",ORL @ SAS,L,7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-4,1
22022,1630284,0022200790,"FEB 03, 2023",ORL @ MIN,W,8,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,1,0,-1,1
22022,1630284,0022200529,"DEC 30, 2022",ORL vs. WAS,L,29,4,6,0.667,0,2,0.0,0,1,0.0,1,2,3,1,1,0,0,2,8,9,1
22022,1630284,0022200472,"DEC 21, 2022",ORL @ HOU,W,16,2,3,0.667,2,2,1.0,0,0,0.0,0,2,2,1,2,1,1,0,6,3,1
22022,1630284,0022200454,"DEC 19, 2022",ORL @ ATL,L,9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,3,0,9,1
22022,1630284,0022200445,"DEC 18, 2022",ORL @ BOS,W,19,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,3,0,12,1
22022,1630284,0022200430,"DEC 16, 2022",ORL @ BOS,W,5,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,0,1,0,0,1,5,-1,1
22022,1630284,0022200416,"DEC 14, 2022",ORL vs. ATL,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,4,1
22022,1630284,0022200398,"DEC 11, 2022",ORL vs. TOR,W,16,2,7,0.286,2,4,0.5,0,0,0.0,1,0,1,0,0,0,1,1,6,7,1
22022,1630284,0022200379,"DEC 09, 2022",ORL vs. TOR,W,7,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,8,1
22022,1630284,0022200363,"DEC 07, 2022",ORL vs. LAC,W,10,0,1,0.0,0,0,0.0,2,2,1.0,1,0,1,1,1,0,0,1,2,1,1
22022,1630284,0022200340,"DEC 03, 2022",ORL @ TOR,L,21,2,4,0.5,1,1,1.0,0,0,0.0,1,2,3,2,0,0,0,1,5,5,1
22022,1630284,0022200330,"DEC 02, 2022",ORL @ CLE,L,7,1,2,0.5,0,1,0.0,1,1,1.0,0,1,1,0,0,0,0,0,3,-6,1
22022,1630284,0022200313,"NOV 30, 2022",ORL vs. ATL,L,13,4,4,1.0,0,0,0.0,1,1,1.0,1,0,1,0,1,0,2,2,9,-1,1
22022,1630284,0022200302,"NOV 28, 2022",ORL @ BKN,L,16,1,5,0.2,0,2,0.0,2,3,0.667,1,1,2,0,1,0,2,2,4,-6,1
22022,1630284,0022200249,"NOV 21, 2022",ORL @ IND,L,14,1,4,0.25,0,1,0.0,0,0,0.0,4,2,6,1,1,1,2,1,2,-2,1
22022,1630284,0022200236,"NOV 19, 2022",ORL @ IND,L,4,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,4,1
22022,1630284,0022200212,"NOV 16, 2022",ORL vs. MIN,L,6,2,2,1.0,0,0,0.0,5,5,1.0,1,0,1,1,0,0,0,0,9,0,1
22022,1630284,0022200200,"NOV 14, 2022",ORL vs. CHA,L,11,1,2,0.5,1,1,1.0,0,0,0.0,2,1,3,0,0,0,0,1,3,3,1
22022,1630284,0022200145,"NOV 07, 2022",ORL vs. HOU,L,15,0,5,0.0,0,0,0.0,2,2,1.0,2,0,2,1,1,0,1,4,2,-5,1
22022,1630284,0022200132,"NOV 05, 2022",ORL vs. SAC,L,16,1,4,0.25,0,2,0.0,2,2,1.0,1,2,3,0,0,0,0,1,4,-13,1
22022,1630284,0022200118,"NOV 03, 2022",ORL vs. GSW,W,21,4,7,0.571,2,3,0.667,2,3,0.667,4,1,5,0,1,0,1,2,12,12,1
22022,1630284,0022200105,"NOV 01, 2022",ORL @ OKC,L,6,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-13,1
22022,1630284,0022200093,"OCT 30, 2022",ORL @ DAL,L,17,3,4,0.75,2,3,0.667,4,5,0.8,1,2,3,1,0,0,2,3,12,-9,1
22022,1630284,0022200071,"OCT 28, 2022",ORL vs. CHA,W,6,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,2,0,0,1,0,2,-9,1
22022,1630284,0022200056,"OCT 26, 2022",ORL @ CLE,L,22,0,3,0.0,0,1,0.0,0,0,0.0,0,3,3,0,1,0,2,3,0,-4,1
22022,1630284,0022200030,"OCT 22, 2022",ORL vs. BOS,L,19,1,4,0.25,0,1,0.0,1,2,0.5,0,3,3,1,1,0,1,2,3,2,1
22022,1630284,0022200020,"OCT 21, 2022",ORL @ ATL,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2,1
