SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1626166,0022201212,"APR 07, 2023",PHX @ LAL,L,15,5,13,0.385,1,4,0.25,2,2,1.0,0,1,1,4,0,0,2,1,13,6,1
22022,1626166,0022201201,"APR 06, 2023",PHX vs. DEN,W,7,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,3,1,0,0,2,2,3,1
22022,1626166,0022201172,"APR 02, 2023",PHX @ OKC,W,9,2,4,0.5,1,2,0.5,0,0,0.0,0,0,0,3,0,0,1,5,5,5,1
22022,1626166,0022201160,"MAR 31, 2023",PHX vs. DEN,W,15,0,5,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,-2,1
22022,1626166,0022201144,"MAR 29, 2023",PHX vs. MIN,W,13,5,10,0.5,1,2,0.5,0,0,0.0,0,1,1,2,1,0,0,0,11,-2,1
22022,1626166,0022201125,"MAR 27, 2023",PHX @ UTA,W,21,4,9,0.444,1,3,0.333,3,3,1.0,0,3,3,5,0,0,0,1,12,15,1
22022,1626166,0022201110,"MAR 25, 2023",PHX vs. PHI,W,22,6,9,0.667,2,2,1.0,0,0,0.0,0,2,2,7,0,0,0,2,14,22,1
22022,1626166,0022201105,"MAR 24, 2023",PHX @ SAC,L,16,0,5,0.0,0,3,0.0,1,2,0.5,0,3,3,5,0,0,3,1,1,1,1
22022,1626166,0022201092,"MAR 22, 2023",PHX @ LAL,L,14,3,7,0.429,1,2,0.5,0,0,0.0,0,2,2,2,1,2,1,2,7,5,1
22022,1626166,0022201064,"MAR 19, 2023",PHX @ OKC,L,14,1,5,0.2,0,2,0.0,0,0,0.0,1,5,6,6,0,0,1,0,2,2,1
22022,1626166,0022201046,"MAR 16, 2023",PHX vs. ORL,W,21,7,12,0.583,3,5,0.6,1,1,1.0,1,1,2,5,1,0,1,1,18,-3,1
22022,1626166,0022201033,"MAR 14, 2023",PHX vs. MIL,L,17,4,9,0.444,3,5,0.6,2,2,1.0,0,2,2,2,0,0,0,0,13,-1,1
22022,1626166,0022201025,"MAR 13, 2023",PHX @ GSW,L,18,4,8,0.5,0,1,0.0,1,1,1.0,0,1,1,3,1,0,2,1,9,-11,1
22022,1626166,0022201013,"MAR 11, 2023",PHX vs. SAC,L,7,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,2,0,0,1,3,5,-7,1
22022,1626166,0022200990,"MAR 08, 2023",PHX vs. OKC,W,18,4,10,0.4,0,5,0.0,0,0,0.0,0,3,3,7,2,0,3,1,8,8,1
22022,1626166,0022200962,"MAR 05, 2023",PHX @ DAL,W,15,3,4,0.75,0,1,0.0,0,0,0.0,0,1,1,5,0,0,3,0,6,-7,1
22022,1626166,0022200950,"MAR 03, 2023",PHX @ CHI,W,17,2,8,0.25,2,7,0.286,0,0,0.0,0,0,0,3,0,1,3,2,6,8,1
22022,1626166,0022200933,"MAR 01, 2023",PHX @ CHA,W,15,2,6,0.333,1,3,0.333,0,0,0.0,0,4,4,2,0,0,1,2,5,5,1
22022,1626166,0022200910,"FEB 26, 2023",PHX @ MIL,L,8,1,7,0.143,0,2,0.0,0,0,0.0,0,3,3,0,0,0,1,2,2,-8,1
22022,1626166,0022200899,"FEB 24, 2023",PHX vs. OKC,W,16,5,9,0.556,3,5,0.6,1,4,0.25,1,3,4,0,1,0,3,4,14,1,1
22022,1626166,0022200565,"JAN 04, 2023",PHX @ CLE,L,9,1,5,0.2,0,2,0.0,0,0,0.0,0,1,1,2,0,0,3,1,2,-2,1
22022,1626166,0022200550,"JAN 02, 2023",PHX @ NYK,L,18,3,7,0.429,0,1,0.0,2,2,1.0,0,1,1,7,0,0,1,1,8,19,1
22022,1626166,0022200411,"DEC 13, 2022",PHX @ HOU,L,8,3,4,0.75,3,4,0.75,0,0,0.0,0,0,0,1,1,0,1,1,9,-2,1
22022,1626166,0022200395,"DEC 11, 2022",PHX @ NOP,L,24,6,14,0.429,2,5,0.4,3,3,1.0,0,0,0,3,0,0,3,1,17,-11,1
22022,1626166,0022200384,"DEC 09, 2022",PHX @ NOP,L,16,2,6,0.333,1,5,0.2,0,0,0.0,0,1,1,5,1,0,0,1,5,-17,1
22022,1626166,0022200373,"DEC 07, 2022",PHX vs. BOS,L,16,5,13,0.385,0,2,0.0,2,3,0.667,1,2,3,3,1,0,0,2,12,-14,1
22022,1626166,0022200358,"DEC 05, 2022",PHX @ DAL,L,34,4,16,0.25,2,9,0.222,4,4,1.0,1,5,6,10,0,0,1,1,14,-7,1
22022,1626166,0022200345,"DEC 04, 2022",PHX @ SAS,W,25,2,8,0.25,1,4,0.25,0,0,0.0,0,2,2,6,0,0,1,2,5,21,1
22022,1626166,0022200334,"DEC 02, 2022",PHX vs. HOU,L,37,8,12,0.667,4,7,0.571,0,2,0.0,0,1,1,12,4,0,4,1,20,6,1
22022,1626166,0022200321,"NOV 30, 2022",PHX vs. CHI,W,32,3,10,0.3,2,3,0.667,0,0,0.0,1,4,5,6,1,1,3,2,8,13,1
22022,1626166,0022200307,"NOV 28, 2022",PHX @ SAC,W,24,2,10,0.2,1,3,0.333,0,0,0.0,0,2,2,7,0,0,2,5,5,-10,1
