SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629234,0022201199,"APR 06, 2023",POR @ SAS,L,28,9,13,0.692,3,4,0.75,2,3,0.667,0,9,9,2,0,5,0,2,23,-1,1
22022,1629234,0022201184,"APR 04, 2023",POR @ MEM,L,31,4,11,0.364,0,2,0.0,0,0,0.0,6,2,8,3,0,4,1,3,8,-9,1
22022,1629234,0022201166,"APR 02, 2023",POR @ MIN,W,29,5,11,0.455,1,2,0.5,1,2,0.5,1,4,5,2,2,3,2,2,12,-3,1
22022,1629234,0022201159,"MAR 31, 2023",POR vs. SAC,L,28,7,10,0.7,0,0,0.0,4,7,0.571,5,5,10,1,2,1,2,3,18,-16,1
22022,1629234,0022201145,"MAR 29, 2023",POR vs. SAC,L,25,2,12,0.167,0,2,0.0,1,2,0.5,4,7,11,5,0,2,2,4,5,-40,1
22022,1629234,0022201127,"MAR 27, 2023",POR vs. NOP,L,23,4,8,0.5,0,1,0.0,4,4,1.0,2,1,3,1,1,1,2,2,12,-17,1
22022,1629234,0022201120,"MAR 26, 2023",POR vs. OKC,L,33,3,6,0.5,0,0,0.0,1,2,0.5,2,8,10,4,1,6,3,2,7,7,1
22022,1629234,0022201104,"MAR 24, 2023",POR vs. CHI,L,25,5,7,0.714,0,0,0.0,2,2,1.0,1,6,7,1,2,1,1,1,12,-13,1
22022,1629234,0022201091,"MAR 22, 2023",POR @ UTA,W,6,1,1,1.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,0,2,-7,1
22022,1629234,0022201069,"MAR 19, 2023",POR vs. LAC,L,21,5,8,0.625,0,0,0.0,0,0,0.0,2,6,8,3,0,1,1,1,10,6,1
22022,1629234,0022201053,"MAR 17, 2023",POR vs. BOS,L,18,3,3,1.0,0,0,0.0,0,0,0.0,0,3,3,0,0,2,1,2,6,-7,1
22022,1629234,0022201034,"MAR 14, 2023",POR vs. NYK,L,18,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,2,0,0,1,3,0,-16,1
22022,1629234,0022201017,"MAR 12, 2023",POR @ NOP,L,12,3,4,0.75,0,0,0.0,0,1,0.0,2,5,7,0,1,0,1,0,6,-10,1
22022,1629234,0022200998,"MAR 10, 2023",POR @ PHI,L,22,2,5,0.4,0,0,0.0,4,4,1.0,1,5,6,1,0,2,1,2,8,-10,1
22022,1629234,0022200986,"MAR 08, 2023",POR @ BOS,L,14,1,1,1.0,0,0,0.0,0,0,0.0,3,3,6,1,0,0,0,1,2,-12,1
22022,1629234,0022200977,"MAR 06, 2023",POR @ DET,W,19,3,3,1.0,0,0,0.0,4,7,0.571,1,2,3,2,1,2,0,2,10,11,1
22022,1629234,0022200966,"MAR 05, 2023",POR @ ORL,W,26,5,6,0.833,0,0,0.0,3,4,0.75,0,6,6,3,1,0,1,2,13,-6,1
22022,1629234,0022200947,"MAR 03, 2023",POR @ ATL,L,22,4,7,0.571,0,0,0.0,0,0,0.0,1,6,7,0,0,1,2,1,8,2,1
22022,1629234,0022200941,"MAR 01, 2023",POR vs. NOP,L,18,1,1,1.0,0,0,0.0,0,0,0.0,1,3,4,1,0,2,0,4,2,-9,1
22022,1629234,0022200931,"FEB 28, 2023",POR @ GSW,L,25,2,3,0.667,0,0,0.0,1,2,0.5,1,7,8,4,0,0,1,2,5,-5,1
22022,1629234,0022200917,"FEB 26, 2023",POR vs. HOU,W,22,2,2,1.0,0,0,0.0,5,10,0.5,2,6,8,0,1,2,1,4,9,14,1
22022,1629234,0022200894,"FEB 23, 2023",POR @ SAC,L,24,4,7,0.571,0,0,0.0,0,0,0.0,4,3,7,3,0,0,0,4,8,-3,1
22022,1629234,0022200872,"FEB 14, 2023",POR vs. WAS,L,27,1,4,0.25,0,0,0.0,1,2,0.5,5,6,11,2,1,4,1,1,3,0,1
22022,1629234,0022200867,"FEB 13, 2023",POR vs. LAL,W,24,3,6,0.5,0,0,0.0,0,0,0.0,3,6,9,1,0,1,0,3,6,5,1
22022,1629234,0022200843,"FEB 10, 2023",POR vs. OKC,L,29,2,2,1.0,0,0,0.0,5,6,0.833,2,6,8,2,0,1,2,3,9,8,1
