SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,203082,0022201229,"APR 09, 2023",PHX vs. LAC,L,31,5,15,0.333,1,5,0.2,2,2,1.0,0,4,4,4,0,0,0,4,13,-9,1
22022,203082,0022201212,"APR 07, 2023",PHX @ LAL,L,29,5,11,0.455,0,3,0.0,0,0,0.0,1,2,3,6,1,1,1,1,10,-18,1
22022,203082,0022201201,"APR 06, 2023",PHX vs. DEN,W,15,3,4,0.75,2,3,0.667,0,0,0.0,0,3,3,0,0,0,0,0,8,-2,1
22022,203082,0022201188,"APR 04, 2023",PHX vs. SAS,W,12,0,3,0.0,0,3,0.0,0,0,0.0,1,5,6,3,0,1,0,0,0,14,1
22022,203082,0022201172,"APR 02, 2023",PHX @ OKC,W,11,0,2,0.0,0,2,0.0,0,0,0.0,2,0,2,1,0,0,0,1,0,5,1
22022,203082,0022201160,"MAR 31, 2023",PHX vs. DEN,W,15,0,3,0.0,0,3,0.0,0,0,0.0,0,2,2,2,1,0,0,0,0,-4,1
22022,203082,0022201144,"MAR 29, 2023",PHX vs. MIN,W,13,0,3,0.0,0,1,0.0,0,0,0.0,0,4,4,2,0,0,0,1,0,-4,1
22022,203082,0022201125,"MAR 27, 2023",PHX @ UTA,W,15,5,14,0.357,2,9,0.222,1,1,1.0,2,3,5,1,0,0,1,2,13,5,1
22022,203082,0022201110,"MAR 25, 2023",PHX vs. PHI,W,23,6,12,0.5,3,8,0.375,0,0,0.0,0,7,7,4,0,0,0,3,15,11,1
22022,203082,0022201105,"MAR 24, 2023",PHX @ SAC,L,27,11,16,0.688,6,10,0.6,2,2,1.0,0,5,5,1,0,0,0,3,30,8,1
22022,203082,0022201092,"MAR 22, 2023",PHX @ LAL,L,12,1,6,0.167,1,2,0.5,0,0,0.0,1,1,2,1,0,0,0,1,3,-12,1
22022,203082,0022201064,"MAR 19, 2023",PHX @ OKC,L,16,4,8,0.5,2,5,0.4,2,3,0.667,0,4,4,1,1,0,1,2,12,-7,1
22022,203082,0022201046,"MAR 16, 2023",PHX vs. ORL,W,16,2,5,0.4,1,2,0.5,2,2,1.0,0,1,1,1,0,0,0,5,7,6,1
22022,203082,0022201033,"MAR 14, 2023",PHX vs. MIL,L,11,0,3,0.0,0,1,0.0,0,0,0.0,0,2,2,2,1,0,0,2,0,-5,1
22022,203082,0022201025,"MAR 13, 2023",PHX @ GSW,L,15,1,5,0.2,1,3,0.333,0,0,0.0,1,2,3,2,1,0,1,3,3,-14,1
22022,203082,0022201013,"MAR 11, 2023",PHX vs. SAC,L,23,7,13,0.538,4,10,0.4,0,0,0.0,1,0,1,1,2,0,2,3,18,-18,1
22022,203082,0022200990,"MAR 08, 2023",PHX vs. OKC,W,23,8,13,0.615,6,10,0.6,2,2,1.0,1,1,2,2,2,0,0,2,24,9,1
22022,203082,0022200962,"MAR 05, 2023",PHX @ DAL,W,13,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,1,0,0,0,3,0,-9,1
22022,203082,0022200910,"FEB 26, 2023",PHX @ MIL,L,17,3,5,0.6,1,3,0.333,0,0,0.0,0,1,1,0,0,0,0,4,7,4,1
22022,203082,0022200899,"FEB 24, 2023",PHX vs. OKC,W,23,3,7,0.429,3,6,0.5,0,0,0.0,0,7,7,2,1,0,0,2,9,11,1
22022,203082,0022200885,"FEB 16, 2023",PHX vs. LAC,L,25,7,17,0.412,1,8,0.125,1,2,0.5,1,3,4,4,0,0,0,2,16,-6,1
22022,203082,0022200693,"JAN 21, 2023",ORL @ WAS,L,24,3,9,0.333,2,5,0.4,0,0,0.0,0,1,1,2,0,0,0,0,8,-7,1
22022,203082,0022200683,"JAN 20, 2023",ORL vs. NOP,W,22,3,3,1.0,2,2,1.0,0,0,0.0,0,1,1,2,0,1,0,1,8,16,1
22022,203082,0022200653,"JAN 15, 2023",ORL @ DEN,L,23,3,6,0.5,1,4,0.25,0,0,0.0,0,1,1,0,1,0,1,0,7,1,1
22022,203082,0022200638,"JAN 13, 2023",ORL @ UTA,L,23,3,9,0.333,2,5,0.4,0,0,0.0,0,2,2,1,0,0,0,2,8,-4,1
22022,203082,0022200616,"JAN 10, 2023",ORL @ POR,W,15,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,1,0,0,1,0,-16,1
22022,203082,0022200610,"JAN 09, 2023",ORL @ SAC,L,13,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,0,3,-13,1
22022,203082,0022200594,"JAN 07, 2023",ORL @ GSW,W,23,2,3,0.667,1,1,1.0,0,0,0.0,0,4,4,3,1,0,0,0,5,12,1
22022,203082,0022200576,"JAN 05, 2023",ORL vs. MEM,L,18,5,7,0.714,4,6,0.667,0,0,0.0,0,2,2,1,0,0,1,1,14,-6,1
22022,203082,0022200566,"JAN 04, 2023",ORL vs. OKC,W,22,6,9,0.667,3,4,0.75,3,3,1.0,1,4,5,3,1,1,1,2,18,8,1
22022,203082,0022200529,"DEC 30, 2022",ORL vs. WAS,L,24,3,10,0.3,0,2,0.0,0,0,0.0,0,1,1,1,1,0,0,3,6,-21,1
22022,203082,0022200505,"DEC 27, 2022",ORL vs. LAL,L,21,6,10,0.6,0,2,0.0,1,2,0.5,1,1,2,1,0,0,0,0,13,-14,1
