SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1627814,0022201229,"APR 09, 2023",PHX vs. LAC,L,31,3,7,0.429,0,3,0.0,2,2,1.0,0,4,4,1,0,0,2,4,8,-15,1
22022,1627814,0022201212,"APR 07, 2023",PHX @ LAL,L,18,3,9,0.333,1,2,0.5,0,0,0.0,3,1,4,0,0,0,2,0,7,-9,1
22022,1627814,0022201188,"APR 04, 2023",PHX vs. SAS,W,3,1,3,0.333,1,1,1.0,0,0,0.0,1,1,2,0,0,0,0,0,3,2,1
22022,1627814,0022201125,"MAR 27, 2023",PHX @ UTA,W,4,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,3,1
22022,1627814,0022201064,"MAR 19, 2023",PHX @ OKC,L,13,2,4,0.5,2,3,0.667,0,0,0.0,0,2,2,1,0,0,2,3,6,3,1
22022,1627814,0022201046,"MAR 16, 2023",PHX vs. ORL,W,10,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,0,0,0,1,1,5,1,1
22022,1627814,0022201025,"MAR 13, 2023",PHX @ GSW,L,18,3,9,0.333,1,3,0.333,0,0,0.0,2,3,5,1,1,0,0,3,7,-11,1
22022,1627814,0022201013,"MAR 11, 2023",PHX vs. SAC,L,4,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-1,1
22022,1627814,0022200990,"MAR 08, 2023",PHX vs. OKC,W,16,3,6,0.5,1,1,1.0,2,3,0.667,2,4,6,1,1,0,1,1,9,-4,1
22022,1627814,0022200962,"MAR 05, 2023",PHX @ DAL,W,6,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,3,-7,1
22022,1627814,0022200950,"MAR 03, 2023",PHX @ CHI,W,16,4,6,0.667,2,4,0.5,0,0,0.0,0,1,1,1,0,0,0,0,10,6,1
22022,1627814,0022200933,"MAR 01, 2023",PHX @ CHA,W,15,1,2,0.5,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,3,2,3,1
